year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
1936,77147.0,5885.0,12737.0,412.0,14638.0,8776.0,1411.0,2344.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5502.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7398.0,21497.0
1935,77147.0,5885.0,11536.0,412.0,14638.0,8776.0,1411.0,2345.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6770.0,21497.0
1934,77147.0,5885.0,10481.0,412.0,14638.0,8776.0,1411.0,2193.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6377.0,21497.0
1933,77147.0,5885.0,9374.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6661.0,21497.0
1932,77147.0,5885.0,9684.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6577.0,21497.0
1931,77147.0,5885.0,11480.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6998.0,21497.0
1930,77147.0,5885.0,12885.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7509.0,21497.0
1929,77147.0,5885.0,14308.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,8252.0,21497.0
1928,77147.0,5885.0,13636.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,8120.0,21497.0
1927,77147.0,5885.0,13490.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7398.0,21497.0
1926,77147.0,5885.0,13743.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7741.0,21497.0
1925,77147.0,5885.0,13130.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7664.0,21497.0
1924,77147.0,5885.0,12898.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7263.0,21497.0
1923,77147.0,5885.0,13064.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7302.0,21497.0
1922,77147.0,5885.0,11610.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6800.0,21497.0
1921,77147.0,5885.0,10696.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6568.0,21497.0
1920,77147.0,5885.0,11861.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6504.0,21497.0
1919,77147.0,5885.0,12125.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6491.0,21497.0
1918,77147.0,5885.0,12796.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6103.0,21497.0
1917,77147.0,5885.0,12095.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6962.0,21497.0
1916,77147.0,5885.0,12288.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7033.0,21497.0
1915,77147.0,5885.0,10777.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6210.0,21497.0
1914,77147.0,5885.0,10567.0,412.0,14638.0,8776.0,1411.0,2216.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5706.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,6216.0,21497.0
