year,AE,BH,BR,CZ,EG,FR,IN,IQ,JO,KW,LB,OM,PS,QA,SA,SY,TH,TR,US,XM,YE
1977,722849.0,303236.0,113776464.0,10222199.0,40377668.0,54200328.0134,650907584.0,12460997.0,2091716.0,1180939.0,2606224.0,977806.0,1398295.0,182370.0,8295384.0,8088148.0,44416008.0,41020212.0,220289000.0,161746961.0,7226885.0
1976,622051.0,283843.0,111076064.0,10155857.0,39478584.0,53960601.4604,636182784.0,12068195.0,2039114.0,1115463.0,2598362.0,927439.0,1361612.0,173759.0,7845300.0,7822610.0,43386840.0,40100696.0,218086000.0,157171100.0,6994840.0
1975,531265.0,266686.0,108431280.0,10091150.0,38624408.0,53743805.9239,621703616.0,11684585.0,1985121.0,1051187.0,2575693.0,882044.0,1321677.0,164333.0,7428705.0,7564000.0,42334952.0,39185636.0,215981000.0,152789875.0,6793979.0
1974,451948.0,252139.0,105846272.0,10028344.0,37815576.0,53444445.5975,607446528.0,11312304.0,1929939.0,988267.0,2535503.0,841947.0,1276368.0,153593.0,7045477.0,7311685.0,41259536.0,38272700.0,213898000.0,148598550.0,6626208.0
1973,382823.0,239860.0,103320784.0,9967123.0,37046808.0,53017008.7607,593451904.0,10951169.0,1873548.0,926817.0,2480426.0,806989.0,1227160.0,142111.0,6697486.0,7066474.0,40164968.0,37366920.0,211939000.0,144600008.0,6487853.0
1972,324069.0,229588.0,100844392.0,9911916.0,36302152.0,52564200.7705,579800640.0,10599846.0,1811870.0,866747.0,2416743.0,776379.0,1180273.0,130377.0,6382106.0,6828765.0,39061992.0,36475356.0,209924000.0,140768714.0,6370599.0
1971,275160.0,220808.0,98402200.0,9867927.0,35561088.0,52071007.0073,566605376.0,10255904.0,1739903.0,807900.0,2353569.0,748971.0,1144297.0,119246.0,6096106.0,6599366.0,37964924.0,35608080.0,207692000.0,137074462.0,6262934.0
1970,235434.0,213102.0,95982456.0,9838296.0,34808600.0,51559408.1633,553943232.0,9917982.0,1654769.0,750184.0,2297403.0,723850.0,1124843.0,109329.0,5836394.0,6378802.0,36884912.0,34772032.0,205089000.0,133492970.0,6156234.0
1969,205570.0,206469.0,93585744.0,9825912.0,34038148.0,51117306.8095,541844864.0,9585576.0,1553585.0,693876.0,2250609.0,700729.0,1124929.0,100697.0,5601649.0,6166933.0,35826804.0,33969200.0,202736000.0,130010440.0,6047230.0
1968,185312.0,200953.0,91213008.0,9828499.0,33252276.0,50711953.0852,530274720.0,9260685.0,1438986.0,639170.0,2210965.0,679593.0,1141217.0,93043.0,5389848.0,5963248.0,34790944.0,33196288.0,200745000.0,126621653.0,5937125.0
1967,171781.0,196203.0,88853680.0,9837670.0,32456564.0,50342635.738000005,519162080.0,8947399.0,1320414.0,585831.0,2174850.0,660117.0,1165200.0,86161.0,5196349.0,5767478.0,33778504.0,32448404.0,198752000.0,123322090.0,5827223.0
1966,161077.0,191782.0,86494984.0,9841601.0,31660914.0,49901926.6055,508402912.0,8651167.0,1210948.0,533521.0,2136640.0,642005.0,1184822.0,79735.0,5015672.0,5579283.0,32789096.0,31718266.0,196599000.0,120111020.0,5720538.0
1965,150318.0,187348.0,84130064.0,9831873.0,30872982.0,49489732.4841,497920256.0,8375791.0,1119798.0,482173.0,2092354.0,625007.0,1191509.0,73543.0,4843635.0,5398333.0,31822796.0,31000168.0,194347000.0,116987245.0,5619170.0
1964,138220.0,182774.0,81751800.0,9804766.0,30094082.0,48964880.2853,487690112.0,8122200.0,1050725.0,431366.0,2041212.0,608889.0,1182168.0,67487.0,4677409.0,5224579.0,30881332.0,30292968.0,191927000.0,113944849.0,5522690.0
1963,125216.0,178048.0,79368456.0,9762788.0,29322708.0,48457764.1966,477729952.0,7888914.0,1000506.0,381665.0,1984982.0,593504.0,1159693.0,61647.0,4516663.0,5057825.0,29967040.0,29597048.0,189300000.0,110978352.0,5429501.0
1962,112240.0,173107.0,77007552.0,9711292.0,28560740.0,47272912.4236,468054144.0,7674220.0,962783.0,335161.0,1925276.0,578825.0,1128809.0,56187.0,4362863.0,4897428.0,29081034.0,28909984.0,186590000.0,108088334.0,5339285.0
1961,100985.0,167924.0,74706888.0,9658516.0,27810000.0,46733173.8356,458691456.0,7475354.0,927850.0,294639.0,1864605.0,564895.0,1096903.0,51355.0,4218879.0,4742596.0,28224204.0,28229292.0,183742000.0,105277360.0,5251663.0
1960,92612.0,162501.0,72493584.0,9610192.0,27072396.0,46274605.598000005,449661888.0,7289759.0,888632.0,261962.0,1804927.0,551737.0,1069399.0,47309.0,4086539.0,4592777.0,27397176.0,27553280.0,180760000.0,102547045.0,5166311.0
1959,87303.0,156865.0,70376952.0,9567583.0,26349972.0,45804792.6736,440968672.0,7115509.0,842721.0,237516.0,1747163.0,539327.0,1048183.0,44059.0,3965811.0,4447797.0,26600276.0,26881380.0,177130000.0,99897128.0,5082998.0
1958,84420.0,151067.0,68351008.0,9528202.0,25644892.0,45333713.1231,432601248.0,6951160.0,791658.0,220405.0,1691366.0,527598.0,1032161.0,41487.0,3855089.0,4307809.0,25833552.0,26214022.0,174141000.0,97325768.0,5001572.0
1957,,,,9487296.0,,44809234.6809,424541504.0,,,,,,,,,,,,171274000.0,,
1956,,,,9439674.0,,44359400.1017,416771488.0,,,,,,,,,,,,168221000.0,,
1955,,,,9381290.0,,43941926.3024,409280192.0,,,,,,,,,,,,165275000.0,,
1954,,,,9309867.0,,43582459.3496,402065920.0,,,,,,,,,,,,162391000.0,,
1953,,,,9225166.0,,43300330.2007,395137696.0,,,,,,,,,,,,159565000.0,,
