year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
2016,,,,,,12733.0,,29158.0,,,,,,,,,,,,,,,,,,,6194.0,,,,,,,,,,,,,,,
2015,,,,,,12608.0,,28559.0,,,,,,,11156.0,,5782.0,,57469.0,,,,,,16224.0,,5923.0,,,,,,,,10558.0,,,,,,,
1993,,31785.0,47764.0,,,,,15233.0,7226.0,7305.0,59589.0,,,,,,,43121.0,39423.0,,21889.0,5770.0,1018.0,,11716.0,38148.0,,,7760.0,,,,,,6783.0,,30184.0,,,29405.0,32945.0,32126.0
1992,,30304.0,47303.0,,,,,14628.0,7114.0,7434.0,58528.0,,,,,6344.0,,43377.0,38141.0,,22664.0,5396.0,967.0,,11601.0,37134.0,,,7818.0,,,,,,7623.0,,30761.0,,,29887.0,33509.0,31015.0
1991,,28987.0,46248.0,,,,,14253.0,6868.0,,56273.0,,,,,,,42225.0,38475.0,,22678.0,5282.0,971.0,,,36839.0,,,8203.0,,,,,,9455.0,,31136.0,,,30238.0,33232.0,31518.0
1990,,28553.0,47076.0,,,,,13173.0,6118.0,,54944.0,,,,,,,42146.0,39651.0,,22315.0,5057.0,990.0,,,37633.0,,,8448.0,,,,,,9018.0,,31021.0,,,29898.0,33456.0,32636.0
1989,,26843.0,46971.0,,,,,12398.0,6178.0,,54089.0,,,,,,,41838.0,39398.0,,21619.0,4676.0,951.0,,,,,,8727.0,,,,,,9267.0,,30882.0,,,28671.0,32906.0,33894.0
1988,,24860.0,46300.0,,,,,11840.0,5965.0,9231.0,54082.0,,,,,,,41942.0,38871.0,,20514.0,4365.0,892.0,,,,,,8831.0,,,,,,9216.0,,30223.0,,,27652.0,31920.0,34625.0
1987,,22746.0,44390.0,,,,,10830.0,6043.0,,56119.0,,,,,,,42770.0,37428.0,,19572.0,4022.0,856.0,,,,,,8665.0,,,,,,,,29224.0,,,26066.0,30764.0,33455.0
1986,,21548.0,42979.0,,,,,9811.0,5093.0,8675.0,56099.0,,,,,,,43075.0,37526.0,,18408.0,3652.0,845.0,,,,,,8543.0,,,,,,,,28498.0,,,25362.0,30201.0,32286.0
1985,,22304.0,42570.0,,,,,9069.0,4334.0,,55185.0,,,,,,,40694.0,37044.0,,17740.0,4200.0,842.0,,,,,,8848.0,,,,,,9025.0,,27928.0,,,25045.0,29542.0,32495.0
1984,,23101.0,41699.0,,,,,8750.0,3995.0,8885.0,52188.0,,,,,,,39285.0,36025.0,,17341.0,4521.0,806.0,,,,,,9259.0,,,,,,,,27523.0,,,23784.0,29157.0,33233.0
