Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio)
;AR;1943;p99.99p100;19459240.0;;;;0.0416000001;;;0.0416000001
;AR;1943;p99.5p99.9;1085404.75;;;;0.0927999988;;;0.0927999988
;AR;1943;p99.9p99.99;3878065.5;;;;0.0746000037;;;0.0746000037
;AR;1943;p99p99.5;473462.4375;;;;0.0505999997;;;0.0505999997
;AR;1943;p99.5p100;1955605.625;;;;0.2090000063;;;0.2090000063
;AR;1942;p0p100;47481.1640625;47481.1640625;;;;3.91339737088e+11;;
;AR;1942;p99p100;1128628.375;;;;0.2377000004;;;0.2377000004
;AR;1942;p99.9p100;5403426.0;;;;0.1137999967;;;0.1137999967
;AR;1942;p99.99p100;19843834.0;;;;0.0417999998;;;0.0417999998
;AR;1942;p99.5p99.9;991167.3125;;;;0.0834999979;;;0.0834999979
;AR;1942;p99.9p99.99;3798617.5;;;;0.0719999969;;;0.0719999969
;AR;1942;p99p99.5;383648.15625;;;;0.0403999984;;;0.0403999984
;AR;1942;p99.5p100;1873608.5;;;;0.197300002;;;0.197300002
;AR;1941;p0p100;46299.65625;46299.65625;;;;3.7192515584e+11;;
;AR;1941;p99p100;1038502.3125;;;;0.2242999971;;;0.2242999971
;AR;1941;p99.9p100;4370744.0;;;;0.0944000036;;;0.0944000036
;AR;1941;p99.99p100;14304221.0;;;;0.0308999997;;;0.0308999997
;AR;1941;p99.5p99.9;973448.375;;;;0.0841000006;;;0.0841000006
;AR;1941;p99.9p99.99;3266805.25;;;;0.063500002;;;0.063500002
;AR;1941;p99p99.5;424105.28125;;;;0.0458000004;;;0.0458000004
;AR;1941;p99.5p100;1652899.375;;;;0.1784999967;;;0.1784999967
;AR;1940;p0p100;46748.859375;46748.859375;;;;3.65996834816e+11;;
;AR;1940;p99p100;940120.4375;;;;0.2011000067;;;0.2011000067
;AR;1940;p99.9p100;3856830.5;;;;0.0825000033;;;0.0825000033
;AR;1940;p99.99p100;12386392.0;;;;0.0264999997;;;0.0264999997
;AR;1940;p99.5p99.9;881214.1875;;;;0.0754000023;;;0.0754000023
;AR;1940;p99.9p99.99;2908913.0;;;;0.0560000017;;;0.0560000017
