Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;DE;1932;p99.9p100;149460.984375;2.0193963747;0.0375976038;0.0375976038;74012.703125
;DE;1932;p99.99p100;471926.25;1.9028570943;0.0118715239;0.0118715239;248009.296875
;DE;1932;p90p100;16370.7255859;3.1669703858;0.4118132019;0.4118132019;5169.20703125
;DE;1932;p95p100;20454.375;1.9962850247;0.2572696304;0.2572696304;10246.2197266
;DE;1932;p99.5p100;64811.0;2.0817528484;0.0815175343;0.0815175343;31132.8984375
;DE;1929;p0p100;5385.08195017;;;;
;DE;1929;p99p100;59817.9609375;2.2909153497;0.1110808849;0.1110808849;26110.9433594
;DE;1929;p99.9p100;208420.21875;2.1892145328;0.0387032628;0.0387032628;95203.1953125
;DE;1929;p99.99p100;722441.25;2.16366722;0.0134156036;0.0134156036;333896.65625
;DE;1929;p99.5p100;86975.796875;2.2217179481;0.0807562447;0.0807562447;39147.9921875
;DE;1928;p0p100;5538.37066156;;;;
;DE;1928;p99p100;61600.1445312;2.2108211602;0.111224308;0.111224308;27863.015625
;DE;1928;p99.9p100;220241.8125;2.2257630758;0.0397665381;0.0397665381;98951.1484375
;DE;1928;p99.99p100;733127.5;2.0680003078;0.0132372415;0.0132372415;354510.34375
;DE;1928;p90p100;18024.4101562;2.1178348075;0.3254460907;0.3254460907;8510.77246094
;DE;1928;p95p100;25986.671875;2.1178350711;0.234605751;0.234605751;12270.3945312
;DE;1928;p99.5p100;90652.3046875;2.2500003878;0.081840229;0.081840229;40289.90625
;DE;1927;p0p100;5362.58783933;;;;
;DE;1927;p99p100;61509.90625;2.4088736421;0.11470191;0.11470191;25534.7167969
;DE;1927;p99.9p100;221420.4375;2.2359851412;0.0412898493;0.0412898493;99025.8984375
;DE;1927;p99.99p100;737150.75;2.0413653685;0.0137461758;0.0137461758;361106.71875
;DE;1927;p99.5p100;90742.1796875;2.3002266362;0.0846067047;0.0846067047;39449.234375
;DE;1926;p0p100;5107.79101549;;;;
;DE;1926;p99p100;57088.078125;2.2683932962;0.1117666721;0.1117666721;25166.7460938
;DE;1926;p99.9p100;206443.53125;2.2500000213;0.0404173803;0.0404173803;91752.6796875
;DE;1926;p99.99p100;673094.25;1.9775000888;0.0131777954;0.0131777954;340376.34375
;DE;1926;p90p100;16466.1738281;2.2592266579;0.3223736954;0.3223736954;7288.41162109
;DE;1926;p95p100;23856.6035156;2.1199601923;0.2335315323;0.2335315323;11253.3261719
;DE;1926;p99.5p100;84170.8125;2.2717394387;0.0823945332;0.0823945332;37051.2617188
;DE;1925;p0p100;5050.43278903;;;;
;DE;1925;p99p100;56797.9570312;2.2943018848;0.1124615669;0.1124615669;24756.0957031
;DE;1925;p99.9p100;195246.8125;2.126488479;0.0386594224;0.0386594224;91816.5390625
;DE;1925;p99.99p100;629492.625;2.0045734345;0.0124641323;0.0124641323;314028.21875
;DE;1925;p99.5p100;82774.859375;2.1948118398;0.0819482899;0.0819482899;37713.875
;DE;1918;p99p100;;;0.2044732094;0.2044732094;
;DE;1918;p99.9p100;;;0.0993861389;0.0993861389;
;DE;1918;p99.99p100;;;0.0394923306;0.0394923306;
;DE;1918;p90p100;;;0.3930989075;0.3930989075;
;DE;1918;p95p100;;;0.307785778;0.307785778;
;DE;1918;p99.5p100;;;0.1678104019;0.1678104019;
;DE;1917;p99p100;;;0.2340657043;0.2340657043;
;DE;1917;p99.9p100;;;0.1178760147;0.1178760147;
;DE;1917;p99.99p100;;;0.0476036882;0.0476036882;
;DE;1917;p90p100;;;0.4657991028;0.4657991028;
;DE;1917;p95p100;;;0.3501266479;0.3501266479;
;DE;1917;p99.5p100;;;0.1944662285;0.1944662285;
;DE;1916;p99p100;;;0.2225872421;0.2225872421;
;DE;1916;p99.9p100;;;0.1075897217;0.1075897217;
;DE;1916;p99.99p100;;;0.043065052;0.043065052;
;DE;1916;p90p100;;;0.4418780136;0.4418780136;
;DE;1916;p95p100;;;0.344707222;0.344707222;
;DE;1916;p99.5p100;;;0.1823139;0.1823139;
;DE;1915;p99p100;;;0.2061664581;0.2061664581;
;DE;1915;p99.9p100;;;0.0964117146;0.0964117146;
;DE;1915;p99.99p100;;;0.0382391453;0.0382391453;
;DE;1915;p90p100;;;0.4171271896;0.4171271896;
;DE;1915;p95p100;;;0.3360439301;0.3360439301;
;DE;1915;p99.5p100;;;0.1661724663;0.1661724663;
;DE;1914;p0p100;6179.64512206;;;;
;DE;1914;p99p100;115413.75;;0.1867643547;0.1867643547;
;DE;1914;p99.9p100;519162.9375;;0.0840117741;0.0840117741;
;DE;1914;p99.99p100;2047724.375;;0.0331366014;0.0331366014;
;DE;1914;p90p100;24568.3671875;;0.3975692368;0.3975692368;
;DE;1914;p95p100;39415.9765625;;0.3189178085;0.3189178085;
;DE;1914;p99.5p100;183947.59375;;0.148833456;0.148833456;
;DE;1913;p0p100;6231.93708258;;;;
;DE;1913;p99p100;114577.289062;;0.1838550186;0.1838550186;
;DE;1913;p99.9p100;513768.21875;;0.0824411774;0.0824411774;
;DE;1913;p99.99p100;2023513.375;;0.0324700546;0.0324700546;
;DE;1913;p90p100;24884.515625;;0.3993062592;0.3993062592;
;DE;1913;p95p100;39671.6796875;;0.3182933044;0.3182933044;
;DE;1913;p99.5p100;182897.375;;0.146741991;0.146741991;
;DE;1912;p0p100;5858.9294345;;;;
;DE;1912;p99p100;103885.179688;;0.1773108673;0.1773108673;
;DE;1912;p99.9p100;484217.75;;0.082646122;0.082646122;
;DE;1912;p99.99p100;1943662.75;;0.033174367;0.033174367;
;DE;1912;p90p100;22923.0839844;;0.3912504196;0.3912504196;
;DE;1912;p95p100;36492.5429688;;0.3114267349;0.3114267349;
;DE;1912;p99.5p100;170466.234375;;0.1454755974;0.1454755974;
;DE;1911;p0p100;6170.77384396;;;;
;DE;1911;p99p100;108863.75;;0.1764183044;0.1764183044;
;DE;1911;p99.9p100;504296.9375;;0.0817234516;0.0817234516;
;DE;1911;p99.99p100;2013545.875;;0.0326303625;0.0326303625;
;DE;1911;p90p100;23961.0097656;;0.3882983017;0.3882983017;
;DE;1911;p95p100;36629.1484375;;0.2967954063;0.2967954063;
;DE;1911;p99.5p100;178138.4375;;0.1443404198;0.1443404198;
;DE;1910;p0p100;6245.92705122;;;;
;DE;1910;p99p100;110902.6875;;0.1775600052;0.1775600052;
;DE;1910;p99.9p100;501575.28125;;0.0803043747;0.0803043747;
;DE;1910;p99.99p100;1996119.125;;0.0319587326;0.0319587326;
;DE;1910;p90p100;24238.0273438;;0.3880613327;0.3880613327;
;DE;1910;p95p100;37042.1015625;;0.2965300179;0.2965300179;
;DE;1910;p99.5p100;177590.234375;;0.1421648312;0.1421648312;
;DE;1909;p0p100;6245.49639703;;;;
;DE;1909;p99p100;110169.914062;;0.1763989639;0.1763989639;
;DE;1909;p99.9p100;496811.0;;0.079547081;0.079547081;
;DE;1909;p99.99p100;1969199.875;;0.0315299177;0.0315299177;
;DE;1909;p90p100;24120.4589844;;0.3862056351;0.3862056351;
;DE;1909;p95p100;36798.3632812;;0.2945991898;0.2945991898;
;DE;1909;p99.5p100;176307.640625;;0.1411478233;0.1411478233;
;DE;1908;p0p100;6205.02370634;;;;
;DE;1908;p99p100;110753.960938;;0.1784907913;0.1784907913;
;DE;1908;p99.9p100;497051.9375;;0.0801047611;0.0801047611;
;DE;1908;p99.99p100;1953073.25;;0.0314756775;0.0314756775;
;DE;1908;p90p100;23909.3164062;;0.3853219223;0.3853219223;
;DE;1908;p95p100;36382.28125;;0.2931679535;0.2931679535;
;DE;1908;p99.5p100;176464.59375;;0.1421949387;0.1421949387;
;DE;1907;p0p100;6161.89744786;;;;
;DE;1907;p99p100;112840.742188;;0.1831266212;0.1831266212;
;DE;1907;p99.9p100;507741.71875;;0.0824002266;0.0824002266;
;DE;1907;p99.99p100;1998487.0;;0.0324329805;0.0324329805;
;DE;1907;p90p100;23978.0175781;;0.3891336823;0.3891336823;
;DE;1907;p95p100;36540.96875;;0.2965074348;0.2965074348;
;DE;1907;p99.5p100;180525.265625;;0.1464851284;0.1464851284;
;DE;1906;p0p100;6049.67741527;;;;
;DE;1906;p99p100;111795.765625;;0.184796257;0.184796257;
;DE;1906;p99.9p100;500169.0;;0.0826769733;0.0826769733;
;DE;1906;p99.99p100;1963639.5;;0.0324585819;0.0324585819;
;DE;1906;p90p100;23535.1347656;;0.3890312576;0.3890312576;
;DE;1906;p95p100;35877.3710938;;0.296523037;0.296523037;
;DE;1906;p99.5p100;178214.890625;;0.1472929001;0.1472929001;
;DE;1905;p0p100;6004.87140945;;;;
;DE;1905;p99p100;111072.984375;;0.1849714661;0.1849714661;
;DE;1905;p99.9p100;487858.78125;;0.0812438393;0.0812438393;
;DE;1905;p99.99p100;1889911.75;;0.0314729762;0.0314729762;
;DE;1905;p90p100;23421.7734375;;0.3900462341;0.3900462341;
;DE;1905;p95p100;35772.5429688;;0.2978627205;0.2978627205;
;DE;1905;p99.5p100;175777.25;;0.1463622189;0.1463622189;
;DE;1904;p0p100;6163.15786784;;;;
;DE;1904;p99p100;111820.757812;;0.1814341927;0.1814341927;
;DE;1904;p99.9p100;485891.5625;;0.0788380814;0.0788380814;
;DE;1904;p99.99p100;1856916.125;;0.0301292968;0.0301292968;
;DE;1904;p90p100;23921.9453125;;0.3881442642;0.3881442642;
;DE;1904;p95p100;36510.9882812;;0.2962035751;0.2962035751;
;DE;1904;p99.5p100;176308.875;;0.1430345345;0.1430345345;
;DE;1903;p0p100;6121.55744247;;;;
;DE;1903;p99p100;110308.46875;;0.180196743;0.180196743;
;DE;1903;p99.9p100;478177.28125;;0.0781136656;0.0781136656;
;DE;1903;p99.99p100;1830196.375;;0.0298975611;0.0298975611;
;DE;1903;p90p100;23766.5292969;;0.3882431793;0.3882431793;
;DE;1903;p95p100;36294.9960938;;0.2964522934;0.2964522934;
;DE;1903;p99.5p100;173547.09375;;0.1417507648;0.1417507648;
;DE;1902;p0p100;6043.28828823;;;;
;DE;1902;p99p100;109429.453125;;0.1810760117;0.1810760117;
;DE;1902;p99.9p100;475849.0625;;0.0787400866;0.0787400866;
;DE;1902;p99.99p100;1814973.25;;0.0300328755;0.0300328755;
;DE;1902;p90p100;23567.84375;;0.3899837494;0.3899837494;
;DE;1902;p95p100;36044.5234375;;0.2982194519;0.2982194519;
;DE;1902;p99.5p100;172436.390625;;0.142667675;0.142667675;
;DE;1901;p0p100;6114.77100429;;;;
;DE;1901;p99p100;113998.085938;;0.1864306641;0.1864306641;
;DE;1901;p99.9p100;502583.5;;0.0821917057;0.0821917057;
;DE;1901;p99.99p100;1946125.375;;0.0318266273;0.0318266273;
;DE;1901;p90p100;24141.8105469;;0.3948113251;0.3948113251;
;DE;1901;p95p100;37093.953125;;0.3033143044;0.3033143044;
;DE;1901;p99.5p100;180193.65625;;0.1473429203;0.1473429203;
;DE;1900;p0p100;6150.21372485;;;;
;DE;1900;p99p100;116166.6875;;0.1888823509;0.1888823509;
;DE;1900;p99.9p100;515212.09375;;0.08377141;0.08377141;
;DE;1900;p99.99p100;2000604.125;;0.0325290179;0.0325290179;
;DE;1900;p90p100;24381.2304688;;0.3964289474;0.3964289474;
;DE;1900;p95p100;37537.6992188;;0.305173912;0.305173912;
;DE;1900;p99.5p100;184067.53125;;0.1496431923;0.1496431923;
;DE;1899;p0p100;6018.8842709;;;;
;DE;1899;p99p100;113143.164062;;0.1879802895;0.1879802895;
;DE;1899;p99.9p100;500455.125;;0.0831474876;0.0831474876;
;DE;1899;p99.99p100;1934766.875;;0.0321449423;0.0321449423;
;DE;1899;p90p100;23877.3652344;;0.3967074966;0.3967074966;
;DE;1899;p95p100;36856.1835938;;0.3061712265;0.3061712265;
;DE;1899;p99.5p100;178983.078125;;0.148684597;0.148684597;
;DE;1898;p0p100;5798.93441419;;;;
;DE;1898;p99p100;107624.929688;;0.1855943108;0.1855943108;
;DE;1898;p99.9p100;467165.59375;;0.0805605888;0.0805605888;
;DE;1898;p99.99p100;1770538.125;;0.0305321288;0.0305321288;
;DE;1898;p90p100;23001.0;;0.3966418457;0.3966418457;
;DE;1898;p95p100;35581.8359375;;0.3067963219;0.3067963219;
;DE;1898;p99.5p100;168917.046875;;0.1456449032;0.1456449032;
;DE;1897;p0p100;5881.29899586;;;;
;DE;1897;p99p100;106197.984375;;0.180568924;0.180568924;
;DE;1897;p99.9p100;456298.1875;;0.0775845957;0.0775845957;
;DE;1897;p99.99p100;1690898.0;;0.0287504172;0.0287504172;
;DE;1897;p90p100;23093.0195312;;0.3926516724;0.3926516724;
;DE;1897;p95p100;35652.8632812;;0.3031036377;0.3031036377;
;DE;1897;p99.5p100;166390.578125;;0.1414573383;0.1414573383;
;DE;1896;p0p100;5828.14046227;;;;
;DE;1896;p99p100;102919.171875;;0.1765900803;0.1765900803;
;DE;1896;p99.9p100;435840.84375;;0.0747821426;0.0747821426;
;DE;1896;p99.99p100;1587368.125;;0.0272362709;0.0272362709;
;DE;1896;p90p100;22663.1914062;;0.3888580322;0.3888580322;
;DE;1896;p95p100;34894.984375;;0.2993663597;0.2993663597;
;DE;1896;p99.5p100;160262.0625;;0.1374898815;0.1374898815;
;DE;1895;p0p100;5673.60317906;;;;
;DE;1895;p99p100;98475.3359375;;0.173567543;0.173567543;
;DE;1895;p99.9p100;422535.21875;;0.0744738817;0.0744738817;
;DE;1895;p99.99p100;1481016.25;;0.0261036277;0.0261036277;
;DE;1895;p90p100;21951.5390625;;0.3869064713;0.3869064713;
;DE;1895;p95p100;33753.46875;;0.2974606133;0.2974606133;
;DE;1895;p99.5p100;152553.140625;;0.1344411469;0.1344411469;
;DE;1894;p0p100;5559.97447767;;;;
;DE;1894;p99p100;95401.1484375;;0.1715855789;0.1715855789;
;DE;1894;p99.9p100;405489.25;;0.0729300547;0.0729300547;
;DE;1894;p99.99p100;1422797.875;;0.0255900073;0.0255900073;
;DE;1894;p90p100;21453.2441406;;0.3858514786;0.3858514786;
;DE;1894;p95p100;32912.6914062;;0.295978775;0.295978775;
;DE;1894;p99.5p100;148442.640625;;0.1334921837;0.1334921837;
;DE;1893;p0p100;5416.5294214;;;;
;DE;1893;p99p100;92878.8203125;;0.1714729309;0.1714729309;
;DE;1893;p99.9p100;391658.78125;;0.0723080635;0.0723080635;
;DE;1893;p99.99p100;1367011.5;;0.0252377748;0.0252377748;
;DE;1893;p90p100;21000.1328125;;0.3877045822;0.3877045822;
;DE;1893;p95p100;32249.3144531;;0.2976935196;0.2976935196;
;DE;1893;p99.5p100;144158.8125;;0.1330730343;0.1330730343;
;DE;1892;p0p100;5202.87622707;;;;
;DE;1892;p99p100;90217.8359375;;0.1733999252;0.1733999252;
;DE;1892;p99.9p100;383242.9375;;0.0736598206;0.0736598206;
;DE;1892;p99.99p100;1338476.25;;0.0257256985;0.0257256985;
;DE;1892;p90p100;20272.7910156;;0.3896458435;0.3896458435;
;DE;1892;p95p100;31177.8027344;;0.2996208382;0.2996208382;
;DE;1892;p99.5p100;139511.625;;0.1340716267;0.1340716267;
;DE;1891;p0p100;5185.92249071;;;;
;DE;1891;p99p100;92264.9765625;;0.1779142952;0.1779142952;
;DE;1891;p99.9p100;395123.09375;;0.0761914825;0.0761914825;
;DE;1891;p99.99p100;1392400.5;;0.0268496203;0.0268496203;
;DE;1891;p90p100;20459.265625;;0.3945154953;0.3945154953;
;DE;1891;p95p100;31569.171875;;0.3043737411;0.3043737411;
;DE;1891;p99.5p100;142971.359375;;0.1378456402;0.1378456402;
;DE;1890;p0p100;4863.64400075;;;;
;DE;1890;p99p100;86683.25;;0.1782269669;0.1782269669;
;DE;1890;p99.9p100;370898.90625;;0.07625947;0.07625947;
;DE;1890;p99.99p100;1308078.375;;0.0268950272;0.0268950272;
;DE;1890;p90p100;19209.4296875;;0.3949596024;0.3949596024;
;DE;1890;p95p100;29649.3789062;;0.3048062325;0.3048062325;
;DE;1890;p99.5p100;134327.5;;0.1380934811;0.1380934811;
;DE;1889;p0p100;4915.39546631;;;;
;DE;1889;p99p100;86804.0703125;;0.1765963173;0.1765963173;
;DE;1889;p99.9p100;368898.3125;;0.075049572;0.075049572;
;DE;1889;p99.99p100;1291928.25;;0.0262833023;0.0262833023;
;DE;1889;p90p100;19316.2734375;;0.392974968;0.392974968;
;DE;1889;p95p100;29779.4648438;;0.3029203415;0.3029203415;
;DE;1889;p99.5p100;134168.703125;;0.1364780426;0.1364780426;
;DE;1888;p0p100;5022.930073;;;;
;DE;1888;p99p100;87566.0625;;0.1743326378;0.1743326378;
;DE;1888;p99.9p100;368597.03125;;0.0733828735;0.0733828735;
;DE;1888;p99.99p100;1270879.375;;0.0253015542;0.0253015542;
;DE;1888;p90p100;19655.2578125;;0.3913105774;0.3913105774;
;DE;1888;p95p100;30249.4375;;0.3011134529;0.3011134529;
;DE;1888;p99.5p100;134937.4375;;0.1343214321;0.1343214321;
;DE;1887;p0p100;4926.58856347;;;;
;DE;1887;p99p100;84364.3984375;;0.1712430382;0.1712430382;
;DE;1887;p99.9p100;351563.90625;;0.0713605213;0.0713605213;
;DE;1887;p99.99p100;1194190.75;;0.0242397094;0.0242397094;
;DE;1887;p90p100;19140.5449219;;0.3885152054;0.3885152054;
;DE;1887;p95p100;29349.9199219;;0.2978726768;0.2978726768;
;DE;1887;p99.5p100;129554.40625;;0.1314849091;0.1314849091;
;DE;1886;p0p100;4865.59180689;;;;
;DE;1886;p99p100;82742.3203125;;0.1700560188;0.1700560188;
;DE;1886;p99.9p100;343142.4375;;0.0705242968;0.0705242968;
;DE;1886;p99.99p100;1163392.25;;0.0239106011;0.0239106011;
;DE;1886;p90p100;18850.3359375;;0.3874212265;0.3874212265;
;DE;1886;p95p100;28858.3691406;;0.2965555763;0.2965555763;
;DE;1886;p99.5p100;126932.960938;;0.1304393864;0.1304393864;
;DE;1885;p0p100;4871.67804562;;;;
;DE;1885;p99p100;82074.5;;0.1684727478;0.1684727478;
;DE;1885;p99.9p100;337539.0;;0.069285984;0.069285984;
;DE;1885;p99.99p100;1142438.25;;0.0234506106;0.0234506106;
;DE;1885;p90p100;18793.2050781;;0.3857645035;0.3857645035;
;DE;1885;p95p100;28722.2753906;;0.2947883224;0.2947883224;
;DE;1885;p99.5p100;125671.15625;;0.1289813805;0.1289813805;
;DE;1884;p0p100;4973.71975781;;;;
;DE;1884;p99p100;83709.4609375;;0.1683035469;0.1683035469;
;DE;1884;p99.9p100;345537.8125;;0.0694727135;0.0694727135;
;DE;1884;p99.99p100;1168869.75;;0.023500917;0.023500917;
;DE;1884;p90p100;19148.5742188;;0.3849950409;0.3849950409;
;DE;1884;p95p100;29260.7148438;;0.2941532516;0.2941532516;
;DE;1884;p99.5p100;128250.484375;;0.1289281464;0.1289281464;
;DE;1883;p0p100;4801.2307049;;;;
;DE;1883;p99p100;80162.765625;;0.1669629669;0.1669629669;
;DE;1883;p99.9p100;330178.1875;;0.0687694931;0.0687694931;
;DE;1883;p99.99p100;1118263.75;;0.0232911897;0.0232911897;
;DE;1883;p90p100;18401.5742188;;0.3832678986;0.3832678986;
;DE;1883;p95p100;28057.9257812;;0.2921951485;0.2921951485;
;DE;1883;p99.5p100;122699.023438;;0.1277787209;0.1277787209;
;DE;1882;p0p100;4829.86854637;;;;
;DE;1882;p99p100;79412.109375;;0.1644187927;0.1644187927;
;DE;1882;p99.9p100;326358.1875;;0.0675708294;0.0675708294;
;DE;1882;p99.99p100;1113486.25;;0.023054173;0.023054173;
;DE;1882;p90p100;18380.203125;;0.3805528641;0.3805528641;
;DE;1882;p95p100;27922.8613281;;0.2890644264;0.2890644264;
;DE;1882;p99.5p100;121319.289062;;0.1255927467;0.1255927467;
;DE;1881;p0p100;4729.05689817;;;;
;DE;1881;p99p100;76793.7890625;;0.1623871231;0.1623871231;
;DE;1881;p99.9p100;314674.09375;;0.0665405655;0.0665405655;
;DE;1881;p99.99p100;1080209.125;;0.0228419566;0.0228419566;
;DE;1881;p90p100;17907.1738281;;0.3786627197;0.3786627197;
;DE;1881;p95p100;27117.859375;;0.2867153168;0.2867153168;
;DE;1881;p99.5p100;117126.367188;;0.1238369274;0.1238369274;
;DE;1880;p99p100;;;0.1606565857;0.1606565857;
;DE;1880;p99.9p100;;;0.0656846523;0.0656846523;
;DE;1880;p99.99p100;;;0.0224760079;0.0224760079;
;DE;1880;p90p100;;;0.3768269348;0.3768269348;
;DE;1880;p95p100;;;0.2846585464;0.2846585464;
;DE;1880;p99.5p100;;;0.1223417377;0.1223417377;
;DE;1879;p99p100;;;0.1597919178;0.1597919178;
;DE;1879;p99.9p100;;;0.0653808069;0.0653808069;
;DE;1879;p99.99p100;;;0.0224147773;0.0224147773;
;DE;1879;p90p100;;;0.3768782043;0.3768782043;
;DE;1879;p95p100;;;0.2840720367;0.2840720367;
;DE;1879;p99.5p100;;;0.1216378689;0.1216378689;
;DE;1878;p99p100;;;0.1589608097;0.1589608097;
;DE;1878;p99.9p100;;;0.0650409937;0.0650409937;
;DE;1878;p99.99p100;;;0.0222943783;0.0222943783;
;DE;1878;p90p100;;;0.3761777878;0.3761777878;
;DE;1878;p95p100;;;0.2830862427;0.2830862427;
;DE;1878;p99.5p100;;;0.1210125732;0.1210125732;
;DE;1877;p99p100;;;0.1581902599;0.1581902599;
;DE;1877;p99.9p100;;;0.0648288965;0.0648288965;
;DE;1877;p99.99p100;;;0.0222793269;0.0222793269;
;DE;1877;p90p100;;;0.3753260422;0.3753260422;
;DE;1877;p95p100;;;0.28196661;0.28196661;
;DE;1877;p99.5p100;;;0.1203323364;0.1203323364;
;DE;1876;p99p100;;;0.1585339928;0.1585339928;
;DE;1876;p99.9p100;;;0.065641346;0.065641346;
;DE;1876;p99.99p100;;;0.0229141927;0.0229141927;
;DE;1876;p90p100;;;0.3724351501;0.3724351501;
;DE;1876;p95p100;;;0.2802936363;0.2802936363;
;DE;1876;p99.5p100;;;0.120924139;0.120924139;
;DE;1875;p99p100;;;0.1596178722;0.1596178722;
;DE;1875;p99.9p100;;;0.0668265629;0.0668265629;
;DE;1875;p99.99p100;;;0.0235084271;0.0235084271;
;DE;1875;p90p100;;;0.3717218781;0.3717218781;
;DE;1875;p95p100;;;0.2802431679;0.2802431679;
;DE;1875;p99.5p100;;;0.1221041775;0.1221041775;
;DE;1874;p99p100;;;0.1603136253;0.1603136253;
;DE;1874;p99.9p100;;;0.0677854824;0.0677854824;
;DE;1874;p99.99p100;;;0.0240908599;0.0240908599;
;DE;1874;p90p100;;;0.3711170197;0.3711170197;
;DE;1874;p95p100;;;0.2796459389;0.2796459389;
;DE;1874;p99.5p100;;;0.122899456;0.122899456;
;DE;1873;p99p100;;;0.1604343987;0.1604343987;
;DE;1873;p99.9p100;;;0.0678655767;0.0678655767;
;DE;1873;p99.99p100;;;0.0241264415;0.0241264415;
;DE;1873;p90p100;;;0.3712226868;0.3712226868;
;DE;1873;p95p100;;;0.27977911;0.27977911;
;DE;1873;p99.5p100;;;0.123007431;0.123007431;
;DE;1872;p99p100;;;0.1602757263;0.1602757263;
;DE;1872;p99.9p100;;;0.0677194929;0.0677194929;
;DE;1872;p99.99p100;;;0.024040041;0.024040041;
;DE;1872;p90p100;;;0.3711248779;0.3711248779;
