Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;KY;1993;p0p100;3716.07788086;55311.1523438;51595.0742188;51595.0742188;28646.0;106450768.0;1584443264.0;1477992448.0;1477992448.0;0.581494987;;;0.8723438382;0.8333299756;0.5275576711;
;KY;1992;p0p100;3717.27319336;55176.9296875;51459.65625;51459.65625;27404.0;101868152.0;1512068608.0;1410200448.0;1410200448.0;0.5672005415;;;0.8724239469;0.8333299756;0.6529351473;
;KY;1991;p0p100;3707.94067383;55962.9140625;52254.9726562;52254.9726562;26213.0;97196248.0;1466955904.0;1369759616.0;1369759616.0;0.5515164137;;;0.8704186678;0.8333299756;0.695479393;
;KY;1990;p0p100;3668.57641602;57876.1445312;54207.5664062;54207.5664062;25010.0;91751096.0;1447482368.0;1355731200.0;1355731200.0;0.5353443623;;;0.8751251101;0.8333299756;0.7000515461;
;KY;1989;p0p100;3583.54199219;53781.8164062;50198.2734375;50198.2734375;23776.0;85202296.0;1278716416.0;1193514112.0;1193514112.0;0.4868534505;;;0.8277097344;0.8333320022;0.7213486433;
;KY;1988;p0p100;3468.96557617;52128.1015625;48659.1328125;48659.1328125;22538.0;78183544.0;1174863104.0;1096679552.0;1096679552.0;0.4628155231;;;0.819319725;0.8333330154;0.8127477765;
;KY;1987;p0p100;3342.94018555;48212.90625;44869.9648438;44869.9648438;21339.0;71335000.0;1028815168.0;957480192.0;957480192.0;0.4327694476;;;0.7937006354;0.8333330154;0.8786142468;
;KY;1986;p0p100;3221.58105469;46476.1367188;43254.5546875;43254.5546875;20251.0;65240236.0;941188224.0;875947968.0;875947968.0;0.4046840966;;;0.7615253925;0.8333330154;0.8790186048;
;KY;1985;p0p100;3105.3347168;45204.453125;42099.1210938;42099.1210938;19313.0;59973328.0;873033600.0;813060288.0;813060288.0;0.3971621394;;;0.7626928091;0.8333330154;0.9103158712;
;KY;1984;p0p100;2980.20922852;45506.3398438;42526.1328125;42526.1328125;18543.0;55262020.0;843824064.0;788562048.0;788562048.0;0.3797805011;;;0.7548285723;0.8333330154;0.8909028172;
