Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;IN;2000;p95p96;140150.35407;203284.911036;;;193775.3125;0.0261945724;0.0261945724;133594.171875
;IN;2000;p96p97;159076.959834;230737.523586;;;216326.71875;0.0297320187;0.0297320187;149141.75
;IN;2000;p97p98;192356.099457;279008.161092;;;250628.75;0.0359520018;0.0359520018;172790.53125
;IN;2000;p98p99;291430.774377;422713.730805;;;325466.78125;0.0544693917;0.0544693917;224385.984375
;IN;2000;p1p100;53991.8666442;78313.9784433;8.59256649017;8.59256649017;9114.15429688;0.9990348816;0.9990348816;6283.55517578
;IN;2000;p2p100;54473.6567298;79012.8040391;6.70536470413;6.70536470413;11783.5205078;0.9977683425;0.9977683425;8123.89160156
;IN;2000;p3p100;54947.8835295;79700.6592602;5.66612625122;5.66612625122;14066.1630859;0.9961845875;0.9961845875;9697.61035156
;IN;2000;p4p100;55416.2374158;80379.9959535;5.11391401291;5.11391448975;15717.9003906;0.9943181872;0.9943181872;10836.3642578
;IN;2000;p5p100;55882.641783;81056.5049137;4.71549892426;4.71549892426;17189.3808594;0.9922420979;0.9922420979;11850.84375
;IN;2000;p6p100;56348.1845105;81731.7640849;4.41624212265;4.41624212265;18507.0839844;0.9899765253;0.9899765253;12759.3056641
;IN;2000;p7p100;56814.1614356;82407.6530501;4.21567392349;4.21567392349;19547.9199219;0.987544477;0.987544477;13476.8876953
;IN;2000;p8p100;57282.7254686;83087.2945564;4.03418254852;4.03418254852;20595.8203125;0.984982729;0.984982729;14199.3388672
;IN;2000;p9p100;57753.8006932;83770.5784893;3.89343428612;3.89343428612;21515.8574219;0.9822885394;0.9822885394;14833.6396484
;IN;2000;p10p100;58228.3743836;84458.9368675;3.76950573921;3.76950550079;22405.8398438;0.9794771075;0.9794771075;15447.2177734
;IN;2000;p11p100;58706.804541;85152.8889637;3.66463828087;3.66463828087;23236.3691406;0.9765524268;0.9765524268;16019.8085938
;IN;2000;p12p100;59189.7227388;85853.3508607;3.56910777092;3.5691075325;24054.5703125;0.9735227227;0.9735227227;16583.8984375
;IN;2000;p13p100;59677.4156982;86560.7384412;3.48962426186;3.48962426186;24805.1738281;0.970390141;0.970390141;17101.3867188
;IN;2000;p14p100;60170.5060908;87275.954876;3.42054462433;3.42054462433;25515.2226562;0.9671620131;0.9671620131;17590.9140625
;IN;2000;p15p100;60669.4095244;87999.6029951;3.35592579842;3.35592603683;26222.1523438;0.9638419151;0.9638419151;18078.2929688
;IN;2000;p16p100;61174.3070321;88731.9453829;3.29378676414;3.29378676414;26939.1894531;0.96042943;0.96042943;18572.6367188
;IN;2000;p17p100;61685.3614758;89473.2182667;3.23332357407;3.23332357407;27672.2128906;0.9569237232;0.9569237232;19078.0039062
;IN;2000;p18p100;62202.7786638;90223.7201668;3.18184185028;3.18184185028;28355.8144531;0.9533244967;0.9533244967;19549.2988281
;IN;2000;p19p100;62727.2509585;90984.4553391;3.13771343231;3.13771367073;28997.0546875;0.9496386647;0.9496386647;19991.3886719
;IN;2000;p20p100;63259.3379145;91756.2354052;3.09822320938;3.09822297096;29615.7617188;0.9458706379;0.9458706379;20417.9414062
;IN;2000;p21p100;63799.3771378;92539.5500546;3.05342817307;3.05342793465;30306.7734375;0.9420211315;0.9420211315;20894.34375
;IN;2000;p22p100;64347.1715941;93334.1134937;3.01429796219;3.01429796219;30963.796875;0.9380828142;0.9380828142;21347.3164062
;IN;2000;p23p100;64903.5038656;94141.0608401;2.98148441315;2.98148441315;31575.2324219;0.9340626001;0.9340626001;21768.8554688
;IN;2000;p24p100;65469.0256814;94961.3374122;2.9527797699;2.9527797699;32159.9785156;0.9299649596;0.9299649596;22171.9980469
;IN;2000;p25p100;66044.0706065;95795.4270384;2.92499709129;2.92499709129;32750.6054688;0.9257894158;0.9257894158;22579.1914062
;IN;2000;p26p100;66629.0031653;96643.8584531;2.89160704613;2.89160704613;33422.1953125;0.9215356708;0.9215356708;23042.2050781
;IN;2000;p27p100;67223.6180979;97506.3339315;2.86756467819;2.86756443977;34003.1875;0.9171953797;0.9171953797;23442.7558594
;IN;2000;p28p100;67829.2844136;98384.8391906;2.83869338036;2.83869314194;34658.4960938;0.9127815366;0.9127815366;23894.5449219
;IN;2000;p29p100;68445.7054942;99278.9439922;2.8135137558;2.8135137558;35286.4609375;0.9082840085;0.9082840085;24327.4824219
;IN;2000;p30p100;69073.529046;100189.58782;2.78954768181;2.78954768181;35916.0703125;0.9037052393;0.9037052393;24761.5507812
;IN;2000;p31p100;69713.1768793;101117.3825;2.76620006561;2.76620030403;36554.6132812;0.8990442753;0.8990442753;25201.7832031
;IN;2000;p32p100;70365.090927;102062.969046;2.74256443977;2.74256443977;37214.4296875;0.8943001032;0.8943001032;25656.6777344
;IN;2000;p33p100;71029.6395506;103026.881757;2.72033071518;2.72033071518;37872.9257812;0.889470458;0.889470458;26110.6640625
;IN;2000;p34p100;71707.4357041;104010.009711;2.70280003548;2.70279979706;38482.3203125;0.8845558167;0.8845558167;26530.796875
;IN;2000;p35p100;72399.6157808;105014.001218;2.68368577957;2.68368554115;39130.515625;0.8795625567;0.8795625567;26977.6796875
;IN;2000;p36p100;73106.46536;106039.270507;2.66568899155;2.66568875313;39779.3125;0.8744860291;0.8744860291;27424.9804688
;IN;2000;p37p100;73828.7437336;107086.918912;2.65080785751;2.65080809593;40397.8398438;0.8693269491;0.8693269491;27851.4121094
;IN;2000;p38p100;74567.418633;108158.350106;2.63389515877;2.63389515877;41064.03125;0.8640878797;0.8640878797;28310.7011719
;IN;2000;p39p100;75322.6429484;109253.785853;2.61798429489;2.61798429489;41732.0234375;0.8587613702;0.8587613702;28771.234375
;IN;2000;p40p100;76095.1697392;110374.318448;2.59806728363;2.59806752205;42483.2382812;0.8533465862;0.8533465862;29289.1445312
;IN;2000;p41p100;76884.965315;111519.899024;2.57966303825;2.57966303825;43230.4140625;0.8478334546;0.8478334546;29804.2675781
;IN;2000;p42p100;77693.2033064;112692.229906;2.56497621536;2.56497645378;43934.9960938;0.8422250152;0.8422250152;30290.0273438
;IN;2000;p43p100;78521.4753948;113893.619791;2.5487010479;2.5487010479;44686.9257812;0.836527884;0.836527884;30808.4277344
;IN;2000;p44p100;79370.1429912;115124.592899;2.53598570824;2.53598570824;45396.390625;0.8307346106;0.8307346106;31297.5507812
;IN;2000;p45p100;80240.5737027;116387.132911;2.52241373062;2.52241373062;46141.1757812;0.8248478174;0.8248478174;31811.0292969
;IN;2000;p46p100;81133.6281568;117682.488149;2.50971078873;2.50971055031;46890.859375;0.8188639879;0.8188639879;32327.8808594
;IN;2000;p47p100;82050.7133017;119012.699359;2.5038049221;2.5038049221;47532.7382812;0.8127843738;0.8127843738;32770.4101562
;IN;2000;p48p100;82994.5279452;120381.681101;2.4939596653;2.4939596653;48269.296875;0.8066217303;0.8066217303;33278.2148438
;IN;2000;p49p100;83964.987349;121789.310464;2.48440694809;2.48440694809;49021.4804688;0.8003602624;0.8003602624;33796.7929688
;IN;2000;p50p100;84963.709333;123237.934058;2.47310853004;2.47310853004;49831.1875;0.7940001488;0.7940001488;34355.0273438
;IN;2000;p51p100;85991.897088;124729.297085;2.46163487434;2.46163487434;50669.2929688;0.7875365615;0.7875365615;34932.8398438
;IN;2000;p52p100;87050.8673579;126265.309452;2.45180225372;2.45180225372;51498.9765625;0.7809647918;0.7809647918;35504.8476562
;IN;2000;p53p100;88142.2253666;127848.2995;2.43411684036;2.43411707878;52523.4804688;0.7742816806;0.7742816806;36211.171875
;IN;2000;p54p100;89265.4142515;129477.459512;2.42882490158;2.42882466316;53308.6875;0.7674642801;0.7674642801;36752.5117188
;IN;2000;p55p100;90426.7018519;131161.880848;2.42224025726;2.42224001884;54149.0;0.7605474591;0.7605474591;37331.8476562
;IN;2000;p56p100;91627.8160632;132904.069779;2.41362023354;2.41362047195;55064.1953125;0.753524065;0.753524065;37962.8125
;IN;2000;p57p100;92869.8667908;134705.636199;2.40677499771;2.40677499771;55969.3515625;0.7463806868;0.7463806868;38586.8515625
;IN;2000;p58p100;94155.8312227;136570.898452;2.39973187447;2.39973163605;56910.9023438;0.7391177416;0.7391177416;39235.9804688
;IN;2000;p59p100;95488.5336467;138503.953102;2.39066123962;2.39066123962;57935.4179688;0.7317322493;0.7317322493;39942.3125
;IN;2000;p60p100;96870.0921702;140507.872417;2.381772995;2.381772995;58992.9765625;0.7242138386;0.7242138386;40671.421875
;IN;2000;p61p100;98303.5944339;142587.13495;2.37325191498;2.37325167656;60080.9140625;0.716557622;0.716557622;41421.4765625
;IN;2000;p62p100;99792.7803918;144747.165418;2.36619353294;2.36619353294;61173.0039062;0.7087610364;0.7087610364;42174.3945312
;IN;2000;p63p100;101342.182176;146994.537578;2.36407351494;2.36407351494;62178.4960938;0.7008242011;0.7008242011;42867.609375
;IN;2000;p64p100;102958.040247;149338.303074;2.36167430878;2.36167430878;63234.0820312;0.6927553415;0.6927553415;43595.359375
;IN;2000;p65p100;104644.192088;151784.028091;2.35231137276;2.35231137276;64525.484375;0.6845422983;0.6845422983;44485.6875
;IN;2000;p66p100;106402.534859;154334.464414;2.34566068649;2.34566092491;65795.7265625;0.6761577129;0.6761577129;45361.4335938
;IN;2000;p67p100;108240.935986;157001.023568;2.33910822868;2.33910822868;67120.03125;0.667609632;0.667609632;46274.4453125
;IN;2000;p68p100;110165.954189;159793.218827;2.33454489708;2.33454489708;68447.265625;0.6588923931;0.6588923931;47189.4765625
;IN;2000;p69p100;112185.231079;162722.134174;2.33140039444;2.33140039444;69795.875;0.6500017047;0.6500017047;48119.2460938
;IN;2000;p70p100;114307.767317;165800.824864;2.32801938057;2.32801938057;71219.6953125;0.6409351826;0.6409351826;49100.8671875
;IN;2000;p71p100;116542.826321;169042.727275;2.33018684387;2.33018684387;72544.7109375;0.6316851377;0.6316851377;50014.3710938
;IN;2000;p72p100;118904.628109;172468.467221;2.32634019852;2.32634019852;74137.25;0.6222628951;0.6222628951;51112.3125
;IN;2000;p73p100;121399.506972;176087.232447;2.3151011467;2.3151011467;76060.2734375;0.612629354;0.612629354;52438.1015625
;IN;2000;p74p100;124034.048036;179908.574529;2.31636738777;2.31636762619;77668.40625;0.6027418971;0.6027418971;53546.7929688
;IN;2000;p75p100;126834.118727;183970.013582;2.31426525116;2.31426525116;79493.921875;0.5926430821;0.5926430821;54805.3515625
;IN;2000;p76p100;129814.018836;188292.291129;2.30988693237;2.30988693237;81515.8046875;0.5823042393;0.5823042393;56199.2929688
;IN;2000;p77p100;132990.507344;192899.715691;2.30478978157;2.30478978157;83695.1484375;0.5716965795;0.5716965795;57701.796875
;IN;2000;p78p100;136385.550183;197824.148356;2.30526542664;2.30526566505;85814.0390625;0.5608001947;0.5608001947;59162.6210938
;IN;2000;p79p100;140033.163627;203114.928956;2.28226780891;2.28226804733;88996.96875;0.5496260524;0.5496260524;61357.0234375
;IN;2000;p80p100;143934.973629;208774.4159;2.29374575615;2.29374575615;91018.984375;0.5380386114;0.5380386114;62751.0585938
;IN;2000;p81p100;148174.118473;214923.199386;2.29839611053;2.29839611053;93510.078125;0.5261905789;0.5261905789;64468.4882812
;IN;2000;p82p100;152786.587807;221613.481578;2.28230404854;2.28230428696;97100.7578125;0.5140138865;0.5140138865;66944.0078125
;IN;2000;p83p100;157790.651598;228871.762653;2.29462385178;2.29462385178;99742.609375;0.5013572574;0.5013572574;68765.3671875
;IN;2000;p84p100;163300.244864;236863.30277;2.29823637009;2.29823637009;103063.078125;0.4883418381;0.4883418381;71054.59375
;IN;2000;p85p100;169387.134127;245692.197642;2.27849602699;2.27849626541;107830.859375;0.4748853743;0.4748853743;74341.640625
;IN;2000;p86p100;176103.36289;255433.935189;2.28919792175;2.28919792175;111582.28125;0.4608003497;0.4608003497;76927.9765625
;IN;2000;p87p100;183647.690526;266376.811378;2.29895448685;2.29895448685;115868.679688;0.4462168217;0.4462168217;79883.1328125
;IN;2000;p88p100;192194.73291;278774.102574;2.31455206871;2.31455206871;120444.078125;0.4310621023;0.4310621023;83037.546875
;IN;2000;p89p100;201996.098129;292990.760603;2.31586718559;2.31586694717;126514.5;0.4152912498;0.4152912498;87222.6640625
;IN;2000;p91p100;226559.588758;328619.546848;2.31920647621;2.31920647621;141694.828125;0.3811027408;0.3811027408;97688.40625
;IN;2000;p92p100;242365.457985;351545.601806;2.3385207653;2.33852052689;150328.203125;0.3623913527;0.3623913527;103640.5
;IN;2000;p93p100;261771.231734;379693.236653;2.36805081367;2.36805081367;160339.984375;0.3424814641;0.3424814641;110542.914062
;IN;2000;p94p100;286285.91349;415251.226734;2.37601971626;2.37601947784;174767.59375;0.3210467994;0.3210467994;120489.703125
;IN;2000;p95p100;318376.962678;461798.566001;2.38316512108;2.38316512108;193775.3125;0.2975286245;0.2975286245;133594.171875
;IN;2000;p96p100;362933.61483;526426.979742;2.43348097801;2.43348097801;216326.71875;0.2713340521;0.2713340521;149141.75
;IN;2000;p97p100;430885.833162;624990.131794;2.49368882179;2.49368882179;250628.75;0.2416020334;0.2416020334;172790.53125
;IN;2000;p98p100;550150.700014;797981.117144;2.45180511475;2.45180511475;325466.78125;0.2056500316;0.2056500316;224385.984375
;IN;2000;p0p90;35747.1141065;51850.3785393;;;0.0;0.6013130248;0.6013130248;0.0
;IN;2000;p0p99;45873.6119467;66538.6340647;;;0.0;0.8488193005;0.8488193005;0.0
;IN;2000;p99.1p100;853000.699986;1237258.17577;1.99428212643;1.99428200722;620402.8125;0.1434858292;0.1434858292;427723.1875
;IN;2000;p99.1p99.2;444552.878102;644813.870615;;;620402.8125;0.0083088428;0.0083088428;427723.1875
;IN;2000;p99.2p100;904056.677721;1311313.71392;1.95328950882;1.95328950882;671336.0625;0.1351769865;0.1351769865;462838.03125
;IN;2000;p99.2p99.3;481258.186694;698054.088531;;;671336.0625;0.0089948773;0.0089948773;462838.03125
;IN;2000;p99.3p100;964456.462153;1398922.23183;1.92434990406;1.92434978485;726958.375;0.1261821091;0.1261821091;501185.59375
;IN;2000;p99.3p99.4;520762.295995;755353.903419;;;726958.375;0.0097332224;0.0097332224;501185.59375
;IN;2000;p99.4p100;1038405.48985;1506183.6199;1.90379178524;1.90379190445;791149.3125;0.1164488867;0.1164488867;545440.6875
;IN;2000;p99.4p99.5;566727.046668;822024.73214;;;791149.3125;0.0105923191;0.0105923191;545440.6875
;IN;2000;p99.5p100;1132741.17848;1643015.39745;1.89989042282;1.89989054203;864794.75;0.1058565676;0.1058565676;596213.9375
;IN;2000;p99.5p99.6;621379.998657;901297.599888;;;864794.75;0.0116138011;0.0116138011;596213.9375
;IN;2000;p99.6p100;1260581.47344;1828444.84684;1.93137156963;1.93137145042;946708.0;0.0942427665;0.0942427665;652687.1875
;IN;2000;p99.6p99.7;686554.065458;995831.106132;;;946708.0;0.0128319263;0.0128319263;652687.1875
;IN;2000;p99.7p100;1451923.94277;2105982.76041;1.98223316669;1.98223316669;1062429.375;0.0814108402;0.0814108402;732468.8125
;IN;2000;p99.7p99.8;787674.842682;1142504.50085;;;1062429.375;0.0147219077;0.0147219077;732468.8125
;IN;2000;p99.8p100;1784048.49281;2587721.89019;2.06625199318;2.06625175476;1252374.875;0.0666889325;0.0666889325;863422.5625
;IN;2000;p99.8p99.9;961965.064262;1395308.51567;;;1252374.875;0.0179794505;0.0179794505;863422.5625
;IN;2000;p99.91p100;2774557.1918;4024432.30089;2.50048518181;2.50048518181;1609460.5;0.0466716662;0.0466716662;1109607.5
;IN;2000;p99.91p99.92;1131650.67866;1641433.65219;;;1609460.5;0.0021150932;0.0021150932;1109607.5
;IN;2000;p99.92p100;2979920.50594;4322307.13198;2.57936763763;2.57936763763;1675723.625;0.044556573;0.044556573;1155291.125
;IN;2000;p99.92p99.93;1182743.44135;1715542.54606;;;1675723.625;0.0022105873;0.0022105873;1155291.125
;IN;2000;p99.93p100;3236660.0866;4694702.07282;2.66947579384;2.66947555542;1758660.75;0.0423459858;0.0423459858;1212470.25
;IN;2000;p99.93p99.94;1247738.52203;1809816.43701;;;1758660.75;0.0023320653;0.0023320653;1212470.25
;IN;2000;p99.94p100;3568147.01403;5175516.34546;2.77374887466;2.77374887466;1865892.25;0.0400139205;0.0400139205;1286398.75
;IN;2000;p99.94p99.95;1333608.00794;1934368.17945;;;1865892.25;0.0024925582;0.0024925582;1286398.75
;IN;2000;p99.95p100;4015054.81524;5823745.97866;2.89637231827;2.89637231827;2010703.5;0.0375213623;0.0375213623;1386235.75
;IN;2000;p99.95p99.96;1453169.93594;2107790.04526;;;2010703.5;0.0027160235;0.0027160235;1386235.75
;IN;2000;p99.96p100;4655526.03507;6752734.96201;3.04359221458;3.04359221458;2218672.75;0.0348053388;0.0348053388;1529615.625
;IN;2000;p99.96p99.97;1633037.03003;2368683.18722;;;2218672.75;0.0030522011;0.0030522011;1529615.625
;IN;2000;p99.97p100;5663022.37008;8214085.5536;3.22533321381;3.22533297539;2546740.25;0.0317531377;0.0317531377;1755794.5
;IN;2000;p99.97p99.98;1940366.95371;2814458.27361;;;2546740.25;0.0036266111;0.0036266111;1755794.5
;IN;2000;p99.98p100;7524350.07827;10913899.1936;3.45887088776;3.45887088776;3155335.75;0.0281265266;0.0281265266;2175377.5
;IN;2000;p99.98p99.99;2618889.76466;3798640.22717;;;3155335.75;0.004894793;0.004894793;2175377.5
;IN;2000;p99.991p100;13433085.1504;19484385.4507;3.81789970398;3.81789970398;5103430.5;0.0225961991;0.0225961991;3518449.0
;IN;2000;p99.991p99.992;3653319.88917;5299057.66977;;;5103430.5;0.0006828178;0.0006828178;3518449.0
;IN;2000;p99.992p100;14655555.8081;21257551.4233;3.85874867439;3.85874867439;5508923.5;0.0219133813;0.0219133813;3798007.25
;IN;2000;p99.992p99.993;3966027.36896;5752632.7794;;;5508923.5;0.0007412639;0.0007412639;3798007.25
;IN;2000;p99.993p100;16182631.2994;23472539.801;3.90139198303;3.90139174461;6016453.0;0.0211721174;0.0211721174;4147912.25
;IN;2000;p99.993p99.994;4363713.39043;6329467.33704;;;6016453.0;0.0008155927;0.0008155927;4147912.25
;IN;2000;p99.994p100;18152450.9509;26329718.545;3.94591569901;3.94591569901;6672651.0;0.0203565247;0.0203565247;4600314.0
;IN;2000;p99.994p99.995;4889221.01096;7091704.22612;;;6672651.0;0.0009138118;0.0009138118;4600314.0
;IN;2000;p99.995p100;20805096.9389;30177321.4088;3.99233531952;3.9923350811;7558815.0;0.0194427129;0.0194427129;5211260.0
;IN;2000;p99.995p99.996;5620851.67328;8152917.914;;;7558815.0;0.0010505561;0.0010505561;5211260.0
;IN;2000;p99.996p100;24601158.2553;35683422.2825;4.04048299789;4.04048299789;8831474.0;0.0183921568;0.0183921568;6088667.5
;IN;2000;p99.996p99.997;6721556.48967;9749465.29458;;;8831474.0;0.0012562815;0.0012562815;6088667.5
;IN;2000;p99.997p100;30561025.5105;44328074.6118;4.08965873718;4.08965873718;10839064.0;0.0171358753;0.0171358753;7472757.0
;IN;2000;p99.997p99.998;8602246.1239;12477362.9693;;;10839064.0;0.0016077887;0.0016077887;7472757.0
;IN;2000;p99.998p100;41540415.2038;60253430.433;4.13733768463;4.13733816147;14563333.0;0.0155280866;0.0155280866;10040373.0
;IN;2000;p99.998p99.999;12754415.0668;18499989.8815;;;14563333.0;0.0023838431;0.0023838431;10040373.0
;IN;2000;p99.99p99.991;3400337.56478;4932112.54396;;;4771210.0;0.0006355345;0.0006355345;3289406.75
;IN;2000;p99.9p99.91;1090304.48731;1581461.93905;;;1555171.25;0.0020378157;0.0020378157;1072178.875
;IN;2000;p99p99.1;411699.956641;597161.45289;;;575210.5;0.0076948106;0.0076948106;396566.34375
;IN;1999;p0p100;52023.2343471;75701.6887364;;;0.0;0.9999999404;0.9999999404;0.0
;IN;1999;p0p50;21541.0081922;31345.4308963;;;0.0;0.2070325613;0.2070325613;0.0
;IN;1999;p50p90;51772.6953108;75337.116476;;;48902.8242188;0.3980736136;0.3980736136;33606.6875
;IN;1999;p90p99;143277.77466;208490.872133;;;131332.0;0.2478728294;0.2478728294;90253.140625
;IN;1999;p99p100;764850.428878;1112973.26711;2.01007175446;2.01007175446;553698.25;0.1470209211;0.1470209211;380509.0
;IN;1999;p99.9p100;2451086.74933;3566702.61841;2.45967507362;2.45967483521;1450070.75;0.0471152291;0.0471152291;996508.375
;IN;1999;p99.99p100;11841422.0397;17231063.3258;3.87322402;3.87322402;4448765.0;0.0227617938;0.0227617938;3057252.0
;IN;1999;p99.999p100;68251649.6412;99316491.9816;4.54866838455;4.54866838455;21834190.0;0.0131194545;0.0131194545;15004754.0
;IN;1999;p0p10;10705.9138782;15578.7268943;;;0.0;0.0205790997;0.0205790997;0.0
;IN;1999;p10p20;17559.670886;25551.9818483;;;21930.1914062;0.0337535143;0.0337535143;15070.7275391
;IN;1999;p20p30;22047.3111575;32082.1784279;;;29033.0859375;0.0423797369;0.0423797369;19951.9335938
;IN;1999;p30p40;26339.5993538;38328.1081377;;;35219.8984375;0.0506304502;0.0506304502;24203.5957031
;IN;1999;p40p50;31052.5456852;45186.1591736;;;41670.6796875;0.0596897602;0.0596897602;28636.6601562
;IN;1999;p50p60;36522.4037867;53145.6315253;;;48902.8242188;0.0702040195;0.0702040195;33606.6875
;IN;1999;p60p70;43602.4281106;63448.1397092;;;57892.2226562;0.0838133693;0.0838133693;39784.328125
;IN;1999;p70p80;53892.7692095;78422.1452404;;;69930.96875;0.1035936475;0.1035936475;48057.515625
;IN;1999;p80p90;73073.1801366;106332.549429;;;89429.2578125;0.1404625773;0.1404625773;61457.0078125
;IN;1999;p90p100;205436.521267;298941.266979;2.27622580528;2.27622556686;131332.0;0.3948937654;0.3948937654;90253.140625
;IN;1999;p0p1;5019.6180809;7304.30489962;;;0.0;0.00096488;0.00096488;0.0
;IN;1999;p1p2;6598.55897958;9601.90315444;;;8899.12792969;0.0012683868;0.0012683868;6115.60205078
;IN;1999;p2p3;8258.43145222;12017.2691124;;;11517.2060547;0.0015874505;0.0015874505;7914.78125
;IN;1999;p3p4;9736.90556945;14168.6729771;;;13756.4882812;0.0018716455;0.0018716455;9453.64648438
;IN;1999;p4p5;10832.427603;15762.8235337;;;15378.4179688;0.0020822287;0.0020822287;10568.2587891
;IN;1999;p5p6;11821.5912847;17202.2065724;;;16817.28125;0.0022723675;0.0022723675;11557.0664062
;IN;1999;p6p7;12689.5126467;18465.1636649;;;18106.0976562;0.0024392009;0.0024392009;12442.7578125
;IN;1999;p7p8;13367.3533389;19451.524581;;;19125.1113281;0.0025694966;0.0025694966;13143.0371094
;IN;1999;p8p9;14060.698164;20460.4463599;;;20152.421875;0.0027027726;0.0027027726;13849.0195312
;IN;1999;p9p10;14674.0416631;21352.9540873;;;21055.8476562;0.0028206706;0.0028206706;14469.8652344
;IN;1999;p10p11;15267.8499547;22217.0351277;;;21930.1914062;0.0029348135;0.0029348135;15070.7275391
;IN;1999;p11p12;15818.8668394;23018.8481872;;;22746.7050781;0.003040731;0.003040731;15631.8457031
;IN;1999;p12p13;16361.2014097;23808.0271636;;;23552.9316406;0.0031449795;0.0031449795;16185.8964844
;IN;1999;p13p14;16865.3958129;24541.7064178;;;24296.1269531;0.0032418966;0.0032418966;16696.6308594
;IN;1999;p14p15;17350.0550087;25246.958985;;;24998.9628906;0.0033350587;0.0033350587;17179.6289062
;IN;1999;p15p16;17833.1637911;25949.9554659;;;25695.25;0.0034279227;0.0034279227;17658.1269531
;IN;1999;p16p17;18321.8540614;26661.0738574;;;26398.4550781;0.0035218596;0.0035218596;18141.3789062
;IN;1999;p17p18;18812.094745;27374.4483352;;;27117.875;0.0036160946;0.0036160946;18635.7734375
;IN;1999;p18p19;19266.9860055;28036.3840461;;;27791.0429688;0.0037035346;0.0037035346;19098.3847656
;IN;1999;p19p20;19699.2412319;28665.3808975;;;28424.03125;0.0037866235;0.0037866235;19533.3828125
;IN;1999;p20p21;20125.9149704;29286.2558383;;;29033.0859375;0.0038686395;0.0038686395;19951.9335938
;IN;1999;p21p22;20588.2482147;29959.0207632;;;29708.2773438;0.00395751;0.00395751;20415.9335938
;IN;1999;p22p23;21017.7126971;30583.9566593;;;30351.1132812;0.0040400624;0.0040400624;20857.6992188
;IN;1999;p23p24;21424.8512282;31176.4049132;;;30954.0097656;0.0041183233;0.0041183233;21272.0175781
;IN;1999;p24p25;21836.0208337;31774.7189913;;;31533.1230469;0.0041973591;0.0041973591;21669.9921875
;IN;1999;p25p26;22244.3996954;32368.9721142;;;32113.734375;0.0042758584;0.0042758584;22068.9960938
;IN;1999;p26p27;22694.639716;33024.1395663;;;32770.203125;0.0043624043;0.0043624043;22520.1308594
;IN;1999;p27p28;23078.8321303;33583.1977433;;;33337.4492188;0.0044362545;0.0044362545;22909.9492188
;IN;1999;p28p29;23517.5990925;34221.670157;;;33979.9101562;0.0045205951;0.0045205951;23351.4570312
;IN;1999;p29p30;23944.8929963;34843.4475324;;;34598.9804688;0.0046027303;0.0046027303;23776.890625
;IN;1999;p30p31;24376.5280574;35471.5419492;;;35219.8984375;0.0046856999;0.0046856999;24203.5957031
;IN;1999;p31p32;24812.1941931;36105.5021904;;;35847.4804688;0.0047694445;0.0047694445;24634.8769531
;IN;1999;p32p33;25258.4031391;36754.8038182;;;36494.2148438;0.0048552155;0.0048552155;25079.3242188
;IN;1999;p33p34;25703.3717545;37402.300577;;;37140.0351562;0.0049407482;0.0049407482;25523.1386719
;IN;1999;p34p35;26113.9211948;37999.7122206;;;37736.9921875;0.0050196648;0.0050196648;25933.3769531
;IN;1999;p35p36;26548.6570824;38632.31881;;;38371.2265625;0.0051032305;0.0051032305;26369.2324219
;IN;1999;p36p37;26982.7728048;39264.0229649;;;39008.3046875;0.005186677;0.005186677;26807.0410156
;IN;1999;p37p38;27406.035634;39879.9345159;;;39621.40625;0.0052680373;0.0052680373;27228.3710938
;IN;1999;p38p39;27866.5083824;40549.9921374;;;40281.1015625;0.0053565502;0.0053565502;27681.7246094
;IN;1999;p39p40;28327.601296;41220.9521933;;;40937.4570312;0.0054451823;0.0054451823;28132.7792969
;IN;1999;p40p41;28837.9973524;41963.6557926;;;41670.6796875;0.0055432916;0.0055432916;28636.6601562
;IN;1999;p41p42;29336.3001852;42688.7619189;;;42400.40625;0.0056390762;0.0056390762;29138.1386719
;IN;1999;p42p43;29802.664504;43367.3926682;;;43092.1328125;0.0057287216;0.0057287216;29613.5019531
;IN;1999;p43p44;30308.4093206;44103.3280086;;;43833.9453125;0.0058259368;0.0058259368;30123.2871094
;IN;1999;p44p45;30799.8903348;44818.5073554;;;44534.2460938;0.0059204102;0.0059204102;30604.5410156
;IN;1999;p45p46;31307.4956473;45557.1499994;;;45265.515625;0.006017983;0.006017983;31107.0800781
;IN;1999;p46p47;31813.5505464;46293.5365571;;;46004.4765625;0.0061152577;0.0061152577;31614.9042969
;IN;1999;p47p48;32255.4183352;46936.5211434;;;46643.7382812;0.0062001944;0.0062001944;32054.2128906
;IN;1999;p48p49;32775.1168714;47692.7612602;;;47375.6289062;0.0063000917;0.0063000917;32557.1777344
;IN;1999;p49p50;33288.6137544;48439.977032;;;48112.0507812;0.006398797;0.006398797;33063.2578125
;IN;1999;p50p51;33829.3979114;49226.8999221;;;48902.8242188;0.0065027475;0.0065027475;33606.6875
