Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2016;p90p99;678553.249462;817729.330062;;;;;;;;0.3242906928;0.3286587596;;;383094.53125;453394.84375;
;TH;2016;p99p100;3520564.18221;4529113.18667;;;2.2481179237;2.337161541;;;;0.1869477782;0.2022582783;;;1566005.125;1937869.125;
;TH;2016;p99.9p100;12511658.713;17117669.8687;;;2.12489748;2.3395700455;;;;0.0664389761;0.0764430087;;;5888123.5;7316588.0;
;TH;2016;p99.99p100;44050015.6697;68018873.0166;;;2.2602279186;2.6351714134;;;;0.0233912867;0.0303754389;;;19489192.0;25811936.0;
;TH;2016;p99.999p100;159483780.148;290600880.413;;;2.2704536915;2.755012989;;;;0.0084688524;0.0129774706;;;70243136.0;105480768.0;
;TH;2016;p0p10;27656.3786104;25609.4943848;;;;;;;;0.0146859942;0.0114365263;;;0.0;0.0;
;TH;2016;p10p20;44387.3475257;43098.6703955;;;;;;;;0.0235704153;0.0192467321;;;37743.5;35197.0898438;
;TH;2016;p20p30;57731.6791734;59521.2557747;;;;;;;;0.030656476;0.0265806266;;;51028.4492188;51581.7109375;
;TH;2016;p30p40;71365.7010017;75211.2442804;;;;;;;;0.037896367;0.0335873626;;;64590.9726562;67594.921875;
;TH;2016;p40p50;86004.1597875;93017.2416469;;;;;;;;0.0456696306;0.0415390525;;;78494.8203125;83203.640625;
;TH;2016;p50p60;104055.21543;115436.898343;;;;;;;;0.0552550396;0.0515510812;;;94715.6171875;103356.59375;
;TH;2016;p60p70;124873.761656;143268.43154;;;;;;;;0.0663100318;0.0639799116;;;113936.585938;128252.679688;
;TH;2016;p70p80;154379.752017;187180.45816;;;;;;;;0.0819782005;0.0835898672;;;138006.03125;161091.875;
;TH;2016;p80p90;249972.279003;308060.637274;;;;;;;;0.1327394126;0.1375717744;;;176384.703125;220973.140625;
;TH;2016;p90p100;962754.260436;1188867.76938;;;2.5130984783;2.6221466064;;;;0.5112384282;0.5309170639;;;383094.53125;453394.84375;
;TH;2016;p0p1;11941.667592;10814.94678;;;;;;;;0.0006341223;0.0004829671;;;0.0;0.0;
;TH;2016;p1p2;18811.4923668;17223.4365162;;;;;;;;0.0009989213;0.0007691534;;;16297.1552734;14863.8105469;
;TH;2016;p2p3;22728.7394134;20913.4187864;;;;;;;;0.0012069336;0.0009339383;;;20984.8847656;19267.6503906;
;TH;2016;p3p4;25716.1529584;23739.3508709;;;;;;;;0.0013655702;0.0010601369;;;24329.4570312;22426.0703125;
;TH;2016;p4p5;28193.6043448;26089.619096;;;;;;;;0.001497127;0.0011650937;;;27020.9960938;24976.2558594;
;TH;2016;p5p6;30339.3087007;28129.6454086;;;;;;;;0.0016110674;0.0012561959;;;29312.1308594;27152.3964844;
;TH;2016;p6p7;32248.2829639;29947.8361106;;;;;;;;0.0017124371;0.0013373916;;;31327.6054688;29070.4511719;
;TH;2016;p7p8;33978.062136;31597.8246539;;;;;;;;0.0018042913;0.0014110757;;;33139.40625;30797.4726562;
;TH;2016;p8p9;35566.4920764;33114.9521828;;;;;;;;0.0018886395;0.0014788266;;;34793.3398438;32376.203125;
;TH;2016;p9p10;37039.983552;34523.9134428;;;;;;;;0.0019668844;0.0015417471;;;36320.6015625;33835.78125;
;TH;2016;p10p11;38390.5697058;35914.1131614;;;;;;;;0.0020386027;0.0016038298;;;37743.5;35197.0898438;
;TH;2016;p11p12;39701.9529598;37378.2824141;;;;;;;;0.0021082393;0.0016692157;;;39042.3164062;36638.3046875;
;TH;2016;p12p13;41032.8302405;38893.2671076;;;;;;;;0.0021789111;0.001736871;;;40364.8242188;38126.7890625;
