Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2002;p22p23;26275.3692797;29668.2352472;7374.8923239;21607.6363616;;;;;21264.6972656;0.0020248706;0.0019142618;0.0011836723;0.0023314198;25828.8671875;29146.7890625;7194.38964844
;TH;2002;p23p24;27171.917472;30697.0059504;7705.00424035;22311.1003135;;;;;21954.3652344;0.0020939617;0.0019806405;0.0012366554;0.0024073222;26722.7675781;30185.0;7546.86132812
;TH;2002;p24p25;28073.9069987;31724.1997252;8002.71431305;23050.3138322;;;;;22673.8867188;0.0021634721;0.0020469173;0.001284438;0.0024870818;27621.9570312;31208.8144531;7857.78662109
;TH;2002;p25p26;28982.34999;32772.6188827;8284.61006359;23833.1704359;;;;;23434.125;0.0022334799;0.0021145637;0.0013296823;0.0025715504;28526.9121094;32243.2050781;8145.05761719
;TH;2002;p26p27;29899.461048;33859.9885302;8564.17968786;24660.8202737;;;;;24239.8164062;0.0023041556;0.0021847233;0.0013745533;0.0026608522;29439.2089844;33308.6289062;8423.83984375
;TH;2002;p27p28;30828.8898849;34997.7188445;8850.99098494;25526.2761361;;;;;25088.2851562;0.0023757806;0.0022581322;0.0014205866;0.0027542331;30361.7402344;34419.875;8705.80761719
;TH;2002;p28p29;31775.9569835;36189.4436168;9149.72667116;26412.8576254;;;;;25967.9785156;0.0024487649;0.002335025;0.0014685338;0.0028498934;31298.9453125;35584.7226562;8998.26074219
;TH;2002;p29p30;32747.967811;37429.3422858;9459.06955121;27292.3785374;;;;;26856.7851562;0.0025236714;0.0024150261;0.0015181834;0.0029447919;32257.0878906;36802.3828125;9303.08203125
;TH;2002;p30p31;33753.9892436;38701.439882;9771.59299369;28127.6111589;;;;;27720.0976562;0.0026011989;0.0024971047;0.0015683435;0.0030349118;33244.5585938;38061.6914062;9615.53417969
;TH;2002;p31p32;34799.3447855;39991.7244775;10085.5105162;28917.2025002;;;;;28526.8769531;0.0026817576;0.0025803568;0.0016187273;0.0031201071;34270.0664062;39344.0507812;9927.72753906
;TH;2002;p32p33;35883.7685635;41295.328163;10408.4387861;29700.97836;;;;;29306.6640625;0.002765327;0.0026644683;0.0016705574;0.0032046749;35335.1523438;40641.6054688;10244.8212891
;TH;2002;p33p34;37005.5837645;42608.8625275;10747.4881918;30516.8461832;;;;;30100.7773438;0.0028517779;0.0027492205;0.001724975;0.0032927054;36438.6367188;41950.6914062;10574.7773438
;TH;2002;p34p35;38161.9987212;43929.6103466;11107.7382039;31394.5760565;;;;;30943.3964844;0.0029408953;0.0028344381;0.0017827952;0.0033874107;37578.3203125;43268.2226562;10923.7753906
;TH;2002;p35p36;39348.9075073;45255.709618;11491.6839501;32353.5867249;;;;;31859.5195312;0.0030323626;0.002920001;0.0018444186;0.003490886;38750.7851562;44591.8710938;11295.7041016
;TH;2002;p36p37;40560.6482347;46586.3917245;11898.5812441;33400.3021916;;;;;32862.5390625;0.0031257435;0.0030058597;0.0019097257;0.0036038244;39951.1953125;45920.2890625;11691.5566406
;TH;2002;p37p38;41789.7341592;47922.2376397;12323.6646822;34525.0745837;;;;;33951.4023438;0.0032204611;0.0030920515;0.0019779517;0.0037251851;41173.0273438;47253.328125;12108.71875
;TH;2002;p38p39;43026.5213392;49265.5135215;12757.2337303;35698.5653901;;;;;35107.265625;0.0033157722;0.0031787227;0.0020475397;0.0038518023;42407.765625;48592.3554688;12540.1240234
;TH;2002;p39p40;44258.8581663;50620.5099138;13183.5669082;36867.5117052;;;;;36289.5859375;0.0034107403;0.0032661501;0.0021159663;0.0039779292;43644.5859375;49940.5820312;12973.2578125
;TH;2002;p40p41;45473.188135;51993.9928134;13582.3666425;37956.3683738;;;;;37431.5664062;0.0035043207;0.0033547704;0.0021799738;0.0040954147;44869.9257812;51303.46875;13388.9794922
;TH;2002;p41p42;46670.0429913;53395.0701541;13955.6275848;38932.8772759;;;;;38461.4414062;0.0035965545;0.0034451711;0.0022398822;0.004200778;46073.296875;52689.1171875;13771.0986328
;TH;2002;p42p43;47865.3358432;54833.2431994;14330.8295044;39826.1007141;;;;;39390.4257812;0.0036886679;0.0035379652;0.0023001023;0.004297155;47266.5507812;54107.21875;14140.53125
;TH;2002;p43p44;49075.300055;56317.1255143;14735.0097204;40671.4278894;;;;;40253.7929688;0.0037819119;0.0036337087;0.0023649733;0.004388364;48466.5976562;55566.90625;14526.03125
;TH;2002;p44p45;50314.3713264;57853.9882899;15190.8071644;41504.0883202;;;;;41086.9609375;0.003877399;0.0037328706;0.0024381289;0.0044782064;49688.8945312;57076.203125;14952.6914062
;TH;2002;p45p46;51594.4535202;59449.2659747;15714.7767183;42358.4699521;;;;;41924.8632812;0.0039760466;0.0038358015;0.0025222262;0.0045703924;50946.7421875;58641.546875;15440.4189453
;TH;2002;p46p47;52924.0001919;61105.9789098;16315.3147767;43267.2430599;;;;;42801.1875;0.004078506;0.0039426964;0.0026186127;0.0046684472;52250.4882812;60267.2773438;16002.0722656
;TH;2002;p47p48;54306.8785861;62823.9935793;16990.1133465;44260.2813084;;;;;43747.4101562;0.0041850754;0.0040535466;0.0027269181;0.004775594;53606.5;61954.9609375;16641.1621094
;TH;2002;p48p49;55741.0161015;64599.1673892;17723.0498413;45363.3195521;;;;;44791.5820312;0.004295595;0.0041680848;0.0028445546;0.0048946096;55015.9296875;63702.6328125;17349.0449219
;TH;2002;p49p50;57216.7446259;66422.2985838;18480.4023208;46596.2620586;;;;;45956.8359375;0.0044093197;0.0042857174;0.0029661099;0.0050276415;56473.1992188;65503.8007812;18101.4921875
;TH;2002;p50p51;58717.2114319;68279.6025725;19209.8369329;47969.6220103;;;;;47259.5117188;0.0045249509;0.0044055548;0.0030831844;0.0051758243;57964.1992188;67346.3203125;18854.5214844
;TH;2002;p51p52;60242.4467322;70170.3143465;19875.7531385;49468.9804655;;;;;48701.0;0.0046424908;0.0045275479;0.0031900641;0.005337602;59473.9921875;69218.1796875;19554.0058594
;TH;2002;p52p53;61814.578418;72110.4124838;20475.1350243;51060.9550497;;;;;50252.359375;0.0047636447;0.0046527274;0.0032862651;0.0055093728;61018.7460938;71130.6953125;20186.3417969
;TH;2002;p53p54;63455.927743;74116.7416098;21012.1793372;52712.8711723;;;;;51879.4726562;0.0048901327;0.0047821803;0.0033724608;0.0056876112;62621.9960938;73101.1953125;20753.4492188
;TH;2002;p54p55;65185.5711004;76204.7101544;21496.4879667;54396.1196852;;;;;53551.3867188;0.005023425;0.0049169008;0.0034501925;0.0058692303;64304.6601562;75145.9296875;21262.0058594
;TH;2002;p55p56;67017.7206148;78387.4387383;21944.5940346;56088.2672876;;;;;55242.1875;0.0051646167;0.0050577354;0.0035221137;0.0060518095;66083.671875;77279.3359375;21724.7910156
;TH;2002;p56p57;68959.8086474;80674.6270944;22381.8695078;57775.7322944;;;;;56933.3671875;0.0053142807;0.0052053099;0.0035922965;0.0062338836;67970.2421875;79513.0234375;22162.40625
;TH;2002;p57p58;71009.9378312;83071.1972599;22844.907174;59457.1336636;;;;;58616.8125;0.0054722708;0.0053599421;0.0036666142;0.0064153033;69967.5859375;81854.5703125;22605.3925781
;TH;2002;p58p59;73153.7268495;85575.4387908;23384.4872329;61147.5549635;;;;;60298.59375;0.0056374785;0.0055215214;0.0037532169;0.0065976963;72068.171875;84305.9140625;23096.8828125
;TH;2002;p59p60;75360.2921274;88176.7859065;24069.2837212;62883.8743309;;;;;62003.6914062;0.0058075241;0.0056893663;0.003863127;0.0067850417;74250.1015625;86861.34375;23695.921875
;TH;2002;p60p61;77581.2024663;90854.0637439;24981.2470758;64725.0406806;;;;;63781.9921875;0.0059786751;0.0058621103;0.0040094974;0.0069836997;76472.6640625;89504.953125;24481.5761719
;TH;2002;p61p62;79789.0729393;93586.1407418;26124.1460999;66689.6203957;;;;;65689.6171875;0.0061488212;0.0060383901;0.004192933;0.0071956739;78686.96875;92212.15625;25520.8886719
;TH;2002;p62p63;81992.085186;96360.2643498;27408.8583154;68737.6884154;;;;;67703.515625;0.0063185929;0.0062173828;0.0043991297;0.0074166562;80890.34375;94967.09375;26751.0214844
;TH;2002;p63p64;84203.4301367;99166.6770983;28738.9876568;70824.8140291;;;;;69778.3125;0.0064890068;0.006398459;0.0046126158;0.0076418528;83095.1875;97758.765625;28074.1621094
;TH;2002;p64p65;86437.8879175;101998.999104;30024.8139757;72910.1442882;;;;;71870.90625;0.0066612018;0.0065812068;0.0048189913;0.0078668557;85315.4921875;100578.828125;29396.2011719
;TH;2002;p65p66;88711.8822337;104856.061202;31190.8451543;74959.6019814;;;;;73943.21875;0.0068364437;0.0067655509;0.0050061396;0.008087988;87566.84375;103423.179688;30633.0625
;TH;2002;p66p67;91043.4441141;107744.221625;32186.2357131;76950.235917;;;;;75965.90625;0.0070161219;0.0069519016;0.0051659001;0.0083027733;89866.4921875;106293.953125;31719.5488281
;TH;2002;p67p68;93452.1152298;110680.555944;32999.1831182;78876.0903514;;;;;77923.3671875;0.0072017424;0.0071413605;0.0052963784;0.0085105691;92233.234375;109202.273438;32621.5507812
;TH;2002;p68p69;95958.7122347;113697.08627;33676.7263285;80756.102823;;;;;79820.5859375;0.0073949094;0.0073359939;0.0054051243;0.0087134186;94687.3046875;112171.867188;33352.8359375
;TH;2002;p69p70;98584.9702527;116846.475511;34352.0471343;82644.8244907;;;;;81692.2421875;0.0075972979;0.0075391997;0.0055135135;0.0089172078;97250.0625;115243.984375;33998.2109375
;TH;2002;p70p71;101351.24066;120203.716172;35259.8355021;84639.1009246;;;;;83615.1484375;0.0078104762;0.0077558164;0.0056592138;0.0091323862;99943.5;118483.953125;34745.4648438
;TH;2002;p71p72;104259.722951;123810.494008;36530.8941469;86807.3713871;;;;;85693.1171875;0.0080346139;0.0079885339;0.005863219;0.0093663381;102782.9375;121965.921875;35838.046875
;TH;2002;p72p73;107295.908916;127657.304149;38104.0286125;89156.8863489;;;;;87951.8125;0.0082685929;0.0082367389;0.0061157076;0.009619846;105757.71875;125695.046875;37274.2265625
;TH;2002;p73p74;110447.822181;131731.8415;39891.1899058;91689.5102165;;;;;90392.4453125;0.0085114902;0.0084996372;0.0064025475;0.009893111;108853.265625;129657.429688;38969.578125
;TH;2002;p74p75;113711.329629;136027.336458;41799.9944749;94409.1185392;;;;;93017.6875;0.0087629873;0.0087767923;0.0067089112;0.0101865511;112060.757812;133842.90625;40833.046875
;TH;2002;p75p76;117095.833498;140547.28208;43740.5248821;97322.9704188;;;;;95832.828125;0.0090238089;0.0090684295;0.0070203668;0.0105009498;115381.703125;138248.875;42772.0117188
;TH;2002;p76p77;120632.658471;145312.665586;45636.9408522;100443.87502;;;;;98847.4765625;0.0092963688;0.0093759028;0.0073247422;0.010837689;118834.78125;142886.125;44701.1601562
;TH;2002;p77p78;124387.608134;150372.837254;47446.3813145;103793.342072;;;;;102078.148438;0.0095857382;0.0097023966;0.0076151579;0.0111990897;122466.023438;147787.609375;46557.2070312
;TH;2002;p78p79;128479.612351;155822.051929;49189.3063155;107406.337831;;;;;105552.117188;0.0099010821;0.0100539923;0.0078948978;0.0115889246;126364.039062;153021.78125;48322.6679688
;TH;2002;p79p80;133108.885635;161824.237984;50997.8328647;111338.423344;;;;;109313.226562;0.0102578299;0.0104412669;0.0081851669;0.0120131886;130682.726562;158712.734375;50063.8359375
;TH;2002;p80p81;138576.74678;168633.479345;53165.089139;115672.642392;;;;;113430.492188;0.0106792022;0.0108806146;0.0085330121;0.0124808419;135675.46875;165070.46875;51991.1914062
;TH;2002;p81p82;145088.546484;176445.228515;55926.3018471;120489.59604;;;;;117995.609375;0.0111810239;0.0113846464;0.0089761876;0.0130005814;141655.265625;172365.890625;54441.5976562
;TH;2002;p82p83;152662.074073;185322.663667;59319.0255615;125850.14508;;;;;123074.039062;0.0117646661;0.0119574387;0.0095207207;0.0135789737;148698.96875;180702.125;57516.3789062
;TH;2002;p83p84;161286.005771;195318.353889;63352.3936101;131820.75216;;;;;128727.757812;0.012429256;0.0126023833;0.0101680774;0.01422319;156800.375;190129.421875;61228.5859375
;TH;2002;p84p85;170942.35889;206494.106108;68027.1951495;138477.935638;;;;;135027.984375;0.0131734079;0.0133234682;0.0109183844;0.0149414865;165943.640625;200703.625;65583.234375
;TH;2002;p85p86;181618.99995;218932.988723;73337.0995185;145910.039043;;;;;142056.8125;0.0139961867;0.0141260531;0.0117706256;0.0157433953;176110.609375;212494.390625;70577.046875
;TH;2002;p86p87;193339.011567;232763.811876;79275.1841886;154219.337168;;;;;149909.1875;0.0148993712;0.0150184492;0.0127236899;0.0166399516;187299.796875;225602.09375;76201.609375
;TH;2002;p87p88;206224.236122;248210.160185;85852.6250107;163524.556467;;;;;158695.15625;0.015892351;0.0160150826;0.013779371;0.0176439658;199568.875;240191.796875;82454.3828125
;TH;2002;p88p89;220628.659451;265688.212815;93144.171367;173963.835665;;;;;168542.609375;0.0170024056;0.0171428062;0.0149496663;0.0187703427;213124.96875;256561.109375;89367.3515625
;TH;2002;p89p90;237417.045827;286004.245626;101393.179441;185698.048893;;;;;179600.453125;0.0182961766;0.0184536427;0.0162736345;0.0200364403;228512.8125;275275.96875;97074.40625
;TH;2002;p90p91;258362.962048;310644.973633;111194.261362;198936.303171;;;;;192042.1875;0.0199103411;0.0200435184;0.017846711;0.021464821;247009.9375;297447.53125;105965.726562
;TH;2002;p91p92;284832.07727;341026.759916;123218.641284;214201.754472;;;;;206159.265625;0.0219501425;0.0220038202;0.0197766274;0.023111932;270664.625;324813.125;116797.703125
;TH;2002;p92p93;316701.098895;377855.808539;137960.261642;232558.909967;;;;;222750.125;0.0244060792;0.0243801139;0.0221426617;0.0250926316;299904.71875;358314.75;130087.84375
;TH;2002;p93p94;353494.162452;421798.716324;156203.091544;255664.139639;;;;;243145.265625;0.0272414796;0.02721541;0.0250706412;0.0275856387;334311.375;398577.96875;146402.78125
;TH;2002;p94p95;395567.223654;473954.1801;179720.447226;285988.50741;;;;;269369.78125;0.0304837748;0.0305805989;0.0288451836;0.0308575761;373485.90625;446359.65625;166837.9375
;TH;2002;p95p96;448170.163975;538863.868849;213094.508767;321809.715803;;;;;304360.625;0.0345375389;0.0347687192;0.03420173;0.0347226113;419248.4375;503366.59375;194180.609375
;TH;2002;p96p97;516230.530039;630472.361074;273662.397943;348652.511223;;;;;334512.625;0.0397825055;0.040679507;0.0439228937;0.0376188941;480188.0625;579347.75;236292.03125
;TH;2002;p97p98;638312.776877;792697.7956;344195.873386;464072.336615;;;;;374565.625;0.0491905846;0.05114666;0.0552435368;0.0500724576;556437.9375;691183.1875;306974.59375
;TH;2002;p98p99;920997.107245;1147290.06499;556668.271395;608168.566887;;;;;508464.0;0.0709752142;0.0740257576;0.0893454179;0.0656201467;743213.8125;923533.375;412947.4375
;TH;2002;p1p100;131052.97571;156528.913459;62931.4403979;93598.7074033;38.6168289185;44.4571876526;120.221984863;32.9176292419;2843.421875;0.9998400457;0.9998604575;0.9999509169;0.9998118337;3393.67529297;3520.89111328;523.460327148
;TH;2002;p2p100;132345.648132;158080.005501;63566.4972648;94516.4950916;25.1119041443;29.0520000458;74.1483154297;21.4721717834;4401.81347656;0.9995031953;0.9995686947;0.99983923;0.9994174113;5270.23535156;5441.27783203;857.288513184
;TH;2002;p3p100;133647.530211;159645.263368;64211.4770341;95438.7389524;19.6024169922;22.7441101074;56.1256484985;16.7908535004;5683.97167969;0.999035953;0.999165431;0.9996781744;0.9988715727;6817.91064453;7019.19140625;1144.06652832
;TH;2002;p4p100;134961.430348;161227.750337;64867.0566778;96367.6931481;16.4899711609;19.1730213165;46.2012748718;14.1419553757;6814.31201172;0.9984569662;0.9986668988;0.9994734032;0.9981962247;8184.45507812;8409.09472656;1404.01013184
;TH;2002;p5p100;136289.278385;162829.618003;65533.803264;97304.8681259;14.4521427155;16.8315544128;39.822101593;12.4054841995;7843.69775391;0.9977775851;0.9980829515;0.9992284587;0.9974046777;9430.38574219;9674.06933594;1645.6640625
;TH;2002;p6p100;137632.615686;164452.619425;66212.2408734;98251.4433197;12.9990110397;15.1602163315;35.3381462097;11.1659765244;8799.18066406;0.9970057506;0.9974204701;0.998945871;0.996506233;10587.9296875;10847.6435547;1873.67614746
;TH;2002;p7p100;138992.778614;166098.301017;66902.8766913;99208.4212657;11.9033355713;13.899105072;31.9966278076;10.2305345535;9697.28613281;0.9961474592;0.9966846432;0.9986275813;0.9955079077;11676.7919922;11950.2871094;2090.93530273
;TH;2002;p8p100;140370.986542;167768.094648;67606.2141189;100176.701313;11.0440368652;12.909570694;29.4017467499;9.49629879;10549.0263672;0.9952074663;0.9958795803;0.9982751494;0.9944152621;12710.1162109;12995.6367188;2299.39453125
;TH;2002;p9p100;141768.390768;169463.368949;68322.7605077;101157.120421;10.3501596451;12.1102819443;27.3241481781;8.9029502869;11362.2021484;0.9941896738;0.9950086502;0.9978898696;0.9932328556;13697.2177734;13993.3466797;2500.45336914
;TH;2002;p10p100;143186.104637;171185.461049;69053.0323022;102150.478141;9.777135849;11.4501018524;25.6211338043;8.4125795364;12142.5869141;0.9930973654;0.9940746852;0.9974728419;0.9919645231;14644.9951172;14950.5625;2695.15917969
;TH;2002;p11p100;144624.951234;172935.270296;69798.3279114;103157.423721;9.2613430023;10.8353824615;25.3687782288;7.9811649323;12925.1083984;0.9919314912;0.9930776588;0.9970360045;0.9906123112;15615.9804688;15960.2373047;2751.34765625
;TH;2002;p12p100;146085.371059;174713.150009;70559.7593269;104178.270837;8.799571991;10.2704467773;24.8316249847;7.5917396545;13722.5820312;0.9906901526;0.9920142121;0.9965878294;0.9891747999;16601.4179688;17011.2519531;2841.52807617
;TH;2002;p13p100;147568.010702;176519.536141;71337.3279195;105213.365281;8.3895101547;9.7455396652;23.8324699402;7.2419261932;14528.3671875;0.9893726973;0.9908813587;0.9961205662;0.9876507354;17589.5859375;18112.8535156;2993.28295898
;TH;2002;p14p100;149073.673762;178354.801128;72130.7521211;106263.145188;8.0274744034;9.25552845;22.3489017487;6.928999424;15336.0019531;0.987979314;0.9896756474;0.9956225585;0.9860395714;18570.4335938;19270.0820312;3227.48535156
;TH;2002;p15p100;150603.308164;180219.304242;72939.5378783;107328.14384;7.709025383;8.7984924316;20.5066127777;6.6501131058;16139.2958984;0.9865108893;0.9883934585;0.9950794315;0.9843414454;19535.9726562;20482.9746094;3556.87890625
;TH;2002;p16p100;152157.987643;182113.455582;73763.0722722;108408.991502;7.4293284416;8.3746986389;18.5127487183;6.4024467468;16932.4316406;0.9849688318;0.9870313553;0.9944755253;0.9825571433;20480.71875;21745.671875;3984.44726562
;TH;2002;p17p100;153738.886235;184037.79616;74600.7448831;109506.41605;7.183327198;7.9858784676;16.5722026825;6.183280468;17710.0839844;0.9833548608;0.985586496;0.9937956066;0.9806880535;21402.1835938;23045.4042969;4501.55859375
;TH;2002;p18p100;155347.244411;185993.09694;75452.102179;110621.242086;6.9657907486;7.634759903;14.8356657028;5.990029335;18467.5625;0.9816707535;0.9840571161;0.9930268991;0.9787361059;22301.4511719;24361.3554688;5085.85888672
;TH;2002;p19p100;156984.325259;187980.480164;76317.040999;111754.388196;6.7712903023;7.3248534203;13.3915538788;5.8202505112;19200.9589844;0.9799180458;0.982443088;0.9921614722;0.976703696;23183.8125;25663.3769531;5698.89355469
;TH;2002;p20p100;158651.358809;190001.566823;77196.0481322;112906.861938;6.5941252708;7.0604901314;12.2856626511;5.6716237068;19907.3261719;0.9780976807;0.9807465687;0.991199037;0.9745935908;24059.5;26910.5351562;6283.42578125
;TH;2002;p21p100;160349.484179;192058.603935;78090.4315675;114079.738903;6.4292283058;6.8431825638;11.5170755386;5.540810585;20588.9980469;0.9762096682;0.9789724879;0.9901494042;0.9724087023;24940.7050781;28065.6855469;6780.40478516
;TH;2002;p22p100;162079.80747;194154.085086;79001.9319827;115274.011714;6.275141716;6.6612510681;10.9810476303;5.4209098816;21264.6972656;0.974253469;0.9771264365;0.9890269616;0.97015078;25828.8671875;29146.7890625;7194.38964844
;TH;2002;p23p100;163843.501456;196290.264961;79932.1532734;116490.45814;6.1312327385;6.502907753;10.5914430618;5.3060269356;21954.3652344;0.9722285983;0.9752121747;0.9878432892;0.9678193601;26722.7675781;30185.0;7546.86132812
;TH;2002;p24p100;165641.811771;198469.123626;80882.5104985;117729.660205;5.9967441559;6.3593931198;10.2932939529;5.1923017502;22673.8867188;0.9701346366;0.9732315342;0.9866066338;0.9654120379;27621.9570312;31208.8144531;7857.78662109
;TH;2002;p25p100;167476.050505;200692.389289;81854.2411154;118992.051499;5.8708090782;6.2243313789;10.0495595932;5.0777254105;23434.125;0.9679711645;0.9711846169;0.9853221959;0.9629249561;28526.9121094;32243.2050781;8145.05761719
;TH;2002;p26p100;169347.587012;202961.575394;82848.4253204;120277.982311;5.7524504662;6.0933632851;9.8349952698;4.96200037;24239.8164062;0.9657376847;0.9690700533;0.9839925136;0.9603534056;29439.2089844;33308.6289062;8423.83984375
;TH;2002;p27p100;171257.835306;205278.035468;83866.0177246;121587.806458;5.6405801773;5.9639391899;9.6333417892;4.8463978767;25088.2851562;0.963433529;0.9668853299;0.9826179603;0.9576925535;30361.7402344;34419.875;8705.80761719
;TH;2002;p28p100;173208.237342;207643.039844;84907.8931009;122921.994382;5.5339961052;5.8351736069;9.4360342026;4.7335987091;25967.9785156;0.9610577485;0.9646271976;0.9811973737;0.9549383205;31298.9453125;35584.7226562;8998.26074219
;TH;2002;p29p100;175200.241286;210057.879249;85974.9095263;124281.277993;5.4313716888;5.7077250481;9.2415513992;4.6275558472;26856.7851562;0.9586089836;0.9622921727;0.9797288399;0.952088427;32257.0878906;36802.3828125;9303.08203125
;TH;2002;p30p100;177235.273774;212524.001206;87067.9929494;125666.833709;5.3312568665;5.5836720467;9.054930687;4.5334196091;27720.0976562;0.9560853123;0.9598771467;0.9782106565;0.9491436352;33244.5585938;38061.6914062;9615.53417969
;TH;2002;p31p100;179314.712696;215043.168758;88188.2306267;127080.445615;5.2324004173;5.4657096863;8.883023262;4.454761982;28526.8769531;0.9534841136;0.957380042;0.976642313;0.9461087232;34270.0664062;39344.0507812;9927.72753906
;TH;2002;p32p100;181439.938693;217617.454727;89336.8000351;128524.022707;5.1348280907;5.3545484543;8.7201910019;4.3854880333;29306.6640625;0.950802356;0.9547996853;0.9750235856;0.942988616;35335.1523438;40641.6054688;10244.8212891
;TH;2002;p33p100;183612.418829;220249.128272;90514.8352742;129998.993507;5.0389485359;5.2501907349;8.5595026016;4.3187918663;30100.7773438;0.9480370289;0.9521352171;0.9733530281;0.939783941;36438.6367188;41950.6914062;10574.7773438
;TH;2002;p34p100;185833.734513;222940.647441;91723.4314448;131506.298785;4.9452381134;5.1525259018;8.3966789246;4.2498984337;30943.3964844;0.945185251;0.9493859966;0.9716280532;0.9364912357;37578.3203125;43268.2226562;10923.7753906
;TH;2002;p35p100;188105.607381;225694.663403;92963.6728841;133046.479127;4.8542399406;5.0613408089;8.2300024033;4.1760354042;31859.5195312;0.9422443558;0.9465515585;0.969845258;0.933103825;38750.7851562;44591.8710938;11295.7041016
;TH;2002;p36p100;190429.930829;228514.022065;94236.6727072;134619.805566;4.7665638924;4.976319313;8.0602331161;4.0964517593;32862.5390625;0.9392119933;0.9436315575;0.9680008394;0.929612939;39951.1953125;45920.2890625;11691.5566406
;TH;2002;p37p100;192808.808318;231401.762253;95543.6265418;136226.464342;4.6828913689;4.8970470428;7.8904819489;4.0123958588;33951.4023438;0.9360862497;0.9406256979;0.9660911137;0.9260091146;41173.0273438;47253.328125;12108.71875
;TH;2002;p38p100;195244.599837;234361.109396;96885.8839962;137866.809326;4.6039824486;4.8230037689;7.7260704041;3.9270164967;35107.265625;0.9328657887;0.9375336463;0.964113162;0.9222839294;42407.765625;48592.3554688;12540.1240234
;TH;2002;p39p100;197739.97815;237395.46344;98265.0422066;139541.698575;4.5306873322;4.7535581589;7.5744304657;3.8452270031;36289.5859375;0.9295500164;0.9343549237;0.9620656224;0.9184321271;43644.5859375;49940.5820312;12973.2578125
;TH;2002;p40p100;200297.996827;240508.379358;99683.0668;141252.935018;4.4639697075;4.6879553795;7.4451580048;3.7736313343;37431.5664062;0.9261392761;0.9310887736;0.9599496562;0.9144541979;44869.9257812;51303.46875;13388.9794922
;TH;2002;p41p100;202922.146143;243703.538442;101142.400696;143003.724303;4.4043331146;4.6253108978;7.3445410728;3.7181062698;38461.4414062;0.9226349555;0.9277340032;0.9577696824;0.9103587833;46073.296875;52689.1171875;13771.0986328
;TH;2002;p42p100;205616.14792;246984.718956;102645.620916;144798.049258;4.3501405716;4.5647277832;7.2589650154;3.6759705544;39390.4257812;0.919038401;0.9242888323;0.9555298001;0.9061580054;47266.5507812;54107.21875;14140.53125
;TH;2002;p43p100;208383.706014;250355.797506;104195.00321;146639.662395;4.2995324135;4.5054836273;7.1729850769;3.6428780556;40253.7929688;0.915349733;0.9207508671;0.9532296977;0.9018608505;48466.5976562;55566.90625;14526.03125
;TH;2002;p44p100;211228.499002;253820.773794;105792.503089;148531.952325;4.2510204315;4.4470505714;7.0751481056;3.615062952;41086.9609375;0.9115678212;0.9171171585;0.9508647244;0.8974724866;49688.8945312;57076.203125;14952.6914062
;TH;2002;p45p100;214154.210421;257383.806263;107439.806661;150477.913504;4.2034916878;4.3891034126;6.9583477974;3.5892283916;41924.8632812;0.9076904222;0.9133842879;0.9484265955;0.8929942803;50946.7421875;58641.546875;15440.4189453
;TH;2002;p46p100;217164.57624;261049.260697;109138.418339;152480.125446;4.1562209129;4.3315258026;6.8202676773;3.5625209808;42801.1875;0.9037143754;0.9095484864;0.9459043695;0.888423888;52250.4882812;60267.2773438;16002.0722656
;TH;2002;p47p100;220263.454997;264821.775491;110889.797656;154540.745908;4.1088943481;4.2744240761;6.663585186;3.5325689316;43747.4101562;0.8996358692;0.9056057901;0.9432857568;0.8837554411;53606.5;61954.9609375;16641.1621094
;TH;2002;p48p100;223454.927593;268706.348275;112695.560812;156661.524089;4.0616402626;4.2181358337;6.4957790375;3.4975662231;44791.5820312;0.8954507937;0.9015522437;0.9405588387;0.8789798472;55015.9296875;63702.6328125;17349.0449219
;TH;2002;p49p100;226743.435609;272708.44984;114557.766896;158843.84186;4.015062809;4.1632461548;6.3286366463;3.4563703537;45956.8359375;0.8911551985;0.8973841588;0.9377142839;0.8740852378;56473.1992188;65503.8007812;18101.4921875
;TH;2002;p50p100;230133.969474;276834.17289;116479.314178;161088.793493;3.9702777863;4.1106057167;6.1777920723;3.4086005688;47259.5117188;0.886745879;0.8930984415;0.934748174;0.8690575964;57964.1992188;67346.3203125;18854.5214844
;TH;2002;p51p100;233632.270682;281090.388667;118464.405556;163397.347997;3.9283099174;4.0609331131;6.0583190918;3.3551127911;48701.0;0.8822209282;0.8886928869;0.9316649897;0.8638817721;59473.9921875;69218.1796875;19554.0058594
;TH;2002;p52p100;237244.558711;285484.556904;120518.335815;165770.855612;3.8880600929;4.0135211945;5.9702911377;3.2987675667;50252.359375;0.8775784375;0.8841653391;0.9284749256;0.8585441699;61018.7460938;71130.6953125;20186.3417969
;TH;2002;p53p100;240977.111537;290024.43234;122646.914554;168211.491782;3.8481225967;3.9674375057;5.9097123146;3.242351532;51879.4726562;0.8728147931;0.8795126117;0.9251886605;0.853034797;62621.9960938;73101.1953125;20753.4492188
;TH;2002;p54p100;244836.267641;294718.077807;124856.365316;170722.331391;3.8074419498;3.9219434261;5.8722758293;3.1880095005;53551.3867188;0.8679246602;0.8747304315;0.9218161996;0.847347186;64304.6601562;75145.9296875;21262.0058594
