Variable Code;country;year;perc;afiinc992t;bfiinc992t;tfiinc992t;mfiinc999i;sfiinc992t;sptinc992t
;PT;1999;p95p100;82045.8515625;1.7323963642;47359.7460938;;0.2470999956;0.2470999956
;PT;1999;p99.5p100;198557.171875;1.6094074249;123372.84375;;0.059799999;0.059799999
;PT;1998;p0p100;15927.8095703;;;82192015360.0;;
;PT;1998;p99p100;139846.296875;1.5505138636;90193.5234375;;0.0878000036;0.0878000036
;PT;1998;p99.9p100;315374.6875;1.5557810068;202711.5;;0.0197999999;0.0197999999
;PT;1998;p99.99p100;716632.5;1.5548678637;460896.09375;;0.0044999998;0.0044999998
;PT;1998;p90p100;56464.0742188;1.8985188007;29741.1191406;;0.3544999957;0.3544999957
;PT;1998;p90p95;36187.9765625;;29741.1191406;;0.1136000007;0.1136000007
;PT;1998;p95p99;60963.6601562;;44955.203125;;0.1530999988;0.1530999988
;PT;1998;p99.5p99.9;143748.1875;;115945.195312;;0.0361000001;0.0361000001
;PT;1998;p99.9p99.99;270781.625;;202711.5;;0.0153000001;0.0153000001
;PT;1998;p99p99.5;101619.523438;;90193.5234375;;0.0318999998;0.0318999998
;PT;1998;p95p100;76740.171875;1.707036376;44955.203125;;0.240899995;0.240899995
;PT;1998;p99.5p100;178073.078125;1.5358383656;115945.195312;;0.0559;0.0559
;PT;1997;p0p100;15311.8134766;;;77784006656.0;;
;PT;1997;p99p100;134437.859375;1.5371917486;87456.7890625;;0.0878000036;0.0878000036
;PT;1997;p99.9p100;301646.625;1.5574877262;193675.125;;0.0197000001;0.0197000001
;PT;1997;p99.99p100;688917.3125;1.5661457777;439880.71875;;0.0044999998;0.0044999998
;PT;1997;p90p100;54755.0351562;1.8901209831;28969.0625;;0.3576000035;0.3576000035
;PT;1997;p90p95;35186.5390625;;28969.0625;;0.1149000004;0.1149000004
;PT;1997;p95p99;59294.96875;;43682.9101562;;0.1548999995;0.1548999995
;PT;1997;p99.5p99.9;137806.046875;;112238.429688;;0.0359999985;0.0359999985
;PT;1997;p99.9p99.99;258608.0;;193675.125;;0.0152000003;0.0152000003
;PT;1997;p99p99.5;98301.9375;;87456.7890625;;0.0320999995;0.0320999995
