Variable Name;.;.;.;Fiscal capital income [total fiscal income ranking] | individuals | Average | Adults | constant 2015 local currency;Dividends | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Average | All Ages | constant 2015 local currency;Interest | individuals | Average | Adults | constant 2015 local currency;Fiscal labour income [total fiscal income ranking] | individuals | Average | Adults | constant 2015 local currency;Wages and pensions | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | All Ages | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Net personal wealth | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Net personal wealth | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;KR;1997;p90p95;;;42231025.7611;;;;;;;;59057339.5582;;;;;;;;;0.1399228363;;0.1399228363;39103048.0;;54683068.0
;KR;1997;p95p99;;;51551952.0278;;;;;;;;72092047.989;;;;;;;;;0.1366444733;;0.1366444733;45005000.0;;62936564.0
;KR;1997;p99.5p99.9;;;112798627.168;;;;;;;;157741534.957;;;;;;;;;0.0298985943;;0.0298985943;95035016.0;;132900272.0
;KR;1997;p99.95p99.99;;;301414420.963;;;;;;;;421508440.435;;;;;;;;;0.0079893415;;0.0079893415;244111776.0;;341374432.0
;KR;1997;p99.9p99.95;;;198585841.863;;;;;;;;277709368.479;;;;;;;;;0.0065796873;;0.0065796873;166927360.0;;233437040.0
;KR;1997;p99p99.5;;;85322596.5069;;;;;;;;119318095.241;;;;;;;;;0.0282696891;;0.0282696891;75130560.0;;105065192.0
;KR;1997;p95p100;;;65465429.6166;;;;;;;;91549140.3895;;;1.4546257257;;1.4546256065;;;;0.2169047146;;0.2169047146;45005000.0;;62936564.0
;KR;1997;p0p90;;;10784448.929;;;;;;;;15081349.5735;;;;;;;;;0.6431724492;;0.6431724492;;;
;KR;1997;p99.5p100;;;156916083.437;;;;;;;;219436924.742;;;1.651139617;;1.6511397362;;;;0.0519905521;;0.0519905521;95035016.0;;132900272.0
;KR;1997;p99.95p100;;;468185975.165;;;;;;;;654727599.28;;;1.9179164171;;1.9179162979;;;;0.0155122705;;0.0155122705;244111776.0;;341374432.0
;KR;1996;p0p100;;;15041409.4968;15411082.5348;10297907.7899;;;;;;20472754.0;20975913.3062;14016408.0329;;;;4.68808954351e+14;;6.38092487108e+14;;;;;;
;KR;1996;p99p100;;;117493960.121;;;;;;;;159920181.852;;;1.6541755199;;1.6541755199;;;;0.0781136656;;0.0781136656;71028712.0;;96676672.0
;KR;1996;p99.9p100;;;322974384.608;;;;;;;;439598105.869;;;1.9353420734;;1.9353419542;;;;0.0214723489;;0.0214723489;166882320.0;;227142336.0
;KR;1996;p99.99p100;;;1105352399.01;;;;;;;;1504487179.41;;;2.0830876827;;2.0830876827;;;;0.007348729;;0.007348729;530631712.0;;722238976.0
;KR;1996;p90p100;;;52690471.9119;;;;;;;;71716621.3595;;;1.3694057465;;1.3694058657;;;;0.3503027645;;0.3503027645;38476888.0;;52370612.0
;KR;1996;p90p95;;;41553738.7394;;;;;;;;56558494.1473;;;;;;;;;0.1381311367;;0.1381311367;38476888.0;;52370612.0
;KR;1996;p95p99;;;50410516.3252;;;;;;;;68613390.2516;;;;;;;;;0.1340579622;;0.1340579622;44458344.0;;60511932.0
;KR;1996;p99.5p99.9;;;111057572.775;;;;;;;;151159661.45;;;;;;;;;0.0295338215;;0.0295338215;93563120.0;;127348096.0
;KR;1996;p99.95p99.99;;;294570026.053;;;;;;;;400937138.268;;;;;;;;;0.0078335753;;0.0078335753;239968096.0;;326618848.0
;KR;1996;p99.9p99.95;;;189222268.573;;;;;;;;257549065.241;;;;;;;;;0.0062900446;;0.0062900446;166882320.0;;227142336.0
;KR;1996;p99p99.5;;;81546985.0999;;;;;;;;110993013.371;;;;;;;;;0.0271074952;;0.0271074952;71028712.0;;96676672.0
;KR;1996;p95p100;;;63827205.0843;;;;;;;;86874748.5717;;;1.4356631041;;1.4356631041;;;;0.2121716278;;0.2121716278;44458344.0;;60511932.0
;KR;1996;p0p90;;;10858179.9044;;;;;;;;14778990.3677;;;;;;;;;0.6496972355;;0.6496972355;;;
;KR;1996;p99.5p100;;;153440935.142;;;;;;;;208847350.334;;;1.6399724483;;1.6399723291;;;;0.0510061704;;0.0510061704;93563120.0;;127348096.0
;KR;1996;p99.95p100;;;456726500.644;;;;;;;;621647146.496;;;1.903280139;;1.9032800198;;;;0.0151823043;;0.0151823043;239968096.0;;326618848.0
;KR;1995;p0p100;;;14018261.8911;14327567.218;9531168.48707;;;;;;19486228.0;19916181.0261;13248898.0223;;;;4.29788902185e+14;;5.97432449535e+14;;;;;;
;KR;1995;p99p100;;;101410819.653;;;;;;;;140967144.769;;;1.608060956;;1.6080610752;;;;0.0723419359;;0.0723419359;63064040.0;;87662808.0
;KR;1995;p99.9p100;;;276884370.026;;;;;;;;384885944.197;;;1.9756395817;;1.9756397009;;;;0.0197516906;;0.0197516906;140149232.0;;194815856.0
;KR;1995;p99.99p100;;;902171331.638;;;;;;;;1254072466.32;;;2.1721055508;;2.1721055508;;;;0.0064356861;;0.0064356861;415344160.0;;577353344.0
;KR;1995;p90p100;;;44613488.6634;;;;;;;;62015435.2032;;;1.6960185766;;1.6960185766;;;;0.3182526431;;0.3182526431;26304834.0;;36565304.0
;KR;1995;p90p95;;;31602054.298;;;;;;;;43928758.0802;;;;;;;;;0.1127174495;;0.1127174495;26304834.0;;36565304.0
;KR;1995;p95p99;;;46678448.8729;;;;;;;;64885854.2156;;;;;;;;;0.1331932577;;0.1331932577;38771196.0;;53894296.0
;KR;1995;p99.5p99.9;;;96540060.7177;;;;;;;;134196496.605;;;;;;;;;0.0275469419;;0.0275469419;78581896.0;;109233568.0
;KR;1995;p99.95p99.99;;;262896603.489;;;;;;;;365442106.575;;;;;;;;;0.0075015464;;0.0075015464;198472624.0;;275888896.0
;KR;1995;p99.9p99.95;;;163017190.934;;;;;;;;226603709.869;;;;;;;;;0.0058144581;;0.0058144581;140149232.0;;194815856.0
;KR;1995;p99p99.5;;;70212716.7259;;;;;;;;97599903.4149;;;;;;;;;0.0250433034;;0.0250433034;63064040.0;;87662808.0
;KR;1995;p95p100;;;57624923.0289;;;;;;;;80102112.3263;;;1.4862817526;;1.4862818718;;;;0.2055351936;;0.2055351936;38771196.0;;53894296.0
;KR;1995;p0p90;;;10618792.1388;;;;;;;;14760760.3787;;;;;;;;;0.6817473569;;0.6817473569;;;
;KR;1995;p99.5p100;;;132608922.579;;;;;;;;184334386.123;;;1.6875251532;;1.687525034;;;;0.0472986325;;0.0472986325;78581896.0;;109233568.0
;KR;1995;p99.95p100;;;390751549.119;;;;;;;;543168178.524;;;1.9687931538;;1.9687931538;;;;0.0139372326;;0.0139372326;198472624.0;;275888896.0
;KR;1994;p0p100;;;13180283.4066;13504457.4312;8880565.0742;;;;;;18467238.0;18921446.6601;12442790.7762;;;;3.96442107406e+14;;5.55465351149e+14;;;;;;
;KR;1993;p0p100;;;12444345.678;12754030.7268;8296353.20225;;;;;;17231358.0;17660170.7379;11487741.969;;;;3.66654242108e+14;;5.07696480911e+14;;;;;;
;KR;1992;p0p100;;;12058179.6701;12354404.0362;7942997.39365;;;;;;16546875.0;16953369.8186;10899803.1704;;;;3.47489957746e+14;;4.76844188085e+14;;;;;;
;KR;1991;p0p100;;;11637254.82;11888821.3329;7563607.03644;;;;;;16122327.0;16470848.8504;10478669.3965;;;;3.27471701476e+14;;4.53681382433e+14;;;;;;
;KR;1990;p0p100;;;10696325.9303;10839593.3186;6849974.22961;;;;;;14900459.0;15100036.8606;9542319.56134;;;;2.93653473813e+14;;4.09072383851e+14;;;;;;
;KR;1989;p0p100;;;10135124.8586;10252662.2508;6359937.59158;;;;;;14024653.0;14187297.384;8800672.81535;;;;2.6997323065e+14;;3.73580092201e+14;;;;;;
;KR;1988;p0p100;;;9513611.25994;9617375.11775;5876501.69242;;;;;;13393172.0;13539249.7782;8272883.53229;;;;2.46996682958e+14;;3.4771959542e+14;;;;;;
;KR;1987;p0p100;;;8788496.36804;8861539.97536;5347492.52046;;;;;;12250708.0;12352526.9992;7454127.15178;;;;2.22571674903e+14;;3.10253368053e+14;;;;;;
;KR;1986;p0p100;;;8125021.82717;8155756.5931;4869829.60707;;;;;;11097904.0;11139884.3773;6651662.31244;;;;2.00703570883e+14;;2.74139443499e+14;;;;;;
;KR;1985;p0p100;;;7463709.69688;7476980.15032;4406887.7926;;;;;;10258325.0;10276564.2711;6056946.08324;;;;1.79826331567e+14;;2.47158186437e+14;;;;;;
;KR;1985;p99p100;;;53349897.0948;;;;;;;;73325545.2505;;;1.6254476309;;1.6254477501;;;;0.0714790617;;0.0714790617;32821664.0;;45110984.0
;KR;1985;p99.9p100;;;137831906.482;;;;;;;;189439909.842;;;1.7944098711;;1.7944097519;;;;0.0184669435;;0.0184669435;76811832.0;;105572272.0
;KR;1985;p99.99p100;;;423283657.923;;;;;;;;581772537.586;;;2.1611645222;;2.1611647606;;;;0.0056712234;;0.0056712234;195859056.0;;269193984.0
;KR;1985;p90p100;;;21820881.5382;;;;;;;;29991211.3006;;;1.6194597483;;1.6194598675;;;;0.2923597274;;0.2923597274;13474173.0;;18519268.0
;KR;1985;p90p95;;;14682959.2656;;;;;;;;20180657.3708;;;;;;;;;0.0983623407;;0.0983623407;13474173.0;;18519268.0
;KR;1985;p95p99;;;22861030.4898;;;;;;;;31420820.2252;;;;;;;;;0.122518325;;0.122518325;17477242.0;;24021194.0
;KR;1985;p99.5p99.9;;;53135870.2466;;;;;;;;73031380.9465;;;;;;;;;0.028476922;;0.028476922;42024308.0;;57759348.0
;KR;1985;p99.95p99.99;;;131093867.951;;;;;;;;180178966.969;;;;;;;;;0.007025668;;0.007025668;100686760.0;;138386608.0
;KR;1985;p99.9p99.95;;;86131987.019;;;;;;;;118382138.591;;;;;;;;;0.005770052;;0.005770052;76811832.0;;105572272.0
;KR;1985;p99p99.5;;;36624716.696;;;;;;;;50338003.7754;;;;;;;;;0.0245351962;;0.0245351962;32821664.0;;45110984.0
;KR;1985;p95p100;;;28958803.8108;;;;;;;;39801765.2303;;;1.6569435596;;1.6569436789;;;;0.1939973867;;0.1939973867;17477242.0;;24021194.0
;KR;1985;p0p90;;;5868468.46251;;;;;;;;8065782.18949;;;;;;;;;0.7076402726;;0.7076402726;;;
;KR;1985;p99.5p100;;;70075077.4937;;;;;;;;96313086.7256;;;1.667489171;;1.667489171;;;;0.0469438655;;0.0469438655;42024308.0;;57759348.0
;KR;1985;p99.95p100;;;189531825.945;;;;;;;;260497681.093;;;1.8823907375;;1.8823908567;;;;0.0126968915;;0.0126968915;100686760.0;;138386608.0
;KR;1984;p0p100;;;7158760.52824;7151624.4678;4159094.97362;;;;;;9897342.0;9887476.042;5750155.37983;;;;1.68052205715e+14;;2.32340521415e+14;;;;;;
;KR;1984;p99p100;;;52710361.2854;;;;;;;;72874692.557;;;1.634118557;;1.634118557;;;;0.0736305685;;0.0736305685;32256142.0;;44595720.0
;KR;1984;p99.9p100;;;133062266.088;;;;;;;;183965191.96;;;1.6875597239;;1.6875597239;;;;0.0185873329;;0.0185873329;78848920.0;;109012552.0
;KR;1984;p99.99p100;;;403540572.099;;;;;;;;557914884.453;;;2.150583744;;2.150583744;;;;0.0056370173;;0.0056370173;187642336.0;;259424864.0
;KR;1984;p90p100;;;21400078.5275;;;;;;;;29586671.4884;;;1.5820202827;;1.5820202827;;;;0.2989355243;;0.2989355243;13527057.0;;18701828.0
;KR;1984;p90p95;;;14507807.5745;;;;;;;;20057764.5625;;;;;;;;;0.1013290455;;0.1013290455;13527057.0;;18701828.0
;KR;1984;p95p99;;;22187846.5292;;;;;;;;30675799.8786;;;;;;;;;0.1239759102;;0.1239759102;16897718.0;;23361934.0
;KR;1984;p99.5p99.9;;;53340746.9644;;;;;;;;73746232.069;;;;;;;;;0.0298044592;;0.0298044592;43651080.0;;60349788.0
;KR;1984;p99.95p99.99;;;125429331.229;;;;;;;;173412280.395;;;;;;;;;0.0070084384;;0.0070084384;98873424.0;;136697424.0
;KR;1984;p99.9p99.95;;;85072952.7736;;;;;;;;117617582.713;;;;;;;;;0.0059418772;;0.0059418772;78848920.0;;109012552.0
;KR;1984;p99p99.5;;;36135671.7815;;;;;;;;49959361.0668;;;;;;;;;0.0252387765;;0.0252387765;32256142.0;;44595720.0
;KR;1984;p95p100;;;28292349.4804;;;;;;;;39115578.4143;;;1.6743296385;;1.6743296385;;;;0.1976064787;;0.1976064787;16897718.0;;23361934.0
;KR;1984;p0p90;;;5576391.93962;;;;;;;;7709638.83129;;;;;;;;;0.7010644757;;0.7010644757;;;
;KR;1984;p99.5p100;;;69285050.7892;;;;;;;;95790024.0471;;;1.5872471333;;1.587247014;;;;0.048391792;;0.048391792;43651080.0;;60349788.0
;KR;1984;p99.95p100;;;181051579.403;;;;;;;;250312801.207;;;1.8311450481;;1.8311449289;;;;0.0126454557;;0.0126454557;98873424.0;;136697424.0
;KR;1983;p0p100;;;6652758.48972;6636403.95645;3801354.53662;;;;;;9228945.0;9206257.40533;5273375.24701;;;;1.51713599517e+14;;2.10462542397e+14;;;;;;
;KR;1983;p99p100;;;49689613.2202;;;;;;;;68931212.2467;;;1.5999115705;;1.5999115705;;;;0.0746902389;;0.0746902389;31057724.0;;43084388.0
;KR;1983;p99.9p100;;;122305010.188;;;;;;;;169665893.327;;;1.7387559414;;1.7387560606;;;;0.0183841045;;0.0183841045;70340528.0;;97578896.0
;KR;1983;p99.99p100;;;331598715.056;;;;;;;;460005621.436;;;1.8307962418;;1.8307962418;;;;0.0049843792;;0.0049843792;181122672.0;;251259872.0
;KR;1983;p90p100;;;20089717.8391;;;;;;;;27869176.5663;;;1.8903639317;;1.8903639317;;;;0.3019757505;;0.3019757505;10627434.0;;14742757.0
;KR;1983;p90p95;;;12982886.8987;;;;;;;;18010325.9896;;;;;;;;;0.0975752135;;0.0975752135;10627434.0;;14742757.0
;KR;1983;p95p99;;;21573282.6693;;;;;;;;29927230.8671;;;;;;;;;0.1297102981;;0.1297102981;16259959.0;;22556398.0
;KR;1983;p99.5p99.9;;;50355990.5321;;;;;;;;69855634.7356;;;;;;;;;0.0302767578;;0.0302767578;40023860.0;;55522536.0
;KR;1983;p99.95p99.99;;;120617092.325;;;;;;;;167324353.176;;;;;;;;;0.007252155;;0.007252155;91143032.0;;126436880.0
;KR;1983;p99.9p99.95;;;81796603.5046;;;;;;;;113471179.827;;;;;;;;;0.0061475703;;0.0061475703;70340528.0;;97578896.0
;KR;1983;p99p99.5;;;34633431.9772;;;;;;;;48044738.0396;;;;;;;;;0.0260293766;;0.0260293766;31057724.0;;43084388.0
;KR;1983;p95p100;;;27196548.7795;;;;;;;;37728027.143;;;1.6726087332;;1.6726087332;;;;0.204400537;;0.204400537;16259959.0;;22556398.0
;KR;1983;p0p90;;;5159763.17558;;;;;;;;7157808.39393;;;;;;;;;0.6980242495;;0.6980242495;;;
;KR;1983;p99.5p100;;;64745794.4633;;;;;;;;89817686.4539;;;1.6176799536;;1.6176798344;;;;0.0486608623;;0.0486608623;40023860.0;;55522536.0
;KR;1983;p99.95p100;;;162813416.871;;;;;;;;225860606.828;;;1.7863507271;;1.7863507271;;;;0.0122365342;;0.0122365342;91143032.0;;126436880.0
;KR;1982;p0p100;;;6355149.66627;6359736.54805;3572764.18697;;;;;;8435294.0;8441382.24314;4742188.28704;;;;1.40503781814e+14;;1.8649296554e+14;;;;;;
;KR;1982;p99p100;;;46212324.1294;;;;;;;;61338372.9614;;;1.6040774584;;1.6040775776;;;;0.0727163416;;0.0727163416;28809284.0;;38239032.0
;KR;1982;p99.9p100;;;113635557.768;;;;;;;;150830332.717;;;1.6807543039;;1.6807541847;;;;0.0178808623;;0.0178808623;67609856.0;;89739672.0
;KR;1982;p99.99p100;;;327862452.035;;;;;;;;435177190.107;;;2.0181396008;;2.0181393623;;;;0.0051590043;;0.0051590043;162457776.0;;215632864.0
;KR;1982;p90p100;;;18991585.6702;;;;;;;;25207841.9969;;;1.747871995;;1.747871995;;;;0.298837736;;0.298837736;10865547.0;;14422018.0
;KR;1982;p90p95;;;12493002.8835;;;;;;;;16582166.8724;;;;;;;;;0.0982903893;;0.0982903893;10865547.0;;14422018.0
;KR;1982;p95p99;;;20309629.5387;;;;;;;;26957303.1615;;;;;;;;;0.1278310051;;0.1278310051;15377152.0;;20410344.0
;KR;1982;p99.5p99.9;;;46863411.2176;;;;;;;;62202571.4928;;;;;;;;;0.0294963379;;0.0294963379;36730280.0;;48752700.0
;KR;1982;p99.95p99.99;;;109240251.608;;;;;;;;144996371.028;;;;;;;;;0.0068756996;;0.0068756996;86968640.0;;115434896.0
;KR;1982;p99.9p99.95;;;74306423.8424;;;;;;;;98628130.5893;;;;;;;;;0.0058461584;;0.0058461584;67609856.0;;89739672.0
;KR;1982;p99p99.5;;;32206807.7312;;;;;;;;42748622.1852;;;;;;;;;0.0253391414;;0.0253391414;28809284.0;;38239032.0
;KR;1982;p95p100;;;25490168.4569;;;;;;;;33833517.1215;;;1.6576651335;;1.6576652527;;;;0.2005473467;;0.2005473467;15377152.0;;20410344.0
;KR;1982;p0p90;;;4951101.32918;;;;;;;;6571677.69897;;;;;;;;;0.701162264;;0.701162264;;;
;KR;1982;p99.5p100;;;60217840.5277;;;;;;;;79928123.7376;;;1.6394604445;;1.6394604445;;;;0.0473772002;;0.0473772002;36730280.0;;48752700.0
;KR;1982;p99.95p100;;;152964691.694;;;;;;;;203032534.844;;;1.7588487864;;1.7588489056;;;;0.0120347039;;0.0120347039;86968640.0;;115434896.0
;KR;1981;p0p100;;;6073727.15949;6060586.87543;3354429.95674;;;;;;8078341.5;8060864.30696;4461548.90018;;;;1.29894418694e+14;;1.72765658647e+14;;;;;;
;KR;1981;p99p100;;;43393274.5289;;;;;;;;57715086.8392;;;1.6190847158;;1.6190847158;;;;0.0714442269;;0.0714442269;26801114.0;;35646736.0
;KR;1981;p99.9p100;;;114218438.082;;;;;;;;151915870.469;;;1.784714818;;1.784714818;;;;0.0188053289;;0.0188053289;63998144.0;;85120528.0
;KR;1981;p99.99p100;;;358995867.257;;;;;;;;477481311.992;;;2.2170879841;;2.2170879841;;;;0.0059106353;;0.0059106353;161922240.0;;215364160.0
;KR;1981;p90p100;;;17799768.5745;;;;;;;;23674525.6068;;;1.5375403166;;1.5375403166;;;;0.2930617057;;0.2930617057;11576782.0;;15397662.0
;KR;1981;p90p95;;;12224051.1439;;;;;;;;16258560.3635;;;;;;;;;0.1006305578;;0.1006305578;11576782.0;;15397662.0
;KR;1981;p95p99;;;18371038.8742;;;;;;;;24434341.8528;;;;;;;;;0.1209869211;;0.1209869211;13915564.0;;18508352.0
;KR;1981;p99.5p99.9;;;42775082.1899;;;;;;;;56892862.084;;;;;;;;;0.0281705652;;0.0281705652;33757308.0;;44898800.0
;KR;1981;p99.95p99.99;;;106788157.14;;;;;;;;142033248.923;;;;;;;;;0.0070327924;;0.0070327924;82145584.0;;109257472.0
;KR;1981;p99.9p99.95;;;71207177.0011;;;;;;;;94708879.4016;;;;;;;;;0.0058619011;;0.0058619011;63998144.0;;85120528.0
;KR;1981;p99p99.5;;;29722795.6894;;;;;;;;39532709.9175;;;;;;;;;0.0244683327;;0.0244683327;26801114.0;;35646736.0
;KR;1981;p95p100;;;23375486.0051;;;;;;;;31090490.8501;;;1.6798087358;;1.6798087358;;;;0.192431148;;0.192431148;13915564.0;;18508352.0
;KR;1981;p0p90;;;4770833.72944;;;;;;;;6345432.23528;;;;;;;;;0.7069382943;;0.7069382943;;;
;KR;1981;p99.5p100;;;57063753.3683;;;;;;;;75897463.761;;;1.6904118061;;1.6904118061;;;;0.0469758942;;0.0469758942;33757308.0;;44898800.0
;KR;1981;p99.95p100;;;157229699.163;;;;;;;;209122861.536;;;1.9140371084;;1.9140371084;;;;0.0129434278;;0.0129434278;82145584.0;;109257472.0
;KR;1980;p0p100;;;5821170.05469;5803555.12648;3153581.33423;;;;;;7861819.0;7838029.04437;4259089.73944;;;;1.20226430358e+14;;1.62372585856e+14;;;;;;
;KR;1980;p99p100;;;43334554.1075;;;;;;;;58525763.3153;;;1.6443829536;;1.6443828344;;;;0.0744430339;;0.0744430339;26353080.0;;35591324.0
;KR;1980;p99.9p100;;;116180487.95;;;;;;;;156908312.077;;;1.956482172;;1.9564822912;;;;0.0199582716;;0.0199582716;59382340.0;;80199200.0
;KR;1980;p99.99p100;;;424850206.841;;;;;;;;573784204.363;;;2.6935191154;;2.6935191154;;;;0.0072983648;;0.0072983648;157730528.0;;213024000.0
;KR;1980;p90p100;;;16988197.0593;;;;;;;;22943519.8012;;;1.7338693142;;1.7338693142;;;;0.2918347622;;0.2918347622;9797853.0;;13232554.0
;KR;1980;p90p95;;;11004621.1214;;;;;;;;14862362.4816;;;;;;;;;0.0945224198;;0.0945224198;9797853.0;;13232554.0
;KR;1980;p95p99;;;17881077.7195;;;;;;;;24149405.5723;;;;;;;;;0.1228693085;;0.1228693085;13705106.0;;18509520.0
;KR;1980;p99.5p99.9;;;42662531.6124;;;;;;;;57618158.9728;;;;;;;;;0.0293154352;;0.0293154352;34254696.0;;46262904.0
;KR;1980;p99.95p99.99;;;100975088.462;;;;;;;;136372561.107;;;;;;;;;0.006938474;;0.006938474;77306024.0;;104406152.0
;KR;1980;p99.9p99.95;;;66610863.7616;;;;;;;;89961734.3948;;;;;;;;;0.0057214328;;0.0057214328;59382340.0;;80199200.0
;KR;1980;p99p99.5;;;29302985.3351;;;;;;;;39575337.0371;;;;;;;;;0.0251693271;;0.0251693271;26353080.0;;35591324.0
;KR;1980;p95p100;;;22971772.9971;;;;;;;;31024677.1209;;;1.6761471033;;1.6761469841;;;;0.1973123424;;0.1973123424;13705106.0;;18509520.0
;KR;1980;p0p90;;;4580388.9985;;;;;;;;6186074.0912;;;;;;;;;0.7081652378;;0.7081652378;;;
;KR;1980;p99.5p100;;;57366122.8799;;;;;;;;77476189.5936;;;1.6746937037;;1.6746935844;;;;0.0492737068;;0.0492737068;34254696.0;;46262904.0
;KR;1980;p99.95p100;;;165750112.138;;;;;;;;223854889.759;;;2.1440775394;;2.1440775394;;;;0.0142368388;;0.0142368388;77306024.0;;104406152.0
;KR;1979;p0p100;;;6461376.64576;6447929.30009;3432835.82555;;;;;;8468624.0;8450999.19332;4499257.27196;;;;1.2884887304e+14;;1.68876188222e+14;;;;;;
;KR;1979;p99p100;;;46186298.6743;;;;;;;;60534220.3169;;;1.6765584946;;1.6765583754;;;;0.0714805842;;0.0714805842;27548278.0;;36106240.0
;KR;1979;p99.9p100;;;132034064.752;;;;;;;;173050869.943;;;2.026884079;;2.026884079;;;;0.0204343547;;0.0204343547;65141400.0;;85377784.0
;KR;1979;p99.99p100;;;510071926.293;;;;;;;;668527404.229;;;2.9971418381;;2.9971418381;;;;0.0078941678;;0.0078941678;170186112.0;;223054976.0
;KR;1979;p90p100;;;18141993.568;;;;;;;;23777861.9884;;;1.5245324373;;1.5245324373;;;;0.2807759738;;0.2807759738;11900038.0;;15596823.0
;KR;1979;p90p95;;;12236913.97;;;;;;;;16038350.4962;;;;;;;;;0.0946927752;;0.0946927752;11900038.0;;15596823.0
;KR;1979;p95p99;;;18512266.7889;;;;;;;;24263161.7716;;;;;;;;;0.1146026144;;0.1146026144;13484401.0;;17673374.0
;KR;1979;p99.5p99.9;;;44091300.6337;;;;;;;;57788404.4235;;;;;;;;;0.0272952977;;0.0272952977;35285840.0;;46247500.0
;KR;1979;p99.95p99.99;;;111146761.774;;;;;;;;145674859.382;;;;;;;;;0.006880686;;0.006880686;85046624.0;;111466632.0
;KR;1979;p99.9p99.95;;;73136334.8268;;;;;;;;95856371.5355;;;;;;;;;0.0056595009;;0.0056595009;65141400.0;;85377784.0
;KR;1979;p99p99.5;;;30692743.8912;;;;;;;;40227543.1062;;;;;;;;;0.0237509318;;0.0237509318;27548278.0;;36106240.0
;KR;1979;p95p100;;;24047073.166;;;;;;;;31517373.4806;;;1.7833253145;;1.7833251953;;;;0.1860831986;;0.1860831986;13484401.0;;17673374.0
;KR;1979;p0p90;;;5163530.46828;;;;;;;;6767597.7498;;;;;;;;;0.7192240262;;0.7192240262;;;
;KR;1979;p99.5p100;;;61679853.4574;;;;;;;;80840897.5275;;;1.748005867;;1.7480057478;;;;0.0477296523;;0.0477296523;35285840.0;;46247500.0
;KR;1979;p99.95p100;;;190931794.678;;;;;;;;250245368.351;;;2.2450249195;;2.2450249195;;;;0.0147748538;;0.0147748538;85046624.0;;111466632.0
;KR;1978;p0p100;;;6261610.1187;6249678.55745;3260298.96301;;;;;;8170155.0;8154586.68723;4254041.27201;;;;1.20530597022e+14;;1.57268440744e+14;;;;;;
;KR;1978;p99p100;;;46362295.68;;;;;;;;60493568.6958;;;1.7694265842;;1.769426465;;;;0.0740421312;;0.0740421312;26201876.0;;34188236.0
;KR;1978;p99.9p100;;;136433983.392;;;;;;;;178019194.815;;;2.0816364288;;2.0816364288;;;;0.0217889618;;0.0217889618;65541700.0;;85518872.0
;KR;1978;p99.99p100;;;518217300.57;;;;;;;;676170440.044;;;2.7245409489;;2.7245407104;;;;0.008276103;;0.008276103;190203536.0;;248177776.0
;KR;1978;p90p100;;;18042879.2566;;;;;;;;23542366.4805;;;1.4067572355;;1.4067571163;;;;0.2881507943;;0.2881507943;12825866.0;;16735203.0
;KR;1978;p90p95;;;12992193.8505;;;;;;;;16952227.2285;;;;;;;;;0.1037448327;;0.1037448327;12825866.0;;16735203.0
;KR;1978;p95p99;;;17276381.9083;;;;;;;;22542239.9917;;;;;;;;;0.1103638305;;0.1103638305;13302681.0;;17357350.0
;KR;1978;p99.5p99.9;;;44673479.9726;;;;;;;;58290000.3109;;;;;;;;;0.0285380145;;0.0285380145;34323724.0;;44785628.0
;KR;1978;p99.95p99.99;;;118115730.369;;;;;;;;154117520.376;;;;;;;;;0.0075453903;;0.0075453903;88005176.0;;114829240.0
;KR;1978;p99.9p99.95;;;74731922.374;;;;;;;;97510285.3211;;;;;;;;;0.0059674685;;0.0059674685;65541700.0;;85518872.0
;KR;1978;p99p99.5;;;29699010.7036;;;;;;;;38751298.1798;;;;;;;;;0.0237151549;;0.0237151549;26201876.0;;34188236.0
;KR;1978;p95p100;;;23093564.6627;;;;;;;;30132505.7326;;;1.7360082865;;1.7360084057;;;;0.1844059617;;0.1844059617;13302681.0;;17357350.0
;KR;1978;p0p90;;;4952580.19976;;;;;;;;6462131.48295;;;;;;;;;0.7118492057;;0.7118492057;;;
;KR;1978;p99.5p100;;;63025580.6564;;;;;;;;82235839.2118;;;1.8362104893;;1.8362104893;;;;0.0503269763;;0.0503269763;34323724.0;;44785628.0
;KR;1978;p99.95p100;;;198136044.409;;;;;;;;258528104.31;;;2.2514135838;;2.2514135838;;;;0.0158214933;;0.0158214933;88005176.0;;114829240.0
