Sources;.;.;.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015)
Variable Code;country;year;perc;afiinc992i;ahwagr992i;ahwagr999i;ahwbus992i;ahwbus999i;ahwdeb992i;ahwdeb999i;ahwdwe992i;ahwdwe999i;ahweal992i;ahweal999i;ahwequ992i;ahwequ999i;ahwfin992i;ahwfin999i;ahwfix992i;ahwfix999i;ahwhou992i;ahwhou999i;ahwlan992i;ahwlan999i;ahwnfa992i;ahwnfa999i;ahwodk992i;ahwodk999i;ahwpen992i;ahwpen999i;aptinc992j;bptinc992j;mfiinc992i;mhwagr999i;mhwbus999i;mhwdeb999i;mhwdwe999i;mhweal999i;mhwequ999i;mhwfin999i;mhwfix999i;mhwhou999i;mhwlan999i;mhwnfa999i;mhwodk999i;mhwpen999i;sfiinc992i;sfiinc992t;sptinc992j;tptinc992j
;CZ;1994;p99.2p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2443460.64823;2.1185617744;;;;;;;;;;;;;;;;;0.0659634945;1153358.22524
;CZ;1994;p99.2p99.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1189385.41843;;;;;;;;;;;;;;;;;;0.0040135708;1153358.22524
;CZ;1994;p99.3p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2622614.25249;2.1356047242;;;;;;;;;;;;;;;;;0.0619499237;1228042.91577
;CZ;1994;p99.3p99.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;1273021.30418;;;;;;;;;;;;;;;;;;0.0042957994;1228042.91577
;CZ;1994;p99.4p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2847546.41054;2.1542756323;;;;;;;;;;;;;;;;;0.0576541243;1321811.54902
;CZ;1994;p99.4p99.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;1380047.1628;;;;;;;;;;;;;;;;;;0.0046569572;1321811.54902
;CZ;1994;p99.5p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;3141046.26009;2.1749922426;;;;;;;;;;;;;;;;;0.0529971671;1444164.35081
;CZ;1994;p99.5p99.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;1523496.65315;;;;;;;;;;;;;;;;;;0.0051410263;1444164.35081
;CZ;1994;p99.6p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;3545433.66182;2.1983866848;;;;;;;;;;;;;;;;;0.0478561408;1612743.42058
;CZ;1994;p99.6p99.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;1729362.48284;;;;;;;;;;;;;;;;;;0.0058357187;1612743.42058
;CZ;1994;p99.7p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;4150790.72148;2.225503631;;;;;;;;;;;;;;;;;0.0420204221;1865101.75211
;CZ;1994;p99.7p99.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;2059794.13702;;;;;;;;;;;;;;;;;;0.0069507575;1865101.75211
;CZ;1994;p99.8p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;5196289.01372;2.2583291588;;;;;;;;;;;;;;;;;0.0350696646;2300944.03797
;CZ;1994;p99.8p99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;2723158.2208;;;;;;;;;;;;;;;;;;0.0091892739;2300944.03797
;CZ;1994;p99.91p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;8140750.51284;2.3071962964;;;;;;;;;;;;;;;;;0.0247238029;3528416.94724
;CZ;1994;p99.91p99.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;3641989.22592;;;;;;;;;;;;;;;;;;0.0012289861;3528416.94724
;CZ;1994;p99.92p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;8703095.67371;2.3129032422;;;;;;;;;;;;;;;;;0.0234948168;3762844.68584
;CZ;1994;p99.92p99.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;3900805.34196;;;;;;;;;;;;;;;;;;0.0013163234;3762844.68584
;CZ;1994;p99.93p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;9389137.14967;2.3189706141;;;;;;;;;;;;;;;;;0.0221784934;4048838.34771
;CZ;1994;p99.93p99.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;4221076.24434;;;;;;;;;;;;;;;;;;0.0014243985;4048838.34771
;CZ;1994;p99.94p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;10250480.6339;2.3254735592;;;;;;;;;;;;;;;;;0.0207540949;4407911.06534
;CZ;1994;p99.94p99.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;4630915.48995;;;;;;;;;;;;;;;;;;0.0015626984;4407911.06534
;CZ;1994;p99.95p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;11374393.6627;2.3325187661;;;;;;;;;;;;;;;;;0.0191913965;4876442.5084
;CZ;1994;p99.95p99.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;5180233.49277;;;;;;;;;;;;;;;;;;0.0017480653;4876442.5084
;CZ;1994;p99.96p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;12922933.7052;2.34026732;;;;;;;;;;;;;;;;;0.0174433312;5521990.41305
;CZ;1994;p99.96p99.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;5968565.37275;;;;;;;;;;;;;;;;;;0.0020140872;5521990.41305
;CZ;1994;p99.97p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;15241056.4826;2.3489850405;;;;;;;;;;;;;;;;;0.015429244;6488358.25673
;CZ;1994;p99.97p99.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;7233903.12956;;;;;;;;;;;;;;;;;;0.0024410744;6488358.25673
;CZ;1994;p99.98p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;19244633.1592;2.3591770826;;;;;;;;;;;;;;;;;0.0129881696;8157349.99329
;CZ;1994;p99.98p99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;9774154.9823;;;;;;;;;;;;;;;;;;0.0032982801;8157349.99329
;CZ;1994;p99.991p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;30520000.5801;2.373661896;;;;;;;;;;;;;;;;;0.009269053;12857770.7851
;CZ;1994;p99.991p99.992;;;;;;;;;;;;;;;;;;;;;;;;;;;;13292678.5507;;;;;;;;;;;;;;;;;;0.0004485603;12857770.7851
;CZ;1994;p99.992p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;32673415.8337;2.3753024233;;;;;;;;;;;;;;;;;0.0088204927;13755476.1506
;CZ;1994;p99.992p99.993;;;;;;;;;;;;;;;;;;;;;;;;;;;;14283775.4976;;;;;;;;;;;;;;;;;;0.0004820048;13755476.1506
;CZ;1994;p99.993p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;35300507.3103;2.3770352343;;;;;;;;;;;;;;;;;0.008338488;14850645.3755
;CZ;1994;p99.993p99.994;;;;;;;;;;;;;;;;;;;;;;;;;;;;15510204.2013;;;;;;;;;;;;;;;;;;0.0005233905;14850645.3755
;CZ;1994;p99.994p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;38598891.1619;2.3788796147;;;;;;;;;;;;;;;;;0.0078150975;16225659.7281
;CZ;1994;p99.994p99.995;;;;;;;;;;;;;;;;;;;;;;;;;;;;17079621.2502;;;;;;;;;;;;;;;;;;0.0005763503;16225659.7281
;CZ;1994;p99.995p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;42902745.1442;2.3808629743;;;;;;;;;;;;;;;;;0.0072387471;18019829.6198
;CZ;1994;p99.995p99.996;;;;;;;;;;;;;;;;;;;;;;;;;;;;19183150.9838;;;;;;;;;;;;;;;;;;0.0006473338;18019829.6198
;CZ;1994;p99.996p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;48832643.6843;2.38302675;;;;;;;;;;;;;;;;;0.0065914133;20491857.1246
;CZ;1994;p99.996p99.997;;;;;;;;;;;;;;;;;;;;;;;;;;;;22201948.0033;;;;;;;;;;;;;;;;;;0.0007492028;20491857.1246
;CZ;1994;p99.997p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;57709542.2446;2.3854394186;;;;;;;;;;;;;;;;;0.0058422105;24192415.785
;CZ;1994;p99.997p99.998;;;;;;;;;;;;;;;;;;;;;;;;;;;;27047366.4685;;;;;;;;;;;;;;;;;;0.000912711;24192415.785
;CZ;1994;p99.998p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;73040630.1326;2.3882313362;;;;;;;;;;;;;;;;;0.0049294995;30583565.7654
;CZ;1994;p99.998p99.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;36774874.5348;;;;;;;;;;;;;;;;;;0.001240965;30583565.7654
;CZ;1994;p99.99p99.991;;;;;;;;;;;;;;;;;;;;;;;;;;;;12471108.1398;;;;;;;;;;;;;;;;;;0.0004208365;12105357.2617
;CZ;1994;p99.9p99.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;3427443.45079;;;;;;;;;;;;;;;;;;0.0011565878;3331930.87556
;CZ;1994;p99p99.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1065771.18825;;;;;;;;;;;;;;;;;;0.0035964357;1040828.93228
;CZ;1993;p0p100;;46798.7086421;33314.3160684;141343.498566;100617.348684;49553.4132313;35275.2911043;370419.480148;263688.29392;875116.72728;622964.096558;147070.390933;104694.11721;267839.738909;190665.468698;106660.423665;75927.7161496;515486.903036;366956.57028;145067.422889;103268.27636;656830.401602;467573.918965;94544.7899235;67303.032616;14108.9243119;10043.6353385;288186.97562;;;3.44157106776e+11;1.03943828664e+12;3.64415169209e+11;2.72406013499e+12;6.43559725665e+12;1.0815537801e+12;1.96969002559e+12;7.84379395949e+11;3.79088411363e+12;1.06682397864e+12;4.83032240027e+12;6.95281179864e+11;1.03756849533e+11;;;1.0;0.0
;CZ;1993;p0p50;;;;;;;;;;;;;;;;;;;;;;;;;;;;183094.259565;;;;;;;;;;;;;;;;;;0.3176657432;0.0
;CZ;1993;p50p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;317804.237988;;;;;;;;;;;;;;;;;;0.4411083982;247973.017387
;CZ;1993;p90p99;;;;;;;;;;;;;;;;;;;;;;;;;;;;550455.099212;;;;;;;;;;;;;;;;;;0.1719056138;426484.237203
;CZ;1993;p99p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1997719.17129;2.058801364;;;;;;;;;;;;;;;;;0.0693202449;970331.186961
;CZ;1993;p99.9p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;6978088.15655;2.2880639026;;;;;;;;;;;;;;;;;0.0242137527;3049778.52606
;CZ;1993;p99.99p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;26020973.3631;2.3653858481;;;;;;;;;;;;;;;;;0.0090291983;11000730.9733
;CZ;1993;p99.999p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;98833144.1199;2.3871640469;;;;;;;;;;;;;;;;;0.0034294799;41401907.1073
;CZ;1993;p0p10;;;;;;;;;;;;;;;;;;;;;;;;;;;;128979.038958;;;;;;;;;;;;;;;;;;0.0447553324;0.0
;CZ;1993;p10p20;;;;;;;;;;;;;;;;;;;;;;;;;;;;161278.439915;;;;;;;;;;;;;;;;;;0.0559631259;150521.158179
;CZ;1993;p20p30;;;;;;;;;;;;;;;;;;;;;;;;;;;;182938.392207;;;;;;;;;;;;;;;;;;0.0634790631;171597.131958
;CZ;1993;p30p40;;;;;;;;;;;;;;;;;;;;;;;;;;;;207768.640719;;;;;;;;;;;;;;;;;;0.0720950835;194682.06278
;CZ;1993;p40p50;;;;;;;;;;;;;;;;;;;;;;;;;;;;234506.786027;;;;;;;;;;;;;;;;;;0.0813731382;220896.538092
;CZ;1993;p50p60;;;;;;;;;;;;;;;;;;;;;;;;;;;;262422.589307;;;;;;;;;;;;;;;;;;0.0910598367;247973.017387
;CZ;1993;p60p70;;;;;;;;;;;;;;;;;;;;;;;;;;;;293563.35061;;;;;;;;;;;;;;;;;;0.1018655857;277533.951205
;CZ;1993;p70p80;;;;;;;;;;;;;;;;;;;;;;;;;;;;330249.433232;;;;;;;;;;;;;;;;;;0.1145955443;310877.087139
;CZ;1993;p80p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;384981.578806;;;;;;;;;;;;;;;;;;0.1335874316;352662.617972
;CZ;1993;p90p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;695181.50642;1.6300286055;;;;;;;;;;;;;;;;;0.2412258586;426484.237203
;CZ;1993;p0p1;;;;;;;;;;;;;;;;;;;;;;;;;;;;45060.7345658;;;;;;;;;;;;;;;;;;0.0015635937;0.0
;CZ;1993;p1p2;;;;;;;;;;;;;;;;;;;;;;;;;;;;121008.679743;;;;;;;;;;;;;;;;;;0.0041989642;90121.4691315
;CZ;1993;p2p3;;;;;;;;;;;;;;;;;;;;;;;;;;;;131666.090171;;;;;;;;;;;;;;;;;;0.0045687731;130409.085637
;CZ;1993;p3p4;;;;;;;;;;;;;;;;;;;;;;;;;;;;134180.099239;;;;;;;;;;;;;;;;;;0.0046560084;132923.094705
;CZ;1993;p4p5;;;;;;;;;;;;;;;;;;;;;;;;;;;;136694.108307;;;;;;;;;;;;;;;;;;0.0047432438;135437.103773
;CZ;1993;p5p6;;;;;;;;;;;;;;;;;;;;;;;;;;;;139208.117374;;;;;;;;;;;;;;;;;;0.0048304791;137951.112841
;CZ;1993;p6p7;;;;;;;;;;;;;;;;;;;;;;;;;;;;141722.126442;;;;;;;;;;;;;;;;;;0.0049177145;140465.121908
;CZ;1993;p7p8;;;;;;;;;;;;;;;;;;;;;;;;;;;;144236.13551;;;;;;;;;;;;;;;;;;0.0050049498;142979.130976
;CZ;1993;p8p9;;;;;;;;;;;;;;;;;;;;;;;;;;;;146750.144578;;;;;;;;;;;;;;;;;;0.0050921852;145493.140044
;CZ;1993;p9p10;;;;;;;;;;;;;;;;;;;;;;;;;;;;149264.153646;;;;;;;;;;;;;;;;;;0.0051794205;148007.149112
;CZ;1993;p10p11;;;;;;;;;;;;;;;;;;;;;;;;;;;;151619.747937;;;;;;;;;;;;;;;;;;0.0052611589;150521.158179
;CZ;1993;p11p12;;;;;;;;;;;;;;;;;;;;;;;;;;;;153816.927451;;;;;;;;;;;;;;;;;;0.0053374004;152718.337694
;CZ;1993;p12p13;;;;;;;;;;;;;;;;;;;;;;;;;;;;156014.106966;;;;;;;;;;;;;;;;;;0.0054136418;154915.517209
;CZ;1993;p13p14;;;;;;;;;;;;;;;;;;;;;;;;;;;;158211.286481;;;;;;;;;;;;;;;;;;0.0054898833;157112.696724
;CZ;1993;p14p15;;;;;;;;;;;;;;;;;;;;;;;;;;;;160407.515921;;;;;;;;;;;;;;;;;;0.0055660918;159309.876239
;CZ;1993;p15p16;;;;;;;;;;;;;;;;;;;;;;;;;;;;162499.627613;;;;;;;;;;;;;;;;;;0.0056386874;161488.793797
;CZ;1993;p16p17;;;;;;;;;;;;;;;;;;;;;;;;;;;;164521.295246;;;;;;;;;;;;;;;;;;0.0057088387;163510.461429
;CZ;1993;p17p18;;;;;;;;;;;;;;;;;;;;;;;;;;;;166542.962878;;;;;;;;;;;;;;;;;;0.0057789899;165532.129062
;CZ;1993;p18p19;;;;;;;;;;;;;;;;;;;;;;;;;;;;168564.63051;;;;;;;;;;;;;;;;;;0.0058491412;167553.796694
;CZ;1993;p19p20;;;;;;;;;;;;;;;;;;;;;;;;;;;;170586.298142;;;;;;;;;;;;;;;;;;0.0059192924;169575.464326
;CZ;1993;p20p21;;;;;;;;;;;;;;;;;;;;;;;;;;;;171991.277456;;;;;;;;;;;;;;;;;;0.0059680448;171597.131958
;CZ;1993;p21p22;;;;;;;;;;;;;;;;;;;;;;;;;;;;173544.123423;;;;;;;;;;;;;;;;;;0.0060219281;172594.334608
;CZ;1993;p22p23;;;;;;;;;;;;;;;;;;;;;;;;;;;;175936.778448;;;;;;;;;;;;;;;;;;0.0061049525;174633.115078
;CZ;1993;p23p24;;;;;;;;;;;;;;;;;;;;;;;;;;;;178797.983888;;;;;;;;;;;;;;;;;;0.0062042354;177317.601004
;CZ;1993;p24p25;;;;;;;;;;;;;;;;;;;;;;;;;;;;181812.65582;;;;;;;;;;;;;;;;;;0.0063088436;180302.818852
;CZ;1993;p25p26;;;;;;;;;;;;;;;;;;;;;;;;;;;;184733.469823;;;;;;;;;;;;;;;;;;0.006410195;183305.50537
;CZ;1993;p26p27;;;;;;;;;;;;;;;;;;;;;;;;;;;;187393.999212;;;;;;;;;;;;;;;;;;0.0065025145;186116.463208
;CZ;1993;p27p28;;;;;;;;;;;;;;;;;;;;;;;;;;;;189723.495461;;;;;;;;;;;;;;;;;;0.0065833473;188614.496455
;CZ;1993;p28p29;;;;;;;;;;;;;;;;;;;;;;;;;;;;191763.507275;;;;;;;;;;;;;;;;;;0.0066541351;190782.068844
;CZ;1993;p29p30;;;;;;;;;;;;;;;;;;;;;;;;;;;;193686.631268;;;;;;;;;;;;;;;;;;0.0067208669;192722.933141
;CZ;1993;p30p31;;;;;;;;;;;;;;;;;;;;;;;;;;;;195790.190065;;;;;;;;;;;;;;;;;;0.0067938598;194682.06278
;CZ;1993;p31p32;;;;;;;;;;;;;;;;;;;;;;;;;;;;198218.9489;;;;;;;;;;;;;;;;;;0.006878137;196956.44962
;CZ;1993;p32p33;;;;;;;;;;;;;;;;;;;;;;;;;;;;200879.74193;;;;;;;;;;;;;;;;;;0.0069704657;199519.916199
;CZ;1993;p33p34;;;;;;;;;;;;;;;;;;;;;;;;;;;;203667.186877;;;;;;;;;;;;;;;;;;0.0070671892;202260.418221
;CZ;1993;p34p35;;;;;;;;;;;;;;;;;;;;;;;;;;;;206491.459204;;;;;;;;;;;;;;;;;;0.0071651905;205079.77317
;CZ;1993;p35p36;;;;;;;;;;;;;;;;;;;;;;;;;;;;209282.029908;;;;;;;;;;;;;;;;;;0.0072620225;207897.136537
;CZ;1993;p36p37;;;;;;;;;;;;;;;;;;;;;;;;;;;;211991.966146;;;;;;;;;;;;;;;;;;0.0073560565;210653.01038
;CZ;1993;p37p38;;;;;;;;;;;;;;;;;;;;;;;;;;;;214602.868078;;;;;;;;;;;;;;;;;;0.007446654;213313.848202
;CZ;1993;p38p39;;;;;;;;;;;;;;;;;;;;;;;;;;;;217130.535653;;;;;;;;;;;;;;;;;;0.0075343632;215877.339362
;CZ;1993;p39p40;;;;;;;;;;;;;;;;;;;;;;;;;;;;219631.48043;;;;;;;;;;;;;;;;;;0.0076211453;218378.47744
;CZ;1993;p40p41;;;;;;;;;;;;;;;;;;;;;;;;;;;;222201.213912;;;;;;;;;;;;;;;;;;0.0077103142;220896.538092
;CZ;1993;p41p42;;;;;;;;;;;;;;;;;;;;;;;;;;;;224882.431815;;;;;;;;;;;;;;;;;;0.0078033517;223525.784128
;CZ;1993;p42p43;;;;;;;;;;;;;;;;;;;;;;;;;;;;227638.036327;;;;;;;;;;;;;;;;;;0.0078989703;226251.398355
;CZ;1993;p43p44;;;;;;;;;;;;;;;;;;;;;;;;;;;;230427.468592;;;;;;;;;;;;;;;;;;0.0079957628;229030.208431
;CZ;1993;p44p45;;;;;;;;;;;;;;;;;;;;;;;;;;;;233216.437922;;;;;;;;;;;;;;;;;;0.0080925391;231824.518362
;CZ;1993;p45p46;;;;;;;;;;;;;;;;;;;;;;;;;;;;235978.692617;;;;;;;;;;;;;;;;;;0.0081883885;234603.737165
;CZ;1993;p46p47;;;;;;;;;;;;;;;;;;;;;;;;;;;;238698.106256;;;;;;;;;;;;;;;;;;0.0082827514;237346.299234
;CZ;1993;p47p48;;;;;;;;;;;;;;;;;;;;;;;;;;;;241371.133986;;;;;;;;;;;;;;;;;;0.0083755046;240041.925612
;CZ;1993;p48p49;;;;;;;;;;;;;;;;;;;;;;;;;;;;244009.705281;;;;;;;;;;;;;;;;;;0.0084670622;242694.28634
;CZ;1993;p49p50;;;;;;;;;;;;;;;;;;;;;;;;;;;;246644.633565;;;;;;;;;;;;;;;;;;0.0085584934;245324.137
;CZ;1993;p50p51;;;;;;;;;;;;;;;;;;;;;;;;;;;;249325.755397;;;;;;;;;;;;;;;;;;0.0086515275;247973.017387
;CZ;1993;p51p52;;;;;;;;;;;;;;;;;;;;;;;;;;;;252083.341319;;;;;;;;;;;;;;;;;;0.0087472149;250691.810522
;CZ;1993;p52p53;;;;;;;;;;;;;;;;;;;;;;;;;;;;254913.66161;;;;;;;;;;;;;;;;;;0.0088454262;253487.00681
;CZ;1993;p53p54;;;;;;;;;;;;;;;;;;;;;;;;;;;;257808.87951;;;;;;;;;;;;;;;;;;0.0089458893;256351.145702
;CZ;1993;p54p55;;;;;;;;;;;;;;;;;;;;;;;;;;;;260760.377;;;;;;;;;;;;;;;;;;0.0090483054;259276.006979
;CZ;1993;p55p56;;;;;;;;;;;;;;;;;;;;;;;;;;;;263758.712541;;;;;;;;;;;;;;;;;;0.0091523467;262252.567764
;CZ;1993;p56p57;;;;;;;;;;;;;;;;;;;;;;;;;;;;266793.580968;;;;;;;;;;;;;;;;;;0.0092576557;265270.96115
;CZ;1993;p57p58;;;;;;;;;;;;;;;;;;;;;;;;;;;;269853.776816;;;;;;;;;;;;;;;;;;0.0093638436;268320.437572
;CZ;1993;p58p59;;;;;;;;;;;;;;;;;;;;;;;;;;;;272927.162741;;;;;;;;;;;;;;;;;;0.0094704892;271389.330367
;CZ;1993;p59p60;;;;;;;;;;;;;;;;;;;;;;;;;;;;276000.645164;;;;;;;;;;;;;;;;;;0.0095771381;274465.027406
;CZ;1993;p60p61;;;;;;;;;;;;;;;;;;;;;;;;;;;;279062.1111;;;;;;;;;;;;;;;;;;0.00968337;277533.951205
;CZ;1993;p61p62;;;;;;;;;;;;;;;;;;;;;;;;;;;;282119.908585;;;;;;;;;;;;;;;;;;0.0097894746;280589.354977
;CZ;1993;p62p63;;;;;;;;;;;;;;;;;;;;;;;;;;;;285202.48593;;;;;;;;;;;;;;;;;;0.0098964391;283654.630806
;CZ;1993;p63p64;;;;;;;;;;;;;;;;;;;;;;;;;;;;288337.871857;;;;;;;;;;;;;;;;;;0.0100052361;286759.205513
;CZ;1993;p64p65;;;;;;;;;;;;;;;;;;;;;;;;;;;;291550.250865;;;;;;;;;;;;;;;;;;0.0101167046;289929.465108
;CZ;1993;p65p66;;;;;;;;;;;;;;;;;;;;;;;;;;;;294858.043427;;;;;;;;;;;;;;;;;;0.010231484;293187.074706
;CZ;1993;p66p67;;;;;;;;;;;;;;;;;;;;;;;;;;;;298271.416932;;;;;;;;;;;;;;;;;;0.010349927;296546.798001
;CZ;1993;p67p68;;;;;;;;;;;;;;;;;;;;;;;;;;;;301789.063337;;;;;;;;;;;;;;;;;;0.0104719883;300013.672536
;CZ;1993;p68p69;;;;;;;;;;;;;;;;;;;;;;;;;;;;305394.030102;;;;;;;;;;;;;;;;;;0.0105970795;303579.354451
;CZ;1993;p69p70;;;;;;;;;;;;;;;;;;;;;;;;;;;;309048.323964;;;;;;;;;;;;;;;;;;0.0107238824;307217.389287
;CZ;1993;p70p71;;;;;;;;;;;;;;;;;;;;;;;;;;;;312692.499918;;;;;;;;;;;;;;;;;;0.0108503342;310877.087139
;CZ;1993;p71p72;;;;;;;;;;;;;;;;;;;;;;;;;;;;316309.306316;;;;;;;;;;;;;;;;;;0.0109758363;314502.326195
;CZ;1993;p72p73;;;;;;;;;;;;;;;;;;;;;;;;;;;;319943.378205;;;;;;;;;;;;;;;;;;0.0111019375;318119.123398
;CZ;1993;p73p74;;;;;;;;;;;;;;;;;;;;;;;;;;;;323647.540192;;;;;;;;;;;;;;;;;;0.0112304708;321779.296019
;CZ;1993;p74p75;;;;;;;;;;;;;;;;;;;;;;;;;;;;327475.629866;;;;;;;;;;;;;;;;;;0.0113633043;325536.454844
;CZ;1993;p75p76;;;;;;;;;;;;;;;;;;;;;;;;;;;;331480.375423;;;;;;;;;;;;;;;;;;0.0115022677;329444.316379
;CZ;1993;p76p77;;;;;;;;;;;;;;;;;;;;;;;;;;;;335710.144164;;;;;;;;;;;;;;;;;;0.0116490394;333554.087108
;CZ;1993;p77p78;;;;;;;;;;;;;;;;;;;;;;;;;;;;340204.039872;;;;;;;;;;;;;;;;;;0.0118049762;337910.490531
;CZ;1993;p78p79;;;;;;;;;;;;;;;;;;;;;;;;;;;;344984.582696;;;;;;;;;;;;;;;;;;0.0119708596;342545.80917
;CZ;1993;p79p80;;;;;;;;;;;;;;;;;;;;;;;;;;;;350046.835664;;;;;;;;;;;;;;;;;;0.0121465182;347471.016232
;CZ;1993;p80p81;;;;;;;;;;;;;;;;;;;;;;;;;;;;355349.417595;;;;;;;;;;;;;;;;;;0.0123305162;352662.617972
;CZ;1993;p81p82;;;;;;;;;;;;;;;;;;;;;;;;;;;;360876.421931;;;;;;;;;;;;;;;;;;0.0125223016;358072.544164
