Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Average | Adults | constant 2015 local currency;Personal bonds & loans | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Net personal wealth | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;RU;1991;p4p5;17873.1247941;;;;;;;;;;;;;;;;;;;;;;;;22802.5566796;;;;;;;;;;;;;;;0.0003929944;;0.0003957624;13372.3925781;;17126.6640625
;RU;1991;p5p6;29175.012065;;;;;;;;;;;;;;;;;;;;;;;;37033.871617;;;;;;;;;;;;;;;0.0006415003;;0.0006427619;22931.4960938;;29181.9902344
;RU;1991;p6p7;44231.9145188;;;;;;;;;;;;;;;;;;;;;;;;55973.9854219;;;;;;;;;;;;;;;0.0009725716;;0.0009714876;36044.875;;45688.6835938
;RU;1991;p7p8;63426.0282942;;;;;;;;;;;;;;;;;;;;;;;;80101.2450783;;;;;;;;;;;;;;;0.0013946119;;0.0013902417;53108.890625;;67143.9453125
;RU;1991;p8p9;87115.2478116;;;;;;;;;;;;;;;;;;;;;;;;109865.601472;;;;;;;;;;;;;;;0.0019154906;;0.0019068335;74492.6796875;;94012.046875
;RU;1991;p9p10;115637.708448;;;;;;;;;;;;;;;;;;;;;;;;145691.953066;;;;;;;;;;;;;;;0.0025426426;;0.0025286376;100543.632812;;126712.539062
;RU;1991;p10p11;149315.061178;;;;;;;;;;;;;;;;;;;;;;;;187986.786305;;;;;;;;;;;;;;;0.0032831405;;0.0032627091;131591.171875;;165718.703125
;RU;1991;p11p12;188454.900102;;;;;;;;;;;;;;;;;;;;;;;;237134.406009;;;;;;;;;;;;;;;0.0041437475;;0.004115718;167949.5625;;211381.09375
;RU;1991;p12p13;233352.700228;;;;;;;;;;;;;;;;;;;;;;;;293506.231938;;;;;;;;;;;;;;;0.0051309606;;0.0050941105;209920.078125;;264078.78125
;RU;1991;p13p14;269991.664695;;;;;;;;;;;;;;;;;;;;;;;;339443.80133;;;;;;;;;;;;;;;0.0059365784;;0.0058914055;257792.59375;;324283.40625
;RU;1991;p14p15;274953.556674;;;;;;;;;;;;;;;;;;;;;;;;345780.514614;;;;;;;;;;;;;;;0.0060456805;;0.0060013859;273210.21875;;343530.65625
;RU;1991;p15p16;278477.125788;;;;;;;;;;;;;;;;;;;;;;;;350264.623107;;;;;;;;;;;;;;;0.0061231568;;0.0060792123;276706.1875;;347985.625
;RU;1991;p16p17;282054.042203;;;;;;;;;;;;;;;;;;;;;;;;354798.17911;;;;;;;;;;;;;;;0.006201806;;0.0061578969;280256.96875;;352519.96875
;RU;1991;p17p18;285680.345639;;;;;;;;;;;;;;;;;;;;;;;;359389.795023;;;;;;;;;;;;;;;0.0062815412;;0.0062375893;283859.375;;357081.59375
;RU;1991;p18p19;289350.233333;;;;;;;;;;;;;;;;;;;;;;;;364038.558629;;;;;;;;;;;;;;;0.0063622347;;0.0063182735;287508.59375;;361709.875
;RU;1991;p19p20;293055.869436;;;;;;;;;;;;;;;;;;;;;;;;368731.886704;;;;;;;;;;;;;;;0.0064437143;;0.0063997312;291197.84375;;366377.3125
;RU;1991;p20p21;296787.109703;;;;;;;;;;;;;;;;;;;;;;;;373457.517981;;;;;;;;;;;;;;;0.0065257568;;0.0064817495;294918.1875;;371095.03125
;RU;1991;p21p22;300531.183818;;;;;;;;;;;;;;;;;;;;;;;;378199.005732;;;;;;;;;;;;;;;0.0066080815;;0.006564043;298658.1875;;375826.5625
;RU;1991;p22p23;304272.420086;;;;;;;;;;;;;;;;;;;;;;;;382937.086084;;;;;;;;;;;;;;;0.0066903438;;0.0066462774;302403.71875;;380568.96875
;RU;1991;p23p24;307991.864225;;;;;;;;;;;;;;;;;;;;;;;;387649.892669;;;;;;;;;;;;;;;0.006772127;;0.0067280731;306137.53125;;385299.625
;RU;1991;p24p25;311666.898165;;;;;;;;;;;;;;;;;;;;;;;;392304.934472;;;;;;;;;;;;;;;0.0068529337;;0.0068088663;309838.875;;389993.46875
;RU;1991;p25p26;315270.752955;;;;;;;;;;;;;;;;;;;;;;;;396871.625405;;;;;;;;;;;;;;;0.0069321753;;0.006888126;313483.125;;394606.53125
;RU;1991;p26p27;318772.10638;;;;;;;;;;;;;;;;;;;;;;;;401309.398655;;;;;;;;;;;;;;;0.007009163;;0.0069651483;317041.375;;399118.53125
;RU;1991;p27p28;322134.405269;;;;;;;;;;;;;;;;;;;;;;;;405571.140913;;;;;;;;;;;;;;;0.0070830933;;0.0070391153;320479.75;;403474.4375
;RU;1991;p28p29;325316.225516;;;;;;;;;;;;;;;;;;;;;;;;409608.290054;;;;;;;;;;;;;;;0.0071530552;;0.0071091843;323758.96875;;407630.59375
;RU;1991;p29p30;328295.457322;;;;;;;;;;;;;;;;;;;;;;;;413394.499113;;;;;;;;;;;;;;;0.0072185625;;0.0071748979;326838.375;;411545.1875
;RU;1991;p30p31;331097.620139;;;;;;;;;;;;;;;;;;;;;;;;416961.293227;;;;;;;;;;;;;;;0.0072801765;;0.0072368034;329723.03125;;415208.0
;RU;1991;p31p32;333759.77541;;;;;;;;;;;;;;;;;;;;;;;;420354.122251;;;;;;;;;;;;;;;0.007338712;;0.0072956895;332448.875;;418684.71875
;RU;1991;p32p33;336320.424681;;;;;;;;;;;;;;;;;;;;;;;;423619.992175;;;;;;;;;;;;;;;0.0073950156;;0.0073523722;335053.75;;422003.90625
;RU;1991;p33p34;338819.361354;;;;;;;;;;;;;;;;;;;;;;;;426813.287212;;;;;;;;;;;;;;;0.0074499622;;0.0074077952;337576.8125;;425223.8125
;RU;1991;p34p35;341297.607153;;;;;;;;;;;;;;;;;;;;;;;;429980.986521;;;;;;;;;;;;;;;0.0075044539;;0.0074627739;340058.46875;;428396.53125
;RU;1991;p35p36;343797.179165;;;;;;;;;;;;;;;;;;;;;;;;433177.152357;;;;;;;;;;;;;;;0.0075594145;;0.0075182468;342540.28125;;431569.78125
;RU;1991;p36p37;346361.047488;;;;;;;;;;;;;;;;;;;;;;;;436454.988418;;;;;;;;;;;;;;;0.0076157888;;0.0075751371;345064.78125;;434798.34375
;RU;1991;p37p38;349032.732845;;;;;;;;;;;;;;;;;;;;;;;;439869.066725;;;;;;;;;;;;;;;0.0076745339;;0.007634392;347675.25;;438139.5
;RU;1991;p38p39;351856.243053;;;;;;;;;;;;;;;;;;;;;;;;443473.851981;;;;;;;;;;;;;;;0.0077366172;;0.0076969569;350415.53125;;441637.75
;RU;1991;p39p40;354875.58593;;;;;;;;;;;;;;;;;;;;;;;;447323.057653;;;;;;;;;;;;;;;0.0078030066;;0.0077637639;353329.625;;445353.53125
;RU;1991;p40p41;358134.345734;;;;;;;;;;;;;;;;;;;;;;;;451472.999705;;;;;;;;;;;;;;;0.0078746602;;0.0078357905;356461.4375;;449344.5
;RU;1991;p41p42;361675.259604;;;;;;;;;;;;;;;;;;;;;;;;455978.652609;;;;;;;;;;;;;;;0.0079525178;;0.0079139909;359854.28125;;453658.25
;RU;1991;p42p43;365539.603398;;;;;;;;;;;;;;;;;;;;;;;;460889.866325;;;;;;;;;;;;;;;0.008037487;;0.0079992302;363550.1875;;458360.78125
;RU;1991;p43p44;369766.259867;;;;;;;;;;;;;;;;;;;;;;;;466256.651791;;;;;;;;;;;;;;;0.0081304228;;0.0080923764;367589.4375;;463494.03125
;RU;1991;p44p45;374391.019776;;;;;;;;;;;;;;;;;;;;;;;;472121.990512;;;;;;;;;;;;;;;0.008232112;;0.0081941755;372009.5;;469103.21875
;RU;1991;p45p46;379444.972381;;;;;;;;;;;;;;;;;;;;;;;;478528.327393;;;;;;;;;;;;;;;0.0083432384;;0.0083053643;376844.25;;475230.71875
;RU;1991;p46p47;384937.605412;;;;;;;;;;;;;;;;;;;;;;;;485483.550427;;;;;;;;;;;;;;;0.0084640104;;0.0084260795;382120.09375;;481924.9375
;RU;1991;p47p48;390834.695273;;;;;;;;;;;;;;;;;;;;;;;;492949.185533;;;;;;;;;;;;;;;0.0085936757;;0.0085556535;387822.59375;;489139.25
;RU;1991;p48p49;397088.506825;;;;;;;;;;;;;;;;;;;;;;;;500865.348368;;;;;;;;;;;;;;;0.0087311845;;0.0086930469;393906.34375;;496838.25
;RU;1991;p49p50;403647.53525;;;;;;;;;;;;;;;;;;;;;;;;509165.393452;;;;;;;;;;;;;;;0.0088754045;;0.0088371029;400321.625;;504951.15625
;RU;1991;p50p51;410456.590763;;;;;;;;;;;;;;;;;;;;;;;;517781.011853;;;;;;;;;;;;;;;0.009025122;;0.0089866361;407015.15625;;513433.125
;RU;1991;p51p52;417457.137462;;;;;;;;;;;;;;;;;;;;;;;;526638.689638;;;;;;;;;;;;;;;0.0091790501;;0.0091403704;413930.0;;522183.25
;RU;1991;p52p53;424587.1239;;;;;;;;;;;;;;;;;;;;;;;;535663.786017;;;;;;;;;;;;;;;0.0093358243;;0.0092970105;421005.875;;531127.5625
;RU;1991;p53p54;431781.49136;;;;;;;;;;;;;;;;;;;;;;;;544768.245248;;;;;;;;;;;;;;;0.0094940141;;0.009455028;428179.125;;540208.6875
;RU;1991;p54p55;438972.470346;;;;;;;;;;;;;;;;;;;;;;;;553872.221541;;;;;;;;;;;;;;;0.0096521294;;0.0096130371;435383.3125;;549332.8125
;RU;1991;p55p56;446090.08885;;;;;;;;;;;;;;;;;;;;;;;;562886.961578;;;;;;;;;;;;;;;0.0098086316;;0.0097694974;442549.40625;;558408.0
;RU;1991;p56p57;453062.977123;;;;;;;;;;;;;;;;;;;;;;;;571721.619306;;;;;;;;;;;;;;;0.0099619515;;0.0099228323;449606.65625;;567340.5
;RU;1991;p57p58;459819.172428;;;;;;;;;;;;;;;;;;;;;;;;580288.138985;;;;;;;;;;;;;;;0.0101105068;;0.0100715132;456483.1875;;576054.125
;RU;1991;p58p59;466287.347371;;;;;;;;;;;;;;;;;;;;;;;;588491.167141;;;;;;;;;;;;;;;0.0102527291;;0.0102138855;463107.125;;584455.1875
;RU;1991;p59p60;472398.334708;;;;;;;;;;;;;;;;;;;;;;;;596249.248187;;;;;;;;;;;;;;;0.0103870975;;0.0103485351;469408.0;;592455.0
;RU;1991;p60p61;478086.906298;;;;;;;;;;;;;;;;;;;;;;;;603479.960664;;;;;;;;;;;;;;;0.0105121778;;0.0104740318;475318.1875;;599958.25
;RU;1991;p61p62;483299.39717;;;;;;;;;;;;;;;;;;;;;;;;610118.751824;;;;;;;;;;;;;;;0.0106267901;;0.010589255;480775.28125;;606901.9375
;RU;1991;p62p63;488058.298327;;;;;;;;;;;;;;;;;;;;;;;;616198.407808;;;;;;;;;;;;;;;0.0107314289;;0.0106947739;485746.375;;613239.25
;RU;1991;p63p64;492470.643218;;;;;;;;;;;;;;;;;;;;;;;;621854.687926;;;;;;;;;;;;;;;0.0108284475;;0.0107929446;490312.40625;;619082.75
;RU;1991;p64p65;496655.324954;;;;;;;;;;;;;;;;;;;;;;;;627230.649219;;;;;;;;;;;;;;;0.0109204603;;0.0108862501;494590.90625;;624578.8125
;RU;1991;p65p66;500732.549682;;;;;;;;;;;;;;;;;;;;;;;;632482.656361;;;;;;;;;;;;;;;0.0110101104;;0.0109774042;498701.84375;;629865.0
;RU;1991;p66p67;504820.575173;;;;;;;;;;;;;;;;;;;;;;;;637755.698146;;;;;;;;;;;;;;;0.0110999979;;0.0110689234;502765.09375;;635110.875
;RU;1991;p67p68;509031.687013;;;;;;;;;;;;;;;;;;;;;;;;643186.714399;;;;;;;;;;;;;;;0.0111925919;;0.0111631844;506896.71875;;640431.75
;RU;1991;p68p69;513466.311126;;;;;;;;;;;;;;;;;;;;;;;;648898.264117;;;;;;;;;;;;;;;0.0112901004;;0.0112623144;511204.1875;;645987.1875
;RU;1991;p69p70;518205.177926;;;;;;;;;;;;;;;;;;;;;;;;654993.159486;;;;;;;;;;;;;;;0.0113942986;;0.0113680977;515779.59375;;651877.0
;RU;1991;p70p71;523298.775687;;;;;;;;;;;;;;;;;;;;;;;;661532.948305;;;;;;;;;;;;;;;0.0115062967;;0.0114816027;520690.625;;658184.25
;RU;1991;p71p72;528752.780105;;;;;;;;;;;;;;;;;;;;;;;;668528.040575;;;;;;;;;;;;;;;0.0116262194;;0.0116030099;525968.0625;;664957.125
;RU;1991;p72p73;534508.528209;;;;;;;;;;;;;;;;;;;;;;;;675904.761382;;;;;;;;;;;;;;;0.0117527768;;0.0117310407;531589.25;;672160.75
;RU;1991;p73p74;540416.842393;;;;;;;;;;;;;;;;;;;;;;;;683472.189139;;;;;;;;;;;;;;;0.0118826889;;0.0118623814;537455.1875;;679673.625
;RU;1991;p74p75;546275.218929;;;;;;;;;;;;;;;;;;;;;;;;691001.947713;;;;;;;;;;;;;;;0.0120115029;;0.0119930683;543363.875;;687255.1875
;RU;1991;p75p76;552071.628731;;;;;;;;;;;;;;;;;;;;;;;;698476.114728;;;;;;;;;;;;;;;0.0121389544;;0.0121227903;549175.6875;;694733.5
;RU;1991;p76p77;557908.530808;;;;;;;;;;;;;;;;;;;;;;;;706016.658922;;;;;;;;;;;;;;;0.0122672962;;0.0122536644;554974.3125;;702217.625
;RU;1991;p77p78;563894.949338;;;;;;;;;;;;;;;;;;;;;;;;713756.227336;;;;;;;;;;;;;;;0.0123989256;;0.0123879928;560867.75;;709843.8125
;RU;1991;p78p79;570138.12955;;;;;;;;;;;;;;;;;;;;;;;;721831.276855;;;;;;;;;;;;;;;0.0125362007;;0.0125281438;566965.125;;717721.75
;RU;1991;p79p80;576734.685333;;;;;;;;;;;;;;;;;;;;;;;;730360.717609;;;;;;;;;;;;;;;0.0126812458;;0.0126761813;573370.375;;726011.5
;RU;1991;p80p81;583756.918271;;;;;;;;;;;;;;;;;;;;;;;;739437.273741;;;;;;;;;;;;;;;0.0128356507;;0.0128337145;580170.75;;734797.125
;RU;1991;p81p82;591230.030144;;;;;;;;;;;;;;;;;;;;;;;;749092.282579;;;;;;;;;;;;;;;0.0129999695;;0.0130012874;587419.625;;744160.375
;RU;1991;p82p83;599096.586304;;;;;;;;;;;;;;;;;;;;;;;;759256.415653;;;;;;;;;;;;;;;0.0131729394;;0.0131776966;595108.25;;754114.0625
;RU;1991;p83p84;607211.983587;;;;;;;;;;;;;;;;;;;;;;;;769769.552103;;;;;;;;;;;;;;;0.0133513808;;0.0133601632;603122.125;;764457.9375
;RU;1991;p84p85;615591.851332;;;;;;;;;;;;;;;;;;;;;;;;780658.092554;;;;;;;;;;;;;;;0.0135356374;;0.0135491453;611344.375;;775138.5625
;RU;1991;p85p86;624410.611283;;;;;;;;;;;;;;;;;;;;;;;;792129.485814;;;;;;;;;;;;;;;0.0137295444;;0.0137482435;619912.3125;;786275.9375
;RU;1991;p86p87;633856.323794;;;;;;;;;;;;;;;;;;;;;;;;804432.337764;;;;;;;;;;;;;;;0.0139372367;;0.0139617724;629013.6875;;798117.3125
;RU;1991;p87p88;644095.955964;;;;;;;;;;;;;;;;;;;;;;;;817770.555664;;;;;;;;;;;;;;;0.0141623858;;0.0141932713;638832.5;;810913.0625
;RU;1991;p88p89;655215.447987;;;;;;;;;;;;;;;;;;;;;;;;832260.795932;;;;;;;;;;;;;;;0.0144068813;;0.0144447647;649509.1875;;824814.3125
;RU;1991;p89p90;667121.828583;;;;;;;;;;;;;;;;;;;;;;;;847813.983292;;;;;;;;;;;;;;;0.0146686789;;0.0147147067;661055.375;;839891.625
;RU;1991;p90p91;679750.293172;;;;;;;;;;;;;;;;;;;;;;;;864382.789794;;;;;;;;;;;;;;;0.0149463536;;0.0150022758;673300.4375;;855913.25
;RU;1991;p91p92;693477.004817;;;;;;;;;;;;;;;;;;;;;;;;882482.081273;;;;;;;;;;;;;;;0.0152481766;;0.0153164081;686372.5625;;873098.8125
;RU;1991;p92p93;709416.178765;;;;;;;;;;;;;;;;;;;;;;;;903553.64305;;;;;;;;;;;;;;;0.0155986473;;0.0156821273;700923.875;;892344.375
;RU;1991;p93p94;730047.670338;;;;;;;;;;;;;;;;;;;;;;;;930674.59668;;;;;;;;;;;;;;;0.0160522927;;0.0161528401;718694.25;;915805.375
;RU;1991;p94p95;757610.880215;;;;;;;;;;;;;;;;;;;;;;;;966802.670655;;;;;;;;;;;;;;;0.0166583527;;0.016779881;742489.375;;947016.0
;RU;1991;p95p96;795680.649368;;;;;;;;;;;;;;;;;;;;;;;;1016644.04457;;;;;;;;;;;;;;;0.017495431;;0.0176449306;774422.875;;988872.5625
;RU;1991;p96p97;852383.811184;;;;;;;;;;;;;;;;;;;;;;;;1090711.74756;;;;;;;;;;;;;;;0.0187422205;;0.0189304538;819882.375;;1048262.9375
;RU;1991;p97p98;947989.121002;;;;;;;;;;;;;;;;;;;;;;;;1215332.24617;;;;;;;;;;;;;;;0.0208443906;;0.0210933741;890801.1875;;1140812.0
;RU;1991;p98p99;1154833.06237;;;;;;;;;;;;;;;;;;;;;;;;1484201.35639;;;;;;;;;;;;;;;0.0253924765;;0.0257598814;1020380.125;;1309591.75
;RU;1991;p1p100;459375.362992;;;;;;;;;;;;;;;;;;;;;;;;581973.253301;321.932281494;;304.755584717;;;;;;;;;;;;0.999974082;;0.9999752579;1426.93164062;;1909.63928223
;RU;1991;p2p100;464041.069306;;;;;;;;;;;;;;;;;;;;;;;;587882.455298;147.784576416;;140.529098511;;;;;;;;;;;;0.9999271125;;0.9999254207;3139.9831543;;4183.35058594
;RU;1991;p3p100;468775.105909;;;;;;;;;;;;;;;;;;;;;;;;593877.712594;67.5889129639;;65.999206543;;;;;;;;;;;;0.9998207011;;0.99981534;6935.68066406;;8998.25488281
;RU;1991;p4p100;473554.919588;;;;;;;;;;;;;;;;;;;;;;;;599930.995502;35.4128799438;;35.0290641785;;;;;;;;;;;;0.9996027342;;0.9995938324;13372.3925781;;17126.6640625
;RU;1991;p5p100;478351.570062;;;;;;;;;;;;;;;;;;;;;;;;606006.031697;20.8600254059;;20.7664394379;;;;;;;;;;;;0.9992097398;;0.99919807;22931.4960938;;29181.9902344
;RU;1991;p6p100;483130.044075;;;;;;;;;;;;;;;;;;;;;;;;612058.927001;13.4035711288;;13.3962917328;;;;;;;;;;;;0.9985682394;;0.998555308;36044.875;;45688.6835938
;RU;1991;p7p100;487849.378811;;;;;;;;;;;;;;;;;;;;;;;;618038.334965;9.18583297729;;9.20467662811;;;;;;;;;;;;0.9975956678;;0.9975838204;53108.890625;;67143.9453125
;RU;1991;p8p100;492462.676086;;;;;;;;;;;;;;;;;;;;;;;;623885.477275;6.61088705063;;6.63622903824;;;;;;;;;;;;0.9962010559;;0.9961935787;74492.6796875;;94012.046875
;RU;1991;p9p100;496917.043423;;;;;;;;;;;;;;;;;;;;;;;;629534.047345;4.94230222702;;4.96820640564;;;;;;;;;;;;0.9942855653;;0.9942867453;100543.632812;;126712.539062
;RU;1991;p10p100;501153.480499;;;;;;;;;;;;;;;;;;;;;;;;634910.070675;3.80841255188;;3.83125185966;;;;;;;;;;;;0.9917429227;;0.9917581077;131591.171875;;165718.703125
;RU;1991;p11p100;505106.721221;;;;;;;;;;;;;;;;;;;;;;;;639931.680542;3.00749063492;;3.02738380432;;;;;;;;;;;;0.9884597823;;0.9884953985;167949.5625;;211381.09375
;RU;1991;p12p100;508705.037313;;;;;;;;;;;;;;;;;;;;;;;;644508.922227;2.42332720757;;2.44059348106;;;;;;;;;;;;0.9843160347;;0.9843796804;209920.078125;;264078.78125
;RU;1991;p13p100;511870.006744;;;;;;;;;;;;;;;;;;;;;;;;648543.435998;1.98558843136;;1.99992787838;;;;;;;;;;;;0.9791850742;;0.97928557;257792.59375;;324283.40625
;RU;1991;p14p100;514682.545531;;;;;;;;;;;;;;;;;;;;;;;;652137.61777;1.88383340836;;1.89833891392;;;;;;;;;;;;0.9732484957;;0.9733941645;273210.21875;;343530.65625
;RU;1991;p15p100;517502.886637;;;;;;;;;;;;;;;;;;;;;;;;655741.818897;1.87022519112;;1.8843934536;;;;;;;;;;;;0.9672028153;;0.9673927785;276706.1875;;347985.625
;RU;1991;p16p100;520348.431424;;;;;;;;;;;;;;;;;;;;;;;;659378.452121;1.85668325424;;1.87047123909;;;;;;;;;;;;0.9610796585;;0.9613135661;280256.96875;;352519.96875
;RU;1991;p17p100;523219.44811;;;;;;;;;;;;;;;;;;;;;;;;663048.093901;1.84323465824;;1.85685312748;;;;;;;;;;;;0.9548778524;;0.9551556691;283859.375;;357081.59375
;RU;1991;p18p100;526116.266442;;;;;;;;;;;;;;;;;;;;;;;;666751.244024;1.82991492748;;1.84333157539;;;;;;;;;;;;0.9485963113;;0.94891808;287508.59375;;361709.875
;RU;1991;p19p100;529039.303906;;;;;;;;;;;;;;;;;;;;;;;;670488.437532;1.8167693615;;1.83004903793;;;;;;;;;;;;0.9422340766;;0.9425998063;291197.84375;;366377.3125
;RU;1991;p20p100;531989.096864;;;;;;;;;;;;;;;;;;;;;;;;674260.394351;1.80385315418;;1.81694805622;;;;;;;;;;;;0.9357903624;;0.9362000751;294918.1875;;371095.03125
;RU;1991;p21p100;534966.337341;;;;;;;;;;;;;;;;;;;;;;;;678068.025778;1.79123282433;;1.80420458317;;;;;;;;;;;;0.9292646058;;0.9297183257;298658.1875;;375826.5625
;RU;1991;p22p100;537971.916366;;;;;;;;;;;;;;;;;;;;;;;;681912.500245;1.77898573875;;1.79182374477;;;;;;;;;;;;0.9226565245;;0.9231542825;302403.71875;;380568.96875
;RU;1991;p23p100;541006.974848;;;;;;;;;;;;;;;;;;;;;;;;685795.297889;1.76720237732;;1.7799012661;;;;;;;;;;;;0.9159661808;;0.9165080052;306137.53125;;385299.625
;RU;1991;p24p100;544072.963161;;;;;;;;;;;;;;;;;;;;;;;;689718.263667;1.75598680973;;1.7685379982;;;;;;;;;;;;0.9091940539;;0.909779932;309838.875;;389993.46875
;RU;1991;p25p100;547171.710774;;;;;;;;;;;;;;;;;;;;;;;;693683.77458;1.74545824528;;1.75791251659;;;;;;;;;;;;0.9023411203;;0.9029710655;313483.125;;394606.53125
;RU;1991;p26p100;550305.507479;;;;;;;;;;;;;;;;;;;;;;;;697694.749682;1.73575294018;;1.74808907509;;;;;;;;;;;;0.895408945;;0.8960829396;317041.375;;399118.53125
;RU;1991;p27p100;553477.198022;;;;;;;;;;;;;;;;;;;;;;;;701754.822999;1.7270270586;;1.73927950859;;;;;;;;;;;;0.8883997822;;0.8891177914;320479.75;;403474.4375
;RU;1991;p28p100;556690.292253;;;;;;;;;;;;;;;;;;;;;;;;705868.485142;1.71945905685;;1.73163759708;;;;;;;;;;;;0.8813166887;;0.882078676;323758.96875;;407630.59375
;RU;1991;p29p100;559949.081855;;;;;;;;;;;;;;;;;;;;;;;;710041.164119;1.71322929859;;1.72530543804;;;;;;;;;;;;0.8741636335;;0.8749694919;326838.375;;411545.1875
;RU;1991;p30p100;563258.419241;;;;;;;;;;;;;;;;;;;;;;;;714278.973699;1.70827746391;;1.72029197216;;;;;;;;;;;;0.8669450708;;0.867794594;329723.03125;;415208.0
;RU;1991;p31p100;566623.068476;;;;;;;;;;;;;;;;;;;;;;;;718587.925504;1.7043915987;;1.71629846096;;;;;;;;;;;;0.8596648942;;0.8605577905;332448.875;;418684.71875
;RU;1991;p32p100;570047.528689;;;;;;;;;;;;;;;;;;;;;;;;722973.716573;1.70136141777;;1.71319198608;;;;;;;;;;;;0.8523261822;;0.8532621008;335053.75;;422003.90625
;RU;1991;p33p100;573535.992989;;;;;;;;;;;;;;;;;;;;;;;;727441.682615;1.69897925854;;1.71072661877;;;;;;;;;;;;0.8449311668;;0.8459097286;337576.8125;;425223.8125
;RU;1991;p34p100;577092.305527;;;;;;;;;;;;;;;;;;;;;;;;731996.65833;1.6970385313;;1.70868945122;;;;;;;;;;;;0.8374812045;;0.8385019335;340058.46875;;428396.53125
;RU;1991;p35p100;580719.916296;;;;;;;;;;;;;;;;;;;;;;;;736643.053194;1.69533324242;;1.70689213276;;;;;;;;;;;;0.8299767506;;0.8310391595;342540.28125;;431569.78125
;RU;1991;p36p100;584421.833903;;;;;;;;;;;;;;;;;;;;;;;;741384.707751;1.6936583519;;1.7051230669;;;;;;;;;;;;0.8224173359;;0.8235209125;345064.78125;;434798.34375
;RU;1991;p37p100;588200.576635;;;;;;;;;;;;;;;;;;;;;;;;746224.862028;1.69181036949;;1.7031673193;;;;;;;;;;;;0.8148015472;;0.8159457755;347675.25;;438139.5
;RU;1991;p38p100;592058.122343;;;;;;;;;;;;;;;;;;;;;;;;751166.08438;1.68958866596;;1.70086479187;;;;;;;;;;;;0.8071270131;;0.8083113833;350415.53125;;441637.75
;RU;1991;p39p100;595995.857901;;;;;;;;;;;;;;;;;;;;;;;;756210.219353;1.68679845333;;1.69799983501;;;;;;;;;;;;0.7993903957;;0.8006144264;353329.625;;445353.53125
;RU;1991;p40p100;600014.529262;;;;;;;;;;;;;;;;;;;;;;;;761358.338866;1.68325233459;;1.69437551498;;;;;;;;;;;;0.7915873893;;0.7928506627;356461.4375;;449344.5
