Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;SM;1981;p0p100;8493.06054688;35549.2226562;27056.1601562;27056.1601562;21666.0;184010656.0;770209408.0;586198784.0;586198784.0;0.2310890853;;;0.3995011151;;0.4144379795;
;SM;1980;p0p100;8439.18652344;35754.9492188;27315.7636719;27315.7636719;21361.0;180269472.0;763761472.0;583492032.0;583492032.0;0.1945403367;;;0.3678247035;;0.3538454175;
;SM;1979;p0p100;8342.23144531;35113.3125;26771.0820312;26771.0820312;21030.0;175437120.0;738432960.0;562995840.0;562995840.0;0.1610222608;;;0.3315519691;;0.3115274906;
;SM;1978;p0p100;8216.5234375;33732.03125;25515.5058594;25515.5058594;20660.0;169753376.0;696903744.0;527150368.0;527150368.0;0.1394723803;;;0.3106824458;;0.2828114629;
;SM;1977;p0p100;8072.04492188;33259.3359375;25187.2890625;25187.2890625;20296.0;163830224.0;675031424.0;511201216.0;511201216.0;0.1224032566;;;0.2914753258;;0.2541611493;
;SM;1976;p0p100;7904.18261719;32941.90625;25037.7226562;25037.7226562;19980.0;157925568.0;658179264.0;500253696.0;500253696.0;0.1033138111;;;0.2609248757;;0.2173053771;
;SM;1975;p0p100;7706.828125;31132.5195312;23425.6933594;23425.6933594;19735.0;152094256.0;614400320.0;462306048.0;462306048.0;0.0879608765;;;0.234262079;;0.1927005798;
;SM;1974;p0p100;7489.10009766;32078.3203125;24589.21875;24589.21875;19562.0;146501776.0;627516096.0;481014304.0;481014304.0;0.0751911104;;;0.2181516737;;0.1667140722;
;SM;1973;p0p100;7221.03955078;30555.953125;23334.9121094;23334.9121094;19466.0;140564752.0;594802176.0;454237408.0;454237408.0;0.0625308678;;;0.1970954537;;0.139767617;
;SM;1972;p0p100;6934.07958984;28623.3515625;21689.2734375;21689.2734375;19398.0;134507280.0;555235776.0;420728512.0;420728512.0;0.0554653443;;;0.1843882352;;0.126353085;
