Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;SG;1986;p99p99.5;138901.515625;;;;;;;;;;;;;;;;;;207921.796875;;;;;;;;;;;;;;0.0340052173;0.0340052173;;
;SG;1986;p95p100;97656.9375;;;;;;;;;;;;;;;;;;146182.75;;;;;;;;;;;;;;0.2390794009;0.2390794009;;
;SG;1986;p99.5p100;280333.5;;;;;;;;;;;;;;;;;;419631.4375;;;;;;;;;;;;;;0.0686299279;0.0686299279;;
;SG;1985;p0p100;20280.7910156;20280.7910156;;;;;;;;;;;;;;;;;31644.2480469;31644.2480469;;;37880463360.0;;;;;;;;;59105124352.0;;;;
;SG;1985;p99p100;216444.46875;;;;;;;;;;;;;;;;;;337719.65625;;;;;;;;;;;;;;0.1067237705;0.1067237705;;
;SG;1985;p99.9p100;586122.4375;;;;;;;;;;;;;;;;;;914530.5;;;;;;;;;;;;;;0.0288999993;0.0288999993;;
;SG;1985;p90p100;68538.9375;;;;;;;;;;;;;;;;;;106941.742188;;;;;;;;;;;;;;0.3379501104;0.3379501104;;
;SG;1985;p90p95;37524.046875;;;;;;;;;;;;;;;;;;58549.0078125;;;;;;;;;;;;;;0.0925113261;0.0925113261;;
;SG;1985;p95p99;70331.21875;;;;;;;;;;;;;;;;;;109738.25;;;;;;;;;;;;;;0.1387150139;0.1387150139;;
;SG;1985;p99.5p99.9;219365.609375;;;;;;;;;;;;;;;;;;342277.53125;;;;;;;;;;;;;;0.0432657786;0.0432657786;;
;SG;1985;p99p99.5;140172.828125;;;;;;;;;;;;;;;;;;218712.5625;;;;;;;;;;;;;;0.0345579945;0.0345579945;;
;SG;1985;p95p100;99553.8359375;;;;;;;;;;;;;;;;;;155334.484375;;;;;;;;;;;;;;0.2454387993;0.2454387993;;
;SG;1985;p99.5p100;292716.09375;;;;;;;;;;;;;;;;;;456726.78125;;;;;;;;;;;;;;0.0721657798;0.0721657798;;
;SG;1984;p0p100;20923.6523438;20923.6523438;;;;;;;;;;;;;;;;;32775.9960938;32775.9960938;;;38300745728.0;;;;;;;;;59996463104.0;;;;
;SG;1984;p99p100;212692.65625;;;;;;;;;;;;;;;;;;333173.84375;;;;;;;;;;;;;;0.1016516909;0.1016516909;;
;SG;1984;p99.9p100;579592.625;;;;;;;;;;;;;;;;;;907906.75;;;;;;;;;;;;;;0.0276999995;0.0276999995;;
;SG;1984;p90p100;66413.9609375;;;;;;;;;;;;;;;;;;104034.601562;;;;;;;;;;;;;;0.3174110353;0.3174110353;;
;SG;1984;p90p95;36173.9648438;;;;;;;;;;;;;;;;;;56664.953125;;;;;;;;;;;;;;0.0864427835;0.0864427835;;
;SG;1984;p95p99;67644.3203125;;;;;;;;;;;;;;;;;;105961.90625;;;;;;;;;;;;;;0.1293165386;0.1293165386;;
;SG;1984;p99.5p99.9;216169.265625;;;;;;;;;;;;;;;;;;338619.78125;;;;;;;;;;;;;;0.0413254239;0.0413254239;;
;SG;1984;p99p99.5;136532.265625;;;;;;;;;;;;;;;;;;213871.875;;;;;;;;;;;;;;0.0326262675;0.0326262675;;
;SG;1984;p95p100;96653.953125;;;;;;;;;;;;;;;;;;151404.234375;;;;;;;;;;;;;;0.2309682369;0.2309682369;;
;SG;1984;p99.5p100;288853.0625;;;;;;;;;;;;;;;;;;452475.84375;;;;;;;;;;;;;;0.0690254271;0.0690254271;;
;SG;1983;p0p100;19574.7089844;19574.7089844;;;;;;;;;;;;;;;;;30430.8808594;30430.8808594;;;35066130432.0;;;;;;;;;54513876992.0;;;;
;SG;1983;p99p100;204495.71875;;;;;;;;;;;;;;;;;;317909.4375;;;;;;;;;;;;;;0.1044692546;0.1044692546;;
;SG;1983;p99.9p100;549246.125;;;;;;;;;;;;;;;;;;853859.125;;;;;;;;;;;;;;0.0280586071;0.0280586071;;
;SG;1983;p90p100;62881.7265625;;;;;;;;;;;;;;;;;;97756.0625;;;;;;;;;;;;;;0.3212397397;0.3212397397;;
;SG;1983;p90p95;33584.0820312;;;;;;;;;;;;;;;;;;52209.8828125;;;;;;;;;;;;;;0.085784398;0.085784398;;
;SG;1983;p95p99;64100.3242188;;;;;;;;;;;;;;;;;;99650.4921875;;;;;;;;;;;;;;0.1309860796;0.1309860796;;
;SG;1983;p99.5p99.9;210920.5;;;;;;;;;;;;;;;;;;327897.4375;;;;;;;;;;;;;;0.0431007035;0.0431007035;;
;SG;1983;p99p99.5;130406.601562;;;;;;;;;;;;;;;;;;202730.375;;;;;;;;;;;;;;0.0333099402;0.0333099402;;
;SG;1983;p95p100;92179.3671875;;;;;;;;;;;;;;;;;;143302.234375;;;;;;;;;;;;;;0.2354553342;0.2354553342;;
;SG;1983;p99.5p100;278584.8125;;;;;;;;;;;;;;;;;;433088.53125;;;;;;;;;;;;;;0.0711593106;0.0711593106;;
;SG;1982;p0p100;17970.7207031;17970.7207031;;;;;;;;;;;;;;;;;28446.4941406;28446.4941406;;;31425400832.0;;;;;;;;;49744388096.0;;;;
;SG;1982;p99p100;193925.296875;;;;;;;;;;;;;;;;;;306971.25;;;;;;;;;;;;;;0.107911706;0.107911706;;
;SG;1982;p99.9p100;527085.3125;;;;;;;;;;;;;;;;;;834342.0625;;;;;;;;;;;;;;0.0293298475;0.0293298475;;
;SG;1982;p90p100;59702.5273438;;;;;;;;;;;;;;;;;;94505.2578125;;;;;;;;;;;;;;0.3322211802;0.3322211802;;
;SG;1982;p90p95;32126.1503906;;;;;;;;;;;;;;;;;;50853.6289062;;;;;;;;;;;;;;0.0893847197;0.0893847197;;
;SG;1982;p95p99;60617.3476562;;;;;;;;;;;;;;;;;;95953.359375;;;;;;;;;;;;;;0.1349247545;0.1349247545;;
;SG;1982;p99.5p99.9;201068.59375;;;;;;;;;;;;;;;;;;318278.65625;;;;;;;;;;;;;;0.0447547995;0.0447547995;;
;SG;1982;p99p99.5;121579.4375;;;;;;;;;;;;;;;;;;192452.421875;;;;;;;;;;;;;;0.0338270552;0.0338270552;;
;SG;1982;p95p100;87278.90625;;;;;;;;;;;;;;;;;;138156.890625;;;;;;;;;;;;;;0.2428364605;0.2428364605;;
;SG;1982;p99.5p100;266271.15625;;;;;;;;;;;;;;;;;;421490.09375;;;;;;;;;;;;;;0.074084647;0.074084647;;
;SG;1981;p0p100;16764.0898438;16764.0898438;;;;;;;;;;;;;;;;;27354.9335938;27354.9335938;;;28673300480.0;;;;;;;;;46787883008.0;;;;
;SG;1981;p99p100;177749.546875;;;;;;;;;;;;;;;;;;290044.1875;;;;;;;;;;;;;;0.1060298309;0.1060298309;;
;SG;1981;p99.9p100;466676.71875;;;;;;;;;;;;;;;;;;761503.375;;;;;;;;;;;;;;0.0278375205;0.0278375205;;
;SG;1981;p90p100;53876.5195312;;;;;;;;;;;;;;;;;;87913.421875;;;;;;;;;;;;;;0.3213805556;0.3213805556;;
;SG;1981;p90p95;28569.65625;;;;;;;;;;;;;;;;;;46618.7578125;;;;;;;;;;;;;;0.085210897;0.085210897;;
;SG;1981;p95p99;54541.875;;;;;;;;;;;;;;;;;;88999.125;;;;;;;;;;;;;;0.1301398426;0.1301398426;;
;SG;1981;p99.5p99.9;187856.96875;;;;;;;;;;;;;;;;;;306537.0625;;;;;;;;;;;;;;0.0448237471;0.0448237471;;
;SG;1981;p99p99.5;111878.84375;;;;;;;;;;;;;;;;;;182559.171875;;;;;;;;;;;;;;0.0333685651;0.0333685651;;
;SG;1981;p95p100;79183.375;;;;;;;;;;;;;;;;;;129208.09375;;;;;;;;;;;;;;0.236169681;0.236169681;;
;SG;1981;p99.5p100;243620.25;;;;;;;;;;;;;;;;;;397529.21875;;;;;;;;;;;;;;0.0726612657;0.0726612657;;
;SG;1980;p0p100;15231.2753906;15231.2753906;;;;;;;;;;;;;;;;;25783.890625;25783.890625;;;25458769920.0;;;;;;;;;43097251840.0;;;;
;SG;1980;p99p100;161271.046875;;;;;;;;;;;;;;;;;;273003.71875;;;;;;;;;;;;;;0.1058814079;0.1058814079;;
;SG;1980;p99.9p100;426575.09375;;;;;;;;;;;;;;;;;;722117.125;;;;;;;;;;;;;;0.0280061644;0.0280061644;;
;SG;1980;p90p100;48843.1601562;;;;;;;;;;;;;;;;;;82682.9375;;;;;;;;;;;;;;0.3206768334;0.3206768334;;
;SG;1980;p90p95;25695.9960938;;;;;;;;;;;;;;;;;;43498.8359375;;;;;;;;;;;;;;0.0843527615;0.0843527615;;
;SG;1980;p95p99;49670.1757812;;;;;;;;;;;;;;;;;;84082.9375;;;;;;;;;;;;;;0.130442664;0.130442664;;
;SG;1980;p99.5p99.9;168065.34375;;;;;;;;;;;;;;;;;;284505.28125;;;;;;;;;;;;;;0.0441369936;0.0441369936;;
;SG;1980;p99.9p99.95;293373.21875;;;;;;;;;;;;;;;;;;496629.65625;;;;;;;;;;;;;;0.0096299211;0.0096299211;;
;SG;1980;p99p99.5;102775.40625;;;;;;;;;;;;;;;;;;173980.828125;;;;;;;;;;;;;;0.0337382481;0.0337382481;;
;SG;1980;p95p100;71990.3203125;;;;;;;;;;;;;;;;;;121867.046875;;;;;;;;;;;;;;0.2363240719;0.2363240719;;
;SG;1980;p99.5p100;219766.671875;;;;;;;;;;;;;;;;;;372026.59375;;;;;;;;;;;;;;0.0721431598;0.0721431598;;
;SG;1980;p99.95p100;559761.0625;;;;;;;;;;;;;;;;;;947577.75;;;;;;;;;;;;;;0.0183762424;0.0183762424;;
;SG;1979;p0p100;14332.1826172;14332.1826172;;;;;;;;;;;;;;;;;25170.5351562;25170.5351562;;;23316510720.0;;;;;;;;;40949035008.0;;;;
;SG;1979;p99p100;159798.859375;;;;;;;;;;;;;;;;;;280642.75;;;;;;;;;;;;;;0.1114964262;0.1114964262;;
;SG;1979;p99.9p100;407662.46875;;;;;;;;;;;;;;;;;;715946.9375;;;;;;;;;;;;;;0.0284434836;0.0284434836;;
;SG;1979;p90p100;49394.453125;;;;;;;;;;;;;;;;;;86747.765625;;;;;;;;;;;;;;0.3446402252;0.3446402252;;
;SG;1979;p90p95;26704.4199219;;;;;;;;;;;;;;;;;;46898.96875;;;;;;;;;;;;;;0.0931624547;0.0931624547;;
;SG;1979;p95p99;50155.9257812;;;;;;;;;;;;;;;;;;88085.0859375;;;;;;;;;;;;;;0.1399813443;0.1399813443;;
;SG;1979;p99.5p99.9;167799.296875;;;;;;;;;;;;;;;;;;294693.28125;;;;;;;;;;;;;;0.0468315631;0.0468315631;;
;SG;1979;p99.9p99.95;279846.25;;;;;;;;;;;;;;;;;;491472.9375;;;;;;;;;;;;;;0.0097621549;0.0097621549;;
;SG;1979;p99p99.5;103826.382812;;;;;;;;;;;;;;;;;;182342.46875;;;;;;;;;;;;;;0.0362213776;0.0362213776;;
;SG;1979;p95p100;72084.484375;;;;;;;;;;;;;;;;;;126596.570312;;;;;;;;;;;;;;0.251477778;0.251477778;;
;SG;1979;p99.5p100;215771.359375;;;;;;;;;;;;;;;;;;378943.0;;;;;;;;;;;;;;0.0752750486;0.0752750486;;
;SG;1979;p99.95p100;535463.4375;;;;;;;;;;;;;;;;;;940394.1875;;;;;;;;;;;;;;0.0186813287;0.0186813287;;
;SG;1978;p0p100;14178.2099609;14178.2099609;;;;;;;;;;;;;;;;;23974.0898438;23974.0898438;;;22405181440.0;;;;;;;;;37885165568.0;;;;
;SG;1978;p99p100;145971.046875;;;;;;;;;;;;;;;;;;246824.03125;;;;;;;;;;;;;;0.1029543951;0.1029543951;;
;SG;1978;p99.9p100;372833.625;;;;;;;;;;;;;;;;;;630428.4375;;;;;;;;;;;;;;0.0262959041;0.0262959041;;
;SG;1978;p90p100;45328.265625;;;;;;;;;;;;;;;;;;76646.0625;;;;;;;;;;;;;;0.3197038174;0.3197038174;;
;SG;1978;p90p95;24628.3339844;;;;;;;;;;;;;;;;;;41644.3164062;;;;;;;;;;;;;;0.0868527815;0.0868527815;;
;SG;1978;p95p99;46042.5195312;;;;;;;;;;;;;;;;;;77853.796875;;;;;;;;;;;;;;0.1298966408;0.1298966408;;
;SG;1978;p99.5p99.9;153673.703125;;;;;;;;;;;;;;;;;;259848.53125;;;;;;;;;;;;;;0.0433549806;0.0433549806;;
;SG;1978;p99.9p99.95;261412.703125;;;;;;;;;;;;;;;;;;442025.59375;;;;;;;;;;;;;;0.0092181507;0.0092181507;;
;SG;1978;p99p99.5;94436.921875;;;;;;;;;;;;;;;;;;159684.421875;;;;;;;;;;;;;;0.0333035104;0.0333035104;;
;SG;1978;p95p100;66028.203125;;;;;;;;;;;;;;;;;;111647.804688;;;;;;;;;;;;;;0.2328510284;0.2328510284;;
;SG;1978;p99.5p100;197505.15625;;;;;;;;;;;;;;;;;;333963.625;;;;;;;;;;;;;;0.0696508884;0.0696508884;;
;SG;1978;p99.95p100;484241.28125;;;;;;;;;;;;;;;;;;818808.875;;;;;;;;;;;;;;0.0170777533;0.0170777533;;
;SG;1977;p0p100;14349.9570312;14349.9570312;;;;;;;;;;;;;;;;;22719.8632812;22719.8632812;;;22013194240.0;;;;;;;;;34852839424.0;;;;
;SG;1977;p99p100;143771.46875;;;;;;;;;;;;;;;;;;227629.125;;;;;;;;;;;;;;0.1001893803;0.1001893803;;
;SG;1977;p99.9p100;381540.5625;;;;;;;;;;;;;;;;;;604081.875;;;;;;;;;;;;;;0.0265879296;0.0265879296;;
;SG;1977;p90p100;43889.2148438;;;;;;;;;;;;;;;;;;69488.5;;;;;;;;;;;;;;0.3058491945;0.3058491945;;
;SG;1977;p90p95;23405.8027344;;;;;;;;;;;;;;;;;;37057.71875;;;;;;;;;;;;;;0.0815535858;0.0815535858;;
;SG;1977;p95p99;44522.9453125;;;;;;;;;;;;;;;;;;70491.8671875;;;;;;;;;;;;;;0.1241062135;0.1241062135;;
;SG;1977;p99.5p99.9;149563.734375;;;;;;;;;;;;;;;;;;236799.828125;;;;;;;;;;;;;;0.0416904464;0.0416904464;;
;SG;1977;p99.9p99.95;259259.46875;;;;;;;;;;;;;;;;;;410477.84375;;;;;;;;;;;;;;0.0090328036;0.0090328036;;
;SG;1977;p99p99.5;91584.3984375;;;;;;;;;;;;;;;;;;145002.875;;;;;;;;;;;;;;0.0319110081;0.0319110081;;
;SG;1977;p95p100;64372.6289062;;;;;;;;;;;;;;;;;;101919.28125;;;;;;;;;;;;;;0.2242956012;0.2242956012;;
;SG;1977;p99.5p100;195958.53125;;;;;;;;;;;;;;;;;;310255.375;;;;;;;;;;;;;;0.0682783797;0.0682783797;;
;SG;1977;p99.95p100;503807.0625;;;;;;;;;;;;;;;;;;797662.875;;;;;;;;;;;;;;0.0175551269;0.0175551269;;
;SG;1976;p0p100;13638.4042969;13638.4042969;;;;;;;;;;;;;;;;;22056.4023438;22056.4023438;;;20284682240.0;;;;;;;;;32804947968.0;;;;
;SG;1976;p99p100;141959.8125;;;;;;;;;;;;;;;;;;229581.296875;;;;;;;;;;;;;;0.1040881798;0.1040881798;;
;SG;1976;p99.9p100;378603.34375;;;;;;;;;;;;;;;;;;612287.75;;;;;;;;;;;;;;0.0277597345;0.0277597345;;
;SG;1976;p90p100;42805.4375;;;;;;;;;;;;;;;;;;69226.1328125;;;;;;;;;;;;;;0.3138596416;0.3138596416;;
;SG;1976;p90p95;22528.2421875;;;;;;;;;;;;;;;;;;36433.2929688;;;;;;;;;;;;;;0.0825912207;0.0825912207;;
;SG;1976;p95p99;43363.3671875;;;;;;;;;;;;;;;;;;70128.4296875;;;;;;;;;;;;;;0.1271802485;0.1271802485;;
;SG;1976;p99.5p99.9;148662.859375;;;;;;;;;;;;;;;;;;240421.671875;;;;;;;;;;;;;;0.0436013341;0.0436013341;;
;SG;1976;p99.9p99.95;264866.25;;;;;;;;;;;;;;;;;;428349.0;;;;;;;;;;;;;;0.009709605;0.009709605;;
;SG;1976;p99p99.5;89269.203125;;;;;;;;;;;;;;;;;;144368.609375;;;;;;;;;;;;;;0.0327271111;0.0327271111;;
;SG;1976;p95p100;63082.6289062;;;;;;;;;;;;;;;;;;102018.96875;;;;;;;;;;;;;;0.2312684208;0.2312684208;;
;SG;1976;p99.5p100;194650.40625;;;;;;;;;;;;;;;;;;314794.0;;;;;;;;;;;;;;0.0713610724;0.0713610724;;
;SG;1976;p99.95p100;492326.90625;;;;;;;;;;;;;;;;;;796204.625;;;;;;;;;;;;;;0.0180501286;0.0180501286;;
;SG;1975;p0p100;13210.46875;13210.46875;;;;;;;;;;;;;;;;;21585.5605469;21585.5605469;;;19019935744.0;;;;;;;;;31078076416.0;;;;
;SG;1975;p99p100;139575.34375;;;;;;;;;;;;;;;;;;228062.484375;;;;;;;;;;;;;;0.1056550071;0.1056550071;;
;SG;1975;p99.9p100;374691.09375;;;;;;;;;;;;;;;;;;612235.5;;;;;;;;;;;;;;0.0283628292;0.0283628292;;
;SG;1975;p90p100;41474.5546875;;;;;;;;;;;;;;;;;;67768.34375;;;;;;;;;;;;;;0.3139522672;0.3139522672;;
;SG;1975;p90p95;21487.4804688;;;;;;;;;;;;;;;;;;35109.9804688;;;;;;;;;;;;;;0.0813274905;0.0813274905;;
;SG;1975;p95p99;41933.234375;;;;;;;;;;;;;;;;;;68517.8046875;;;;;;;;;;;;;;0.1269697696;0.1269697696;;
;SG;1975;p99.5p99.9;145526.46875;;;;;;;;;;;;;;;;;;237786.46875;;;;;;;;;;;;;;0.0440640748;0.0440640748;;
;SG;1975;p99.9p99.95;259562.03125;;;;;;;;;;;;;;;;;;424117.5625;;;;;;;;;;;;;;0.0098233912;0.0098233912;;
;SG;1975;p99p99.5;87791.8515625;;;;;;;;;;;;;;;;;;143449.59375;;;;;;;;;;;;;;0.0332281031;0.0332281031;;
;SG;1975;p95p100;61461.6328125;;;;;;;;;;;;;;;;;;100426.703125;;;;;;;;;;;;;;0.2326247692;0.2326247692;;
;SG;1975;p99.5p100;191358.859375;;;;;;;;;;;;;;;;;;312675.375;;;;;;;;;;;;;;0.0724269003;0.0724269003;;
;SG;1975;p99.95p100;489806.4375;;;;;;;;;;;;;;;;;;800330.9375;;;;;;;;;;;;;;0.018539438;0.018539438;;
;SG;1974;p0p100;12693.7587891;12693.7587891;;;;;;;;;;;;;;;;;21366.8632812;21366.8632812;;;17656633344.0;;;;;;;;;29720659968.0;;;;
;SG;1974;p99p100;132740.796875;;;;;;;;;;;;;;;;;;223436.921875;;;;;;;;;;;;;;0.1045715958;0.1045715958;;
;SG;1974;p99.9p100;368114.1875;;;;;;;;;;;;;;;;;;619630.9375;;;;;;;;;;;;;;0.0289992467;0.0289992467;;
;SG;1974;p90p100;38962.6523438;;;;;;;;;;;;;;;;;;65584.171875;;;;;;;;;;;;;;0.3069434464;0.3069434464;;
;SG;1974;p90p95;20111.9453125;;;;;;;;;;;;;;;;;;33853.578125;;;;;;;;;;;;;;0.079219833;0.079219833;;
;SG;1974;p95p99;39081.5273438;;;;;;;;;;;;;;;;;;65784.265625;;;;;;;;;;;;;;0.1231520027;0.1231520027;;
;SG;1974;p99.5p99.9;137181.84375;;;;;;;;;;;;;;;;;;230912.34375;;;;;;;;;;;;;;0.043228209;0.043228209;;
;SG;1974;p99.9p99.95;247603.921875;;;;;;;;;;;;;;;;;;416781.125;;;;;;;;;;;;;;0.0097522717;0.0097522717;;
;SG;1974;p99p99.5;82113.828125;;;;;;;;;;;;;;;;;;138218.703125;;;;;;;;;;;;;;0.0323441438;0.0323441438;;
;SG;1974;p95p100;57813.359375;;;;;;;;;;;;;;;;;;97314.7578125;;;;;;;;;;;;;;0.2277235985;0.2277235985;;
;SG;1974;p99.5p100;183367.765625;;;;;;;;;;;;;;;;;;308655.125;;;;;;;;;;;;;;0.0722274557;0.0722274557;;
;SG;1974;p99.95p100;488610.09375;;;;;;;;;;;;;;;;;;822456.5;;;;;;;;;;;;;;0.019246975;0.019246975;;
;SG;1973;p0p100;13290.2763672;13290.2763672;;;;;;;;;;;;;;;;;20933.6367188;20933.6367188;;;17397903360.0;;;;;;;;;27403597824.0;;;;
;SG;1973;p99p100;148129.203125;;;;;;;;;;;;;;;;;;233319.6875;;;;;;;;;;;;;;0.111456722;0.111456722;;
;SG;1973;p99.9p100;449463.75;;;;;;;;;;;;;;;;;;707954.5;;;;;;;;;;;;;;0.0338185541;0.0338185541;;
;SG;1973;p95p99;40259.5585938;;;;;;;;;;;;;;;;;;63413.1992188;;;;;;;;;;;;;;0.1211700216;0.1211700216;;
;SG;1973;p99.5p99.9;149122.5;;;;;;;;;;;;;;;;;;234884.234375;;;;;;;;;;;;;;0.044881776;0.044881776;;
;SG;1973;p99.9p99.95;276876.4375;;;;;;;;;;;;;;;;;;436110.625;;;;;;;;;;;;;;0.0104157487;0.0104157487;;
;SG;1973;p99p99.5;87068.375;;;;;;;;;;;;;;;;;;137142.203125;;;;;;;;;;;;;;0.0327563882;0.0327563882;;
;SG;1973;p95p100;61833.4609375;;;;;;;;;;;;;;;;;;97394.453125;;;;;;;;;;;;;;0.2326267511;0.2326267511;;
;SG;1973;p99.5p100;209190.03125;;;;;;;;;;;;;;;;;;329497.15625;;;;;;;;;;;;;;0.0787003338;0.0787003338;;
;SG;1973;p99.95p100;622030.5;;;;;;;;;;;;;;;;;;979765.9375;;;;;;;;;;;;;;0.0234028064;0.0234028064;;
;SG;1972;p0p100;12473.8955078;12473.8955078;;;;;;;;;;;;;;;;;19540.0390625;19540.0390625;;;16154855424.0;;;;;;;;;25306169344.0;;;;
;SG;1972;p99p100;134725.84375;;;;;;;;;;;;;;;;;;211044.609375;;;;;;;;;;;;;;0.1080061272;0.1080061272;;
;SG;1972;p99.9p100;384278.59375;;;;;;;;;;;;;;;;;;601962.625;;;;;;;;;;;;;;0.0308062248;0.0308062248;;
;SG;1972;p99.99p100;1065564.125;;;;;;;;;;;;;;;;;;1669179.0;;;;;;;;;;;;;;0.0085437698;0.0085437698;;
;SG;1972;p95p99;38739.4140625;;;;;;;;;;;;;;;;;;60684.3007812;;;;;;;;;;;;;;0.1242256165;0.1242256165;;
;SG;1972;p99.5p99.9;137971.734375;;;;;;;;;;;;;;;;;;216129.1875;;;;;;;;;;;;;;0.04424344;0.04424344;;
;SG;1972;p99.95p99.99;378573.25;;;;;;;;;;;;;;;;;;593025.3125;;;;;;;;;;;;;;0.0121399015;0.0121399015;;
;SG;1972;p99.9p99.95;252553.671875;;;;;;;;;;;;;;;;;;395618.875;;;;;;;;;;;;;;0.0101225544;0.0101225544;;
;SG;1972;p99.9p99.99;308565.15625;;;;;;;;;;;;;;;;;;483359.4375;;;;;;;;;;;;;;0.0222624559;0.0222624559;;
;SG;1972;p99p99.5;82219.1796875;;;;;;;;;;;;;;;;;;128794.25;;;;;;;;;;;;;;0.0329564661;0.0329564661;;
;SG;1972;p95p100;57936.6757812;;;;;;;;;;;;;;;;;;90756.328125;;;;;;;;;;;;;;0.2322317362;0.2322317362;;
;SG;1972;p99.5p100;187232.515625;;;;;;;;;;;;;;;;;;293294.96875;;;;;;;;;;;;;;0.0750496611;0.0750496611;;
;SG;1972;p99.95p100;515987.78125;;;;;;;;;;;;;;;;;;808281.75;;;;;;;;;;;;;;0.0206836704;0.0206836704;;
;SG;1971;p0p100;11601.0078125;11601.0078125;;;;;;;;;;;;;;;;;17805.5449219;17805.5449219;;;14495044608.0;;;;;;;;;22247391232.0;;;;
;SG;1971;p99p100;122638.492188;;;;;;;;;;;;;;;;;;188228.921875;;;;;;;;;;;;;;0.1057135537;0.1057135537;;
;SG;1971;p99.9p100;335484.6875;;;;;;;;;;;;;;;;;;514911.09375;;;;;;;;;;;;;;0.0289182086;0.0289182086;;
;SG;1971;p99.99p100;862197.4375;;;;;;;;;;;;;;;;;;1323324.375;;;;;;;;;;;;;;0.0074333246;0.0074333246;;
;SG;1971;p95p99;34873.4726562;;;;;;;;;;;;;;;;;;53524.765625;;;;;;;;;;;;;;0.1202429831;0.1202429831;;
;SG;1971;p99.5p99.9;128539.453125;;;;;;;;;;;;;;;;;;197285.890625;;;;;;;;;;;;;;0.0443201885;0.0443201885;;
;SG;1971;p99.95p99.99;340168.59375;;;;;;;;;;;;;;;;;;522100.125;;;;;;;;;;;;;;0.0117291315;0.0117291315;;
;SG;1971;p99.9p99.95;226369.53125;;;;;;;;;;;;;;;;;;347438.15625;;;;;;;;;;;;;;0.009755753;0.009755753;;
;SG;1971;p99.9p99.99;276949.40625;;;;;;;;;;;;;;;;;;425069.5625;;;;;;;;;;;;;;0.0214848835;0.0214848835;;
;SG;1971;p99p99.5;75348.9765625;;;;;;;;;;;;;;;;;;115647.6875;;;;;;;;;;;;;;0.0324751586;0.0324751586;;
;SG;1971;p95p100;52426.4570312;;;;;;;;;;;;;;;;;;80465.5703125;;;;;;;;;;;;;;0.2259565294;0.2259565294;;
;SG;1971;p99.5p100;169928.0;;;;;;;;;;;;;;;;;;260810.171875;;;;;;;;;;;;;;0.0732383952;0.0732383952;;
;SG;1971;p99.95p100;444586.8125;;;;;;;;;;;;;;;;;;682364.0625;;;;;;;;;;;;;;0.0191624556;0.0191624556;;
;SG;1970;p0p100;10917.2148438;10917.2148438;;;;;;;;;;;;;;;;;16571.9941406;16571.9941406;;;13158430720.0;;;;;;;;;19974088704.0;;;;
;SG;1970;p99p100;117529.195312;;;;;;;;;;;;;;;;;;178405.671875;;;;;;;;;;;;;;0.1076548249;0.1076548249;;
;SG;1970;p99.9p100;326739.375;;;;;;;;;;;;;;;;;;495980.25;;;;;;;;;;;;;;0.0299284365;0.0299284365;;
;SG;1970;p99.99p100;891193.3125;;;;;;;;;;;;;;;;;;1352803.875;;;;;;;;;;;;;;0.0081645474;0.0081645474;;
