Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Personal dwellings | individuals | Average | Adults | constant 2015 local currency;Personal dwellings | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | Adults | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Personal dwellings | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;NO;1962;p99.95p100;2276675.19294;;;;;;;;;;;;;;;;;;;;;;;;;;;;4047120.7573;;1.5895029171;1.5895029171;;;;;;;;;;;;;;;;0.0092010722;0.0092010722;1432318.97751;2546154.97323
;NO;1961;p0p100;122343.7642;122343.7642;;;;;;;;;;;;;;;;;;;;;;;;;;;217273.229117;217273.229117;;;3.18733889494e+11;;;;;;;;;;;;;;5.66047169238e+11;;;;
;NO;1961;p99p100;826836.333123;;;;;;;;;;;;;;;;;;;;;;;;;;;;1468398.50174;;1.5117029726;1.5117029726;;;;;;;;;;;;;;;;0.0675830385;0.0675830385;546956.874528;971353.849487
;NO;1961;p99.9p100;1874996.21239;;;;;;;;;;;;;;;;;;;;;;;;;;;;3329850.8045;;1.6151323562;1.6151323562;;;;;;;;;;;;;;;;0.0153256378;0.0153256378;1160893.2266;2061658.16177
;NO;1961;p99.99p100;5138438.0964;;;;;;;;;;;;;;;;;;;;;;;;;;;;9125475.62291;;1.7928634402;1.7928634402;;;;;;;;;;;;;;;;0.0042;0.0042;2866051.02266;5089888.84377
;NO;1961;p90p100;388702.993884;;;;;;;;;;;;;;;;;;;;;;;;;;;;690306.98214;;1.4564768516;1.4564768516;;;;;;;;;;;;;;;;0.3177137768;0.3177137768;266878.936979;473956.71369
;NO;1961;p90p95;293369.29958;;;;;;;;;;;;;;;;;;;;;;;;;;;;521001.584839;;;;;;;;;;;;;;;;;;;0.1198954853;0.1198954853;266878.936979;473956.71369
;NO;1961;p95p99;398336.776955;;;;;;;;;;;;;;;;;;;;;;;;;;;;707415.848866;;;;;;;;;;;;;;;;;;;0.130235253;0.130235253;329802.890787;585704.874474
;NO;1961;p99.5p99.9;842287.60558;;;;;;;;;;;;;;;;;;;;;;;;;;;;1495838.78759;;;;;;;;;;;;;;;;;;;0.0275383911;0.0275383911;686683.229307;1219497.23868
;NO;1961;p99.95p99.99;1797004.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;3191344.08872;;;;;;;;;;;;;;;;;;;0.0058752642;0.0058752642;1471549.67687;2613360.41269
;NO;1961;p99.9p99.95;1284700.91749;;;;;;;;;;;;;;;;;;;;;;;;;;;;2281531.21345;;;;;;;;;;;;;;;;;;;0.0052503735;0.0052503735;1160893.2266;2061658.16177
;NO;1961;p99.9p99.99;1512391.55861;;;;;;;;;;;;;;;;;;;;;;;;;;;;2685892.49135;;;;;;;;;;;;;;;;;;;0.0111256378;0.0111256378;1160893.2266;2061658.16177
;NO;1961;p99p99.5;604843.339304;;;;;;;;;;;;;;;;;;;;;;;;;;;;1074155.81251;;;;;;;;;;;;;;;;;;;0.0247190097;0.0247190097;546956.874528;971353.849487
;NO;1961;p95p100;484036.688188;;;;;;;;;;;;;;;;;;;;;;;;;;;;859612.379441;;1.467654474;1.467654474;;;;;;;;;;;;;;;;0.1978182915;0.1978182915;329802.890787;585704.874474
;NO;1961;p99.5p100;1048829.32694;;;;;;;;;;;;;;;;;;;;;;;;;;;;1862641.19097;;1.5273845089;1.5273845089;;;;;;;;;;;;;;;;0.0428640288;0.0428640288;686683.229307;1219497.23868
;NO;1961;p99.95p100;2465291.50728;;;;;;;;;;;;;;;;;;;;;;;;;;;;4378170.39556;;1.6753029449;1.6753029449;;;;;;;;;;;;;;;;0.0100752642;0.0100752642;1471549.67687;2613360.41269
;NO;1960;p0p100;116247.340819;116247.340819;;;;;;;;;;;;;;;;;;;;;;;;;;;204498.951871;204498.951871;;;2.99801078242e+11;;;;;;;;;;;;;;5.27401365383e+11;;;;
;NO;1960;p99p100;807001.075863;;;;;;;;;;;;;;;;;;;;;;;;;;;;1419652.89709;;1.5425113694;1.5425113694;;;;;;;;;;;;;;;;0.0694210354;0.0694210354;523173.502564;920351.658514
;NO;1960;p99.9p100;1886909.38874;;;;;;;;;;;;;;;;;;;;;;;;;;;;3319396.29374;;1.6620866852;1.6620866852;;;;;;;;;;;;;;;;0.0162318499;0.0162318499;1135265.32973;1997125.85586
;NO;1960;p99.99p100;5231130.33688;;;;;;;;;;;;;;;;;;;;;;;;;;;;9202452.83421;;1.8269477269;1.8269477269;;;;;;;;;;;;;;;;0.0045;0.0045;2863316.91916;5037064.11446
;NO;1960;p90p100;373973.894268;;;;;;;;;;;;;;;;;;;;;;;;;;;;657884.03301;;1.4578470547;1.4578470547;;;;;;;;;;;;;;;;0.3217053325;0.3217053325;256524.779507;451270.955261
;NO;1960;p90p95;281626.841246;;;;;;;;;;;;;;;;;;;;;;;;;;;;495429.774546;;;;;;;;;;;;;;;;;;;0.1211325951;0.1211325951;256524.779507;451270.955261
;NO;1960;p95p99;381150.915146;;;;;;;;;;;;;;;;;;;;;;;;;;;;670509.640072;;;;;;;;;;;;;;;;;;;0.131151702;0.131151702;316617.081086;556983.590079
;NO;1960;p99.5p99.9;819321.524254;;;;;;;;;;;;;;;;;;;;;;;;;;;;1441326.67272;;;;;;;;;;;;;;;;;;;0.0281923533;0.0281923533;660507.839325;1161946.24232
;NO;1960;p99.95p99.99;1818126.53441;;;;;;;;;;;;;;;;;;;;;;;;;;;;3198395.49047;;;;;;;;;;;;;;;;;;;0.0062560624;0.0062560624;1458482.16302;2565719.53868
;NO;1960;p99.9p99.95;1273091.48258;;;;;;;;;;;;;;;;;;;;;;;;;;;;2239585.62827;;;;;;;;;;;;;;;;;;;0.0054757875;0.0054757875;1135265.32973;1997125.85586
;NO;1960;p99.9p99.99;1515329.28339;;;;;;;;;;;;;;;;;;;;;;;;;;;;2665723.34481;;;;;;;;;;;;;;;;;;;0.0117318499;0.0117318499;1135265.32973;1997125.85586
;NO;1960;p99p99.5;581163.054574;;;;;;;;;;;;;;;;;;;;;;;;;;;;1022365.19725;;;;;;;;;;;;;;;;;;;0.0249968322;0.0249968322;523173.502564;920351.658514
;NO;1960;p95p100;466320.947289;;;;;;;;;;;;;;;;;;;;;;;;;;;;820338.291475;;1.4728230887;1.4728230887;;;;;;;;;;;;;;;;0.2005727374;0.2005727374;316617.081086;556983.590079
;NO;1960;p99.5p100;1032839.09715;;;;;;;;;;;;;;;;;;;;;;;;;;;;1816940.59692;;1.563704525;1.563704525;;;;;;;;;;;;;;;;0.0444242032;0.0444242032;660507.839325;1161946.24232
;NO;1960;p99.95p100;2500727.2949;;;;;;;;;;;;;;;;;;;;;;;;;;;;4399206.95922;;1.7146094469;1.7146094469;;;;;;;;;;;;;;;;0.0107560624;0.0107560624;1458482.16302;2565719.53868
;NO;1959;p0p100;110371.384679;110371.384679;;;;;;;;;;;;;;;;;;;;;;;;;;;194408.473556;194408.473556;;;2.82264993264e+11;;;;;;;;;;;;;;4.97182368766e+11;;;;
;NO;1959;p99p100;816054.929987;;;;;;;;;;;;;;;;;;;;;;;;;;;;1437401.4944;;1.5353538938;1.5353538938;;;;;;;;;;;;;;;;0.0739371833;0.0739371833;531509.336899;936202.07056
;NO;1959;p99.9p100;1956314.44069;;;;;;;;;;;;;;;;;;;;;;;;;;;;3445857.86719;;1.7050943746;1.7050943746;;;;;;;;;;;;;;;;0.0177248337;0.0177248337;1147334.992;2020919.14584
;NO;1959;p99.99p100;5628940.61865;;;;;;;;;;;;;;;;;;;;;;;;;;;;9914832.15138;;1.9126223119;1.9126223119;;;;;;;;;;;;;;;;0.0051;0.0051;2943048.70531;5183894.43117
;NO;1959;p90p100;377481.581646;;;;;;;;;;;;;;;;;;;;;;;;;;;;664897.140655;;1.5004918763;1.5004918763;;;;;;;;;;;;;;;;0.3420103705;0.3420103705;251571.892931;443119.4538
;NO;1959;p90p95;280037.583481;;;;;;;;;;;;;;;;;;;;;;;;;;;;493259.002784;;;;;;;;;;;;;;;;;;;0.1268614978;0.1268614978;251571.892931;443119.4538
;NO;1959;p95p99;389643.242268;;;;;;;;;;;;;;;;;;;;;;;;;;;;686318.724558;;;;;;;;;;;;;;;;;;;0.1412116894;0.1412116894;319337.867562;562482.635892
;NO;1959;p99.5p99.9;816938.152344;;;;;;;;;;;;;;;;;;;;;;;;;;;;1438957.20479;;;;;;;;;;;;;;;;;;;0.0296068824;0.0296068824;664118.711998;1169780.60423
;NO;1959;p99.95p99.99;1882041.43839;;;;;;;;;;;;;;;;;;;;;;;;;;;;3315033.1879;;;;;;;;;;;;;;;;;;;0.0068207586;0.0068207586;1477691.11818;2602809.37407
;NO;1959;p99.9p99.95;1281207.60693;;;;;;;;;;;;;;;;;;;;;;;;;;;;2256722.75378;;;;;;;;;;;;;;;;;;;0.0058040751;0.0058040751;1147334.992;2020919.14584
;NO;1959;p99.9p99.99;1548244.86536;;;;;;;;;;;;;;;;;;;;;;;;;;;;2727082.94672;;;;;;;;;;;;;;;;;;;0.0126248337;0.0126248337;1147334.992;2020919.14584
;NO;1959;p99p99.5;587296.449961;;;;;;;;;;;;;;;;;;;;;;;;;;;;1034465.65152;;;;;;;;;;;;;;;;;;;0.0266054672;0.0266054672;531509.336899;936202.07056
;NO;1959;p95p100;474925.579812;;;;;;;;;;;;;;;;;;;;;;;;;;;;836535.278526;;1.4872197383;1.4872197383;;;;;;;;;;;;;;;;0.2151488727;0.2151488727;319337.867562;562482.635892
;NO;1959;p99.5p100;1044813.41001;;;;;;;;;;;;;;;;;;;;;;;;;;;;1840337.33727;;1.5732329042;1.5732329042;;;;;;;;;;;;;;;;0.0473317161;0.0473317161;664118.711998;1169780.60423
;NO;1959;p99.95p100;2631421.27444;;;;;;;;;;;;;;;;;;;;;;;;;;;;4634992.98059;;1.7807654401;1.7807654401;;;;;;;;;;;;;;;;0.0119207586;0.0119207586;1477691.11818;2602809.37407
;NO;1958;p0p100;106882.230639;106882.230639;;;;;;;;;;;;;;;;;;;;;;;;;;;187304.079458;187304.079458;;;2.71416095191e+11;;;;;;;;;;;;;;4.75638855551e+11;;;;
;NO;1958;p99p100;829905.594124;;;;;;;;;;;;;;;;;;;;;;;;;;;;1454354.9701;;1.6092248524;1.6092248524;;;;;;;;;;;;;;;;0.0776467322;0.0776467322;515717.609559;903761.19156
;NO;1958;p99.9p100;2152595.59418;;;;;;;;;;;;;;;;;;;;;;;;;;;;3772282.20074;;1.8102809326;1.8102809326;;;;;;;;;;;;;;;;0.0201398828;0.0201398828;1189094.77274;2083810.38143
;NO;1958;p90p100;371125.237238;;;;;;;;;;;;;;;;;;;;;;;;;;;;650372.569033;;1.5018995561;1.5018995561;;;;;;;;;;;;;;;;0.3472281922;0.3472281922;247103.899679;433033.331951
;NO;1958;p90p95;273886.344683;;;;;;;;;;;;;;;;;;;;;;;;;;;;479967.805316;;;;;;;;;;;;;;;;;;;0.1281252941;0.1281252941;247103.899679;433033.331951
;NO;1958;p95p99;377978.76371;;;;;;;;;;;;;;;;;;;;;;;;;;;;662382.923413;;;;;;;;;;;;;;;;;;;0.1414561659;0.1414561659;311098.572178;545179.78652
;NO;1958;p99.5p99.9;821241.579629;;;;;;;;;;;;;;;;;;;;;;;;;;;;1439171.85453;;;;;;;;;;;;;;;;;;;0.0307344476;0.0307344476;653617.029305;1145420.8549
;NO;1958;p99.9p99.95;1346037.16253;;;;;;;;;;;;;;;;;;;;;;;;;;;;2358841.5973;;;;;;;;;;;;;;;;;;;0.0062968239;0.0062968239;1189094.77274;2083810.38143
;NO;1958;p99p99.5;572298.805709;;;;;;;;;;;;;;;;;;;;;;;;;;;;1002916.01642;;;;;;;;;;;;;;;;;;;0.0267724018;0.0267724018;515717.609559;903761.19156
;NO;1958;p95p100;468364.129793;;;;;;;;;;;;;;;;;;;;;;;;;;;;820777.332749;;1.5055168094;1.5055168094;;;;;;;;;;;;;;;;0.2191028981;0.2191028981;311098.572178;545179.78652
;NO;1958;p99.5p100;1087512.38254;;;;;;;;;;;;;;;;;;;;;;;;;;;;1905793.92377;;1.6638372836;1.6638372836;;;;;;;;;;;;;;;;0.0508743304;0.0508743304;653617.029305;1145420.8549
;NO;1958;p99.95p100;2959154.02584;;;;;;;;;;;;;;;;;;;;;;;;;;;;5185722.80417;;1.8435859175;1.8435859175;;;;;;;;;;;;;;;;0.0138430589;0.0138430589;1605107.74012;2812845.74525
;NO;1957;p0p100;115211.854648;115211.854648;;;;;;;;;;;;;;;;;;;;;;;;;;;189059.255913;189059.255913;;;2.9099092692e+11;;;;;;;;;;;;;;4.77507529836e+11;;;;
;NO;1957;p99p100;907445.700173;;;;;;;;;;;;;;;;;;;;;;;;;;;;1489091.63367;;1.7426529328;1.7426529328;;;;;;;;;;;;;;;;0.078763223;0.078763223;520726.579049;854496.960141
;NO;1957;p99.9p100;2710162.87133;;;;;;;;;;;;;;;;;;;;;;;;;;;;4447297.34992;;2.0864229045;2.0864229045;;;;;;;;;;;;;;;;0.0235232987;0.0235232987;1298951.84025;2131541.66412
;NO;1957;p99.99p100;9677795.79044;;;;;;;;;;;;;;;;;;;;;;;;;;;;15880977.4967;;2.2301098859;2.2301098859;;;;;;;;;;;;;;;;0.0084;0.0084;4339604.9009;7121163.66867
;NO;1957;p90p100;376954.526532;;;;;;;;;;;;;;;;;;;;;;;;;;;;618571.261757;;1.5396526318;1.5396526318;;;;;;;;;;;;;;;;0.3271838021;0.3271838021;244830.891559;401760.273055
;NO;1957;p90p95;271351.420276;;;;;;;;;;;;;;;;;;;;;;;;;;;;445279.678597;;;;;;;;;;;;;;;;;;;0.1177619357;0.1177619357;244830.891559;401760.273055
;NO;1957;p95p99;376335.61594;;;;;;;;;;;;;;;;;;;;;;;;;;;;617555.647728;;;;;;;;;;;;;;;;;;;0.1306586434;0.1306586434;308583.512766;506376.444409
;NO;1957;p99.5p99.9;863485.81225;;;;;;;;;;;;;;;;;;;;;;;;;;;;1416954.75395;;;;;;;;;;;;;;;;;;;0.0299790613;0.0299790613;672636.805983;1103777.16275
;NO;1957;p99.95p99.99;2478293.03412;;;;;;;;;;;;;;;;;;;;;;;;;;;;4066805.78483;;;;;;;;;;;;;;;;;;;0.0086042987;0.0086042987;1818711.70249;2984452.2705
;NO;1957;p99.9p99.95;1502132.15728;;;;;;;;;;;;;;;;;;;;;;;;;;;;2464954.57265;;;;;;;;;;;;;;;;;;;0.006519;0.006519;1298951.84025;2131541.66412
;NO;1957;p99.9p99.99;1935981.43588;;;;;;;;;;;;;;;;;;;;;;;;;;;;3176888.44473;;;;;;;;;;;;;;;;;;;0.0151232987;0.0151232987;1298951.84025;2131541.66412
;NO;1957;p99p99.5;582070.17628;;;;;;;;;;;;;;;;;;;;;;;;;;;;955159.994191;;;;;;;;;;;;;;;;;;;0.025260863;0.025260863;520726.579049;854496.960141
;NO;1957;p95p100;482557.632787;;;;;;;;;;;;;;;;;;;;;;;;;;;;791862.844916;;1.5637829399;1.5637829399;;;;;;;;;;;;;;;;0.2094218665;0.2094218665;308583.512766;506376.444409
;NO;1957;p99.5p100;1232821.22407;;;;;;;;;;;;;;;;;;;;;;;;;;;;2023023.27315;;1.8328185629;1.8328185629;;;;;;;;;;;;;;;;0.05350236;0.05350236;672636.805983;1103777.16275
;NO;1957;p99.95p100;3918193.58538;;;;;;;;;;;;;;;;;;;;;;;;;;;;6429640.1272;;2.1543786077;2.1543786077;;;;;;;;;;;;;;;;0.0170042987;0.0170042987;1818711.70249;2984452.2705
;NO;1956;p0p100;112309.368339;112309.368339;;;;;;;;;;;;;;;;;;;;;;;;;;;184426.503592;184426.503592;;;2.82313519215e+11;;;;;;;;;;;;;;4.63595299625e+11;;;;
;NO;1955;p0p100;104347.917576;104347.917576;;;;;;;;;;;;;;;;;;;;;;;;;;;175779.791319;175779.791319;;;2.60302349964e+11;;;;;;;;;;;;;;4.38493587793e+11;;;;
;NO;1955;p99p100;751691.463993;;;;;;;;;;;;;;;;;;;;;;;;;;;;1266265.50627;;1.6255103666;1.6255103666;;;;;;;;;;;;;;;;0.0720370355;0.0720370355;462434.124953;778995.651006
;NO;1955;p99.9p100;1983358.54504;;;;;;;;;;;;;;;;;;;;;;;;;;;;3341076.26926;;1.8102297579;1.8102297579;;;;;;;;;;;;;;;;0.0190071694;0.0190071694;1095639.12336;1845664.20624
;NO;1955;p99.99p100;5947831.30183;;;;;;;;;;;;;;;;;;;;;;;;;;;;10019448.1052;;1.9283416822;1.9283416822;;;;;;;;;;;;;;;;0.0057;0.0057;3084428.11597;5195888.36232
;NO;1955;p90p100;340271.811262;;;;;;;;;;;;;;;;;;;;;;;;;;;;573206.532195;;1.4695650043;1.4695650043;;;;;;;;;;;;;;;;0.3260935332;0.3260935332;231545.940651;390051.83883
;NO;1955;p90p95;255352.885343;;;;;;;;;;;;;;;;;;;;;;;;;;;;430155.943129;;;;;;;;;;;;;;;;;;;0.1223564836;0.1223564836;231545.940651;390051.83883
;NO;1955;p95p99;343565.555478;;;;;;;;;;;;;;;;;;;;;;;;;;;;578755.02501;;;;;;;;;;;;;;;;;;;0.1317000141;0.1317000141;287058.527851;483565.837195
;NO;1955;p99.5p99.9;744878.661395;;;;;;;;;;;;;;;;;;;;;;;;;;;;1254788.96657;;;;;;;;;;;;;;;;;;;0.028553657;0.028553657;587026.141552;988877.73765
;NO;1955;p99.95p99.99;1927839.4364;;;;;;;;;;;;;;;;;;;;;;;;;;;;3247551.28516;;;;;;;;;;;;;;;;;;;0.0073900447;0.0073900447;1448531.75431;2440131.20154
;NO;1955;p99.9p99.95;1234879.2806;;;;;;;;;;;;;;;;;;;;;;;;;;;;2080221.88934;;;;;;;;;;;;;;;;;;;0.0059171247;0.0059171247;1095639.12336;1845664.20624
;NO;1955;p99.9p99.99;1542861.57207;;;;;;;;;;;;;;;;;;;;;;;;;;;;2599034.95415;;;;;;;;;;;;;;;;;;;0.0133071694;0.0133071694;1095639.12336;1845664.20624
;NO;1955;p99p99.5;510808.289862;;;;;;;;;;;;;;;;;;;;;;;;;;;;860484.585433;;;;;;;;;;;;;;;;;;;0.0244762091;0.0244762091;462434.124953;778995.651006
;NO;1955;p95p100;425190.737181;;;;;;;;;;;;;;;;;;;;;;;;;;;;716257.121262;;1.4811987659;1.4811987659;;;;;;;;;;;;;;;;0.2037370496;0.2037370496;287058.527851;483565.837195
;NO;1955;p99.5p100;992574.638125;;;;;;;;;;;;;;;;;;;;;;;;;;;;1672046.4271;;1.6908525326;1.6908525326;;;;;;;;;;;;;;;;0.0475608264;0.0475608264;587026.141552;988877.73765
;NO;1955;p99.95p100;2731837.80948;;;;;;;;;;;;;;;;;;;;;;;;;;;;4601930.64917;;1.8859357424;1.8859357424;;;;;;;;;;;;;;;;0.0130900447;0.0130900447;1448531.75431;2440131.20154
;NO;1954;p0p100;100442.857734;100442.857734;;;;;;;;;;;;;;;;;;;;;;;;;;;173234.056614;173234.056614;;;2.48999350966e+11;;;;;;;;;;;;;;4.29449824856e+11;;;;
;NO;1954;p99p100;689004.834734;;;;;;;;;;;;;;;;;;;;;;;;;;;;1188328.42115;;1.5827624201;1.5827624201;;;;;;;;;;;;;;;;0.0685966977;0.0685966977;435317.913773;750793.932199
;NO;1954;p99.9p100;1710459.61732;;;;;;;;;;;;;;;;;;;;;;;;;;;;2950034.12752;;1.7253929986;1.7253929986;;;;;;;;;;;;;;;;0.0170291811;0.0170291811;991344.93919;1709775.18157
;NO;1954;p99.99p100;4720814.31351;;;;;;;;;;;;;;;;;;;;;;;;;;;;8142000.66085;;1.8317418458;1.8317418458;;;;;;;;;;;;;;;;0.0047;0.0047;2577226.87518;4444949.85978
;NO;1954;p90p100;319314.348808;;;;;;;;;;;;;;;;;;;;;;;;;;;;550722.283563;;1.454121755;1.454121755;;;;;;;;;;;;;;;;0.3179064754;0.3179064754;219592.580686;378731.89207
;NO;1954;p90p95;241159.368577;;;;;;;;;;;;;;;;;;;;;;;;;;;;415928.186945;;;;;;;;;;;;;;;;;;;0.1200480422;0.1200480422;219592.580686;378731.89207
;NO;1954;p95p99;324585.452615;;;;;;;;;;;;;;;;;;;;;;;;;;;;559813.369937;;;;;;;;;;;;;;;;;;;0.1292617355;0.1292617355;271156.04596;467663.53404
;NO;1954;p99.5p99.9;691511.069251;;;;;;;;;;;;;;;;;;;;;;;;;;;;1192650.93031;;;;;;;;;;;;;;;;;;;0.0275384865;0.0275384865;551091.755113;950469.375904
;NO;1954;p99.95p99.99;1703687.88086;;;;;;;;;;;;;;;;;;;;;;;;;;;;2938354.89613;;;;;;;;;;;;;;;;;;;0.0067847049;0.0067847049;1301716.80445;2245074.34062
;NO;1954;p99.9p99.95;1113806.06724;;;;;;;;;;;;;;;;;;;;;;;;;;;;1920984.20597;;;;;;;;;;;;;;;;;;;0.0055444762;0.0055444762;991344.93919;1709775.18157
;NO;1954;p99.9p99.99;1375975.76218;;;;;;;;;;;;;;;;;;;;;;;;;;;;2373148.95715;;;;;;;;;;;;;;;;;;;0.0123291811;0.0123291811;991344.93919;1709775.18157
;NO;1954;p99p99.5;482708.890604;;;;;;;;;;;;;;;;;;;;;;;;;;;;832529.272555;;;;;;;;;;;;;;;;;;;0.0240290301;0.0240290301;435317.913773;750793.932199
;NO;1954;p95p100;397469.329039;;;;;;;;;;;;;;;;;;;;;;;;;;;;685516.380181;;1.4658324421;1.4658324421;;;;;;;;;;;;;;;;0.1978584331;0.1978584331;271156.04596;467663.53404
;NO;1954;p99.5p100;895300.778864;;;;;;;;;;;;;;;;;;;;;;;;;;;;1544127.56975;;1.6245947622;1.6245947622;;;;;;;;;;;;;;;;0.0445676676;0.0445676676;551091.755113;950469.375904
;NO;1954;p99.95p100;2307113.16739;;;;;;;;;;;;;;;;;;;;;;;;;;;;3979084.04908;;1.7723618221;1.7723618221;;;;;;;;;;;;;;;;0.0114847049;0.0114847049;1301716.80445;2245074.34062
;NO;1953;p0p100;97743.4506297;97743.4506297;;;;;;;;;;;;;;;;;;;;;;;;;;;165604.001713;165604.001713;;;2.40895282888e+11;;;;;;;;;;;;;;4.0814215769e+11;;;;
;NO;1953;p99p100;697544.712144;;;;;;;;;;;;;;;;;;;;;;;;;;;;1181830.54681;;1.5993759268;1.5993759268;;;;;;;;;;;;;;;;0.0713648544;0.0713648544;436135.557907;738932.309156
;NO;1953;p99.9p100;1785806.87375;;;;;;;;;;;;;;;;;;;;;;;;;;;;3025642.76864;;1.7733379765;1.7733379765;;;;;;;;;;;;;;;;0.0182703482;0.0182703482;1007031.31461;1706185.06382
;NO;1953;p99.99p100;5082659.43275;;;;;;;;;;;;;;;;;;;;;;;;;;;;8611408.08909;;1.8586211506;1.8586211506;;;;;;;;;;;;;;;;0.0052;0.0052;2734639.83299;4633223.98247
;NO;1953;p90p100;323336.455801;;;;;;;;;;;;;;;;;;;;;;;;;;;;547819.937146;;1.4372275391;1.4372275391;;;;;;;;;;;;;;;;0.330801147;0.330801147;224972.349197;381164.37533
;NO;1953;p90p95;246126.460643;;;;;;;;;;;;;;;;;;;;;;;;;;;;417005.19623;;;;;;;;;;;;;;;;;;;0.1259043235;0.1259043235;224972.349197;381164.37533
;NO;1953;p95p99;326296.885662;;;;;;;;;;;;;;;;;;;;;;;;;;;;552835.710874;;;;;;;;;;;;;;;;;;;0.1335319691;0.1335319691;275055.926126;466019.582569
;NO;1953;p99.5p99.9;694372.209216;;;;;;;;;;;;;;;;;;;;;;;;;;;;1176455.4636;;;;;;;;;;;;;;;;;;;0.028416112;0.028416112;550554.796836;932789.633792
;NO;1953;p99.95p99.99;1778189.11173;;;;;;;;;;;;;;;;;;;;;;;;;;;;3012736.20696;;;;;;;;;;;;;;;;;;;0.0072769647;0.0072769647;1314512.95755;2227142.63383
;NO;1953;p99.9p99.95;1132530.57157;;;;;;;;;;;;;;;;;;;;;;;;;;;;1918814.9539;;;;;;;;;;;;;;;;;;;0.0057933834;0.0057933834;1007031.31461;1706185.06382
;NO;1953;p99.9p99.99;1419489.92275;;;;;;;;;;;;;;;;;;;;;;;;;;;;2405002.17748;;;;;;;;;;;;;;;;;;;0.0130703482;0.0130703482;1007031.31461;1706185.06382
;NO;1953;p99p99.5;482430.282166;;;;;;;;;;;;;;;;;;;;;;;;;;;;817368.169014;;;;;;;;;;;;;;;;;;;0.0246783943;0.0246783943;436135.557907;738932.309156
;NO;1953;p95p100;400546.450958;;;;;;;;;;;;;;;;;;;;;;;;;;;;678634.678061;;1.4562363975;1.4562363975;;;;;;;;;;;;;;;;0.2048968235;0.2048968235;275055.926126;466019.582569
;NO;1953;p99.5p100;912659.142123;;;;;;;;;;;;;;;;;;;;;;;;;;;;1546292.92461;;1.6577080926;1.6577080926;;;;;;;;;;;;;;;;0.0466864601;0.0466864601;550554.796836;932789.633792
